gate_family,n,beta,h0,A,omega,alpha,gate_at_h0,gate_at_safe_lo,gate_at_safe_hi,gate_at_half,invariance_margin,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
G6_smooth_cantor,3,5.0,0.02,0.5,1.0,0.8,0.9936002984776786,1.0,1.0,1.0,-0.3666666666666667,0.2908,0.2907806146256916,0.7203462730436129,0.48,0.24461809004599716,Inf,0.9999989292735897,0.2119887959806232
G6_smooth_cantor,3,5.0,0.06,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2912666666666667,0.2912472501833211,0.6697769638189104,0.44,0.24424842220636422,Inf,1.0,0.21198879598213413
G6_smooth_cantor,3,5.0,0.1,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.29186666666666666,0.2918472101859876,0.6144919561892022,0.4,0.24392544974027247,Inf,1.0,0.21198879598364345
G6_smooth_cantor,3,5.0,0.14,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.29266666666666663,0.29264715685620957,0.5531959174792199,0.3910551005809365,0.2436535843958206,Inf,1.0,0.21198879598515313
G6_smooth_cantor,3,5.0,0.18,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.29353333333333337,0.29351376574895005,0.48390954928048624,0.39060465614396045,0.2434381152679893,Inf,1.0,0.21198879598666326
G6_smooth_cantor,3,5.0,0.22,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2949333333333334,0.2949136724218385,0.40333870190087256,0.39390160034470245,0.24328550547989833,Inf,1.0,0.21198879598817327
G6_smooth_cantor,3,5.0,0.26,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2966,0.296580227984801,0.30523566607774877,0.3995182821146078,0.24320391644867342,Inf,1.0,0.2119887959896837
G6_smooth_cantor,3,5.0,0.3,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.29946666666666666,0.29944670355309644,0.174603691297507,0.40518794972208216,0.24320383425774275,Inf,1.0,0.21198879599119352
G6_smooth_cantor,3,5.0,0.34,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.3037,0.30371308579428036,0.0,0.4109121983908962,0.24329947675056257,Inf,1.0,0.21198879599270373
G6_smooth_cantor,3,5.0,0.38,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.3020333333333333,0.3020465302313179,0.0,0.4166926517283521,0.24351111177399595,Inf,1.0,0.2119887959942133
G6_smooth_cantor,3,5.0,0.42,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.3001,0.3001133257782814,0.0,0.42253096196631224,0.2438705031144219,Inf,1.0,0.2119887959957229
G6_smooth_cantor,3,5.0,0.46,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2981666666666667,0.29818012132524496,0.0,0.42842930505140764,0.24443630923089837,Inf,1.0,0.2119887959972338
G6_smooth_cantor,3,5.0,0.5,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.29596666666666666,0.2959802679821345,0.0,0.43438924364745024,0.24538968789440235,Inf,1.0,0.21198879599874393
G6_smooth_cantor,3,5.0,0.54,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2935,0.29351376574895005,0.0,0.44041333109972747,0.24693775439428287,Inf,1.0,0.21198879600025372
G6_smooth_cantor,3,5.0,0.58,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2905666666666667,0.2905806279581361,0.0,0.44650351400484223,0.24848621490777262,Inf,1.0,0.21198879600176337
G6_smooth_cantor,3,5.0,0.62,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.28696666666666665,0.2869808679421372,0.0,0.4526622835695764,0.25003507886370113,Inf,1.0,0.21198879600327405
G6_smooth_cantor,3,5.0,0.66,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2818333333333333,0.28184787680821277,0.0,0.45889218122834785,0.25158433303917416,Inf,1.0,0.21198879600478315
G6_smooth_cantor,3,5.0,0.7,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.26353333333333334,0.2635157656156256,3.6711962233241167,0.4651964101499648,0.25313396977783725,Inf,1.0,0.21198879600629364
G6_smooth_cantor,3,5.0,0.74,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2634666666666667,0.2634491033931071,3.676663544110922,0.4715775349452471,0.2546839853093077,Inf,1.0,0.21198879600780363
G6_smooth_cantor,3,5.0,0.78,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2634,0.2633824411705886,3.6819394649413892,0.4779556811617438,0.2562304664052038,Inf,0.9999857540741701,0.2119887960092765
G6_smooth_cantor,3,5.0,0.82,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2632666666666667,0.2632491167255516,3.6862449428680635,0.48381739223745457,0.2577490277436988,Inf,0.9998730829058275,0.21198879601048853
G6_smooth_cantor,3,5.0,0.86,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.26333333333333336,0.2633157789480701,3.690010550278707,0.48939029058900085,0.2592490289946446,Inf,0.9997040574681463,0.21198879601155693
G6_smooth_cantor,3,5.0,0.9,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.2632,0.2631824545030331,3.6933882032467538,0.494753826167304,0.2607329463911235,Inf,0.9994924820346827,0.2119887960125218
G6_smooth_cantor,3,5.0,0.94,0.5,1.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.26313333333333333,0.2631157922805146,3.6964436214259266,0.4999357241601853,0.2622008354922867,Inf,0.9992429922372406,0.2119887960134001
G6_smooth_cantor,3,5.0,0.98,0.5,1.0,0.8,0.9936002984776785,1.0,1.0,1.0,-0.3666666666666667,0.26313333333333333,0.2631157922805146,3.699817570035435,0.5054501243471266,0.26367506937965457,Inf,0.9990222080526695,0.2119887960143753
G6_smooth_cantor,3,5.0,0.02,0.5,4.0,0.8,0.9936002984776786,1.0,1.0,1.0,-0.3666666666666667,0.9645666666666667,0.9645356976201587,0.5045040902683722,0.48,0.08540109504544152,1.744,0.9999989408706331,0.41609870988014375
G6_smooth_cantor,3,5.0,0.06,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9682333333333334,0.9682021198586761,0.45925037811715785,0.44,0.0840900427080963,1.722,1.0,0.4160987098816545
G6_smooth_cantor,3,5.0,0.1,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9719666666666666,0.971935204319712,0.4141153562544335,0.4,0.08279238078150843,1.696,1.0,0.41609870988316566
G6_smooth_cantor,3,5.0,0.14,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9761666666666666,0.9761349243383775,0.3678715069778134,0.36,0.08150795683091025,1.6640000000000001,1.0,0.41609870988467523
G6_smooth_cantor,3,5.0,0.18,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9807666666666667,0.9807346176921539,0.31909218055712874,0.32,0.08037902974253715,1.6260000000000001,1.0,0.41609870988618486
G6_smooth_cantor,3,5.0,0.22,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9871,0.9870675288314112,0.26570272461319355,0.28,0.07957345361958561,1.564,1.0,0.4160987098876951
G6_smooth_cantor,3,5.0,0.26,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9932333333333333,0.9932004533031131,0.20387765092869217,0.24,0.07896953098397619,0.20400000000000001,1.0,0.4160987098892052
G6_smooth_cantor,3,5.0,0.3,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9959,0.9958669422038531,0.12365449000706753,0.2,0.07853913129860636,0.124,1.0,0.416098709890715
G6_smooth_cantor,3,5.0,0.34,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.15999999999999998,0.07827339536994266,0.0,1.0,0.41609870989222486
G6_smooth_cantor,3,5.0,0.38,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.12267931148002997,0.07817355729786828,0.0,1.0,0.4160987098937355
G6_smooth_cantor,3,5.0,0.42,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.14495918275352337,0.07825053645946463,0.0,1.0,0.41609870989524544
G6_smooth_cantor,3,5.0,0.46,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9981333333333333,0.998133457769482,0.0,0.16740495814431433,0.07853179801271219,0.746,1.0,0.41609870989675496
G6_smooth_cantor,3,5.0,0.5,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9894000000000001,0.9894007066195587,0.0,0.19001885709061328,0.07910949419255235,0.866,1.0,0.41609870989826514
G6_smooth_cantor,3,5.0,0.54,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9846,0.9846010265982268,0.0,0.21280551034586348,0.08006144908061323,0.924,1.0,0.4160987098997753
G6_smooth_cantor,3,5.0,0.58,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9805333333333334,0.9805346310245984,0.0,0.2357703690552908,0.08106032778543705,0.968,1.0,0.41609870990128467
G6_smooth_cantor,3,5.0,0.62,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9764666666666667,0.97646823545097,0.0,0.2589192416845164,0.08210709785121063,1.004,1.0,0.4160987099027956
G6_smooth_cantor,3,5.0,0.66,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9696666666666667,0.9696686887540831,0.0,0.28225829234357847,0.08320403018957823,2.312,1.0,0.41609870990430464
G6_smooth_cantor,3,5.0,0.7,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9587666666666668,0.9587360842610493,1.0664252473879128,0.30579403862291166,0.08435470780261671,2.372,1.0,0.416098709905816
G6_smooth_cantor,3,5.0,0.74,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9555666666666667,0.9555362975801613,1.0947193100203818,0.3295348591465992,0.08556580346677055,2.402,1.0,0.416098709907326
G6_smooth_cantor,3,5.0,0.78,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9529,0.9528698086794214,1.1215788168219512,0.3534896776006249,0.08685164739510774,2.426,1.0,0.41609870990883585
G6_smooth_cantor,3,5.0,0.82,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9504333333333334,0.9504033064462369,1.147380117994667,0.37766987910217154,0.08826349656425977,2.446,1.0,0.4160987099103456
G6_smooth_cantor,3,5.0,0.86,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9481666666666667,0.948136790880608,1.1724112681710843,0.402087403861225,0.08972371133408458,2.464,1.0,0.4160987099118561
G6_smooth_cantor,3,5.0,0.9,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9460999999999999,0.9460702619825345,1.1969069575368687,0.42675691136426785,0.09118772173622954,2.478,1.0,0.41609870991336634
G6_smooth_cantor,3,5.0,0.94,0.5,4.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9440333333333334,0.9440037330844611,1.2210693598662428,0.4516959855750484,0.09265546110297081,2.494,1.0,0.41609870991487646
G6_smooth_cantor,3,5.0,0.98,0.5,4.0,0.8,0.9936002984776785,1.0,1.0,1.0,-0.3666666666666667,0.9420333333333333,0.9420038664089061,1.24506306496863,0.48,0.09412621873700808,2.5060000000000002,0.9999969093905782,0.41609870991638426
G6_smooth_cantor,3,5.0,0.02,0.5,16.0,0.8,0.9936002984776786,1.0,1.0,1.0,-0.3666666666666667,0.9578333333333333,0.9578028131457903,1.2658573351516575,0.48,0.03526521266884446,1.266,0.9999989802629369,0.5255153964179563
G6_smooth_cantor,3,5.0,0.06,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9625666666666667,0.9625358309446037,0.941433066371898,0.44,0.0336768252000705,1.242,1.0,0.525515396419466
G6_smooth_cantor,3,5.0,0.1,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9664333333333334,0.9664022398506766,0.9053300426930435,0.4,0.032096583120918114,1.21,1.0,0.5255153964209758
G6_smooth_cantor,3,5.0,0.14,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9709,0.970868608759416,0.8739531852007735,0.36,0.03052278762307501,0.874,1.0,0.5255153964224858
G6_smooth_cantor,3,5.0,0.18,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9769666666666666,0.9769348710085994,0.5353633344417461,0.32,0.028965078640188588,0.84,1.0,0.5255153964239966
G6_smooth_cantor,3,5.0,0.22,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9836333333333334,0.9836010932604493,0.490544576417,0.28,0.027421442026691056,0.492,1.0,0.5255153964255064
G6_smooth_cantor,3,5.0,0.26,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9904333333333334,0.9904006399573362,0.13900893930056066,0.24,0.025900448738288985,0.444,1.0,0.5255153964270165
G6_smooth_cantor,3,5.0,0.3,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9973666666666666,0.99733351109926,0.0785881715557533,0.2,0.024407970128081977,0.08,1.0,0.5255153964285271
G6_smooth_cantor,3,5.0,0.34,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.15999999999999998,0.022965436842946156,0.0,1.0,0.5255153964300372
G6_smooth_cantor,3,5.0,0.38,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.12,0.021606513982764308,0.0,1.0,0.5255153964315484
G6_smooth_cantor,3,5.0,0.42,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.08000000000000002,0.02043490165516803,0.0,1.0,0.5255153964330572
