model,n,h0,gate_at_h0,in_flat_at_h0,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
no_filter,0,0.15,1.0,false,0.298,0.29798013465768947,0.21892900852035477,0.37358786320760407,0.23451893122323828,Inf,1.0,0.24829612968158346
C3,3,0.15,0.0,true,0.9817666666666667,0.9817345510299313,0.5469169383685879,0.35,0.011841863284436217,0.548,0.0016666666666666668,0.49999999999027406
C5,5,0.15,0.0,true,0.9743666666666667,0.974335044330378,0.769939493959245,0.35,0.01342498647110396,0.77,0.0013333333333333333,0.49999999998835115
no_filter,0,0.05,1.0,false,0.298,0.29798013465768947,0.27797004920511925,0.45,0.2346979554292279,Inf,1.0,0.24829612967780829
C3,3,0.05,0.0,true,0.9447666666666666,0.9447370175321645,1.6572340225350428,0.45,0.020906544078061546,1.6580000000000001,0.010066666666666666,0.49999999997633243
C5,5,0.05,0.0,true,0.9420333333333333,0.9420038664089061,1.7382852802539641,0.45,0.02182876853890319,1.74,0.0038666666666666667,0.49999999997474304
no_filter,0,0.1,1.0,false,0.29786666666666667,0.29784681021265247,0.24981894751508307,0.4,0.2345638577923772,Inf,1.0,0.24829612967969422
C3,3,0.1,1.0,false,0.9753666666666666,0.9753349776681555,0.7398264316566292,0.4,0.01403872979673467,0.74,0.0037,0.4999999999886314
C5,5,0.1,1.0,false,0.9432333333333334,0.9432037864142391,1.7039634512795525,0.4,0.020489439628241606,1.704,0.0053,0.49999999997541167
no_filter,0,0.25,1.0,false,0.2986666666666667,0.29864675688287445,0.1417810018562345,0.4292906003826903,0.23471059099049912,Inf,1.0,0.24829612968535802
C3,3,0.25,1.0,false,0.9911,0.9910672621825212,0.26687177038093196,0.25,0.00889416339801446,0.268,0.0019,0.49999999999222783
C5,5,0.25,1.0,false,0.9870333333333333,0.9870008666088927,0.38908610164056556,0.25,0.00965622505982947,0.39,0.0009666666666666667,0.49999999999142813
no_filter,0,0.75,1.0,false,0.2940666666666667,0.29404706352909804,1.17756844829482,0.7130782979319341,0.24343706213522992,Inf,1.0,0.24829612970423412
C3,3,0.75,1.0,false,0.9635,0.9634691020598627,1.0942218385916915,0.27840496860605657,0.016453461130509304,1.096,0.010433333333333333,0.5000000000150798
C5,5,0.75,1.0,false,0.9619,0.9618692087194187,1.1435538065271211,0.25,0.01581861458695998,1.1440000000000001,0.0045000000000000005,0.5000000000156813
no_filter,0,0.9,1.0,false,0.29786666666666667,0.29784681021265247,1.2129691411056085,0.8000314181006674,0.24740107115180573,Inf,1.0,0.24829612970989667
C3,3,0.9,1.0,false,0.9185666666666668,0.9185387640823945,2.4423455979429933,0.4264995197494277,0.03131316149826315,2.444,0.023766666666666665,0.5000000000443398
C5,5,0.9,1.0,false,0.9197000000000001,0.919672021865209,2.4094906635664053,0.4,0.029540723738262425,2.41,0.010033333333333333,0.5000000000432224
