model,h0,integrator,seconds,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
no_filter,0.15,rk4_dt1e-3,0.0101915,0.298,0.29798013465768947,0.21892900852035477,0.37358786320760407,0.23451893122323828,Inf,1.0,0.24829612968158346
no_filter,0.15,rk4_dt1e-4,0.014476167,0.298,0.29798013465768947,0.2189290085203501,0.3735878632075632,0.23451893122322326,Inf,1.0,0.24829612968161383
no_filter,0.15,tsit5_normal,1.593849708,0.298,0.29798013465768947,0.21892900852036767,0.3735878632075651,0.23451893122323803,Inf,1.0,0.24829612968157094
no_filter,0.15,vern9_strict,2.452535875,0.298,0.29798013465768947,0.21892900852035088,0.37358786320758,0.2345189312234088,Inf,1.0,0.24829612968117074
no_filter,0.25,rk4_dt1e-3,0.001145208,0.2986666666666667,0.29864675688287445,0.1417810018562345,0.4292906003826903,0.23471059099049912,Inf,1.0,0.24829612968535802
no_filter,0.25,rk4_dt1e-4,0.010269084,0.2986666666666667,0.29864675688287445,0.14178100185622755,0.42929060038265554,0.23471059099048394,Inf,1.0,0.24829612968539197
no_filter,0.25,tsit5_normal,0.004163291,0.2986666666666667,0.29864675688287445,0.14178100185618636,0.4292906003826581,0.23471059099049882,Inf,1.0,0.24829612968534645
no_filter,0.25,vern9_strict,0.047608875,0.2986666666666667,0.29864675688287445,0.1417810018562271,0.429290600382667,0.23471059099066943,Inf,1.0,0.24829612968494616
no_filter,0.75,rk4_dt1e-3,0.001059833,0.2940666666666667,0.29404706352909804,1.17756844829482,0.7130782979319341,0.24343706213522992,Inf,1.0,0.24829612970423412
no_filter,0.75,rk4_dt1e-4,0.010340833,0.2940666666666667,0.29404706352909804,1.1775684482948034,0.7130782979319013,0.24343706213521496,Inf,1.0,0.24829612970426881
no_filter,0.75,tsit5_normal,0.00355175,0.2940666666666667,0.29404706352909804,1.1775684482948072,0.7130782979318973,0.24343706213522948,Inf,1.0,0.2482961297042221
no_filter,0.75,vern9_strict,0.053053542,0.2940666666666667,0.29404706352909804,1.1775684482947752,0.7130782979319055,0.24343706213539967,Inf,1.0,0.2482961297038225
C3,0.15,rk4_dt1e-3,0.018232125,0.9817666666666667,0.9817345510299313,0.5469169383685879,0.35,0.011841863284436217,0.548,0.0016666666666666668,0.49999999999027406
C3,0.15,rk4_dt1e-4,0.04719825,0.9817666666666667,0.9817345510299313,0.5477341356432625,0.35,0.011855540641082934,0.548,0.0016,0.4999999999902531
C3,0.15,tsit5_normal,0.267681209,0.9817666666666667,0.9817345510299313,0.5477606297879133,0.35,0.01185649588079196,0.548,0.0016,0.4999999999902554
C3,0.15,vern9_strict,0.156167459,0.9817666666666667,0.9817345510299313,0.5478055857055403,0.35,0.011857643525157604,0.548,0.0016,0.4999999999902541
C3,0.25,rk4_dt1e-3,0.00401275,0.9911,0.9910672621825212,0.26687177038093196,0.25,0.00889416339801446,0.268,0.0019,0.49999999999222783
C3,0.25,rk4_dt1e-4,0.039680541,0.9911,0.9910672621825212,0.2676215881861701,0.25,0.008908200166294263,0.268,0.0019,0.49999999999220907
C3,0.25,tsit5_normal,0.004504125,0.9911,0.9910672621825212,0.2676034233052627,0.25,0.00890779314898057,0.268,0.0019,0.4999999999922132
C3,0.25,vern9_strict,0.065714209,0.9911,0.9910672621825212,0.2676535024050994,0.25,0.008908683539083112,0.268,0.0019,0.499999999992212
C3,0.75,rk4_dt1e-3,0.003666667,0.9635,0.9634691020598627,1.0942218385916915,0.27840496860605657,0.016453461130509304,1.096,0.010433333333333333,0.5000000000150798
C3,0.75,rk4_dt1e-4,0.039175875,0.9635,0.9634691020598627,1.0949241899134463,0.2778403159700791,0.01645786244509431,1.096,0.010433333333333333,0.5000000000151045
C3,0.75,tsit5_normal,0.031387458,0.9635,0.9634691020598627,1.0950095569520437,0.277819231804888,0.016458642150191025,1.096,0.011300000000000001,0.5000000000150967
C3,0.75,vern9_strict,76.080415417,0.0,0.0,Inf,0.2777777778652837,0.25619260605966826,Inf,0.9520547945205481,0.7777777778071508
C5,0.15,rk4_dt1e-3,0.005816125,0.9743666666666667,0.974335044330378,0.769939493959245,0.35,0.01342498647110396,0.77,0.0013333333333333333,0.49999999998835115
C5,0.15,rk4_dt1e-4,0.0544905,0.9740333333333333,0.9740017332177855,0.779863607930495,0.35,0.013494404350823495,0.78,0.0013333333333333333,0.49999999998825534
C5,0.15,tsit5_normal,0.005025083,0.9739666666666668,0.973935070995267,0.7809604709486255,0.35,0.013501760749102826,0.782,0.0015333333333333334,0.4999999999882492
C5,0.15,vern9_strict,0.081044333,0.9739666666666668,0.973935070995267,0.7817317942586122,0.35,0.013507259774158816,0.782,0.0014666666666666667,0.4999999999882409
C5,0.25,rk4_dt1e-3,0.005537083,0.9870333333333333,0.9870008666088927,0.38908610164056556,0.25,0.00965622505982947,0.39,0.0009666666666666667,0.49999999999142813
C5,0.25,rk4_dt1e-4,0.054648292,0.9868333333333333,0.9868008799413373,0.3955075656890961,0.25,0.009705017458121768,0.396,0.0009666666666666667,0.49999999999137534
C5,0.25,tsit5_normal,0.005017458,0.9877666666666667,0.9877341510565962,0.36796471399161196,0.25,0.009551762013214527,0.368,0.0009,0.49999999999155653
C5,0.25,vern9_strict,0.07987275,0.9868333333333333,0.9868008799413373,0.3958896061904717,0.25,0.00971049001465336,0.396,0.0009,0.4999999999913685
C5,0.75,rk4_dt1e-3,0.005374167,0.9619,0.9618692087194187,1.1435538065271211,0.25,0.01581861458695998,1.1440000000000001,0.0045000000000000005,0.5000000000156813
C5,0.75,rk4_dt1e-4,0.054687083,0.9617,0.9616692220518632,1.1495471839703006,0.25,0.015857210296104287,1.1500000000000001,0.0043,0.5000000000157673
C5,0.75,tsit5_normal,0.036033584,0.9617,0.9616692220518632,1.148996407935356,0.25,0.015855860707144117,1.15,0.0059,0.5000000000157634
C5,0.75,vern9_strict,101.497083625,0.0,0.0,Inf,0.25,0.2461601878432695,Inf,0.5384615384615385,0.7448559670665146
