n,alpha,A,perturbation,h0,max_abs_error_vs_linear,left_S,max_gate,R_safe
1,0.2,1.5,multifreq,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,multifreq,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,multifreq,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,multifreq,0.5,0.0,false,0.0,1.0
1,0.2,1.5,multifreq,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,multifreq,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,multifreq,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.5,0.0,false,0.0,1.0
1,0.2,1.5,pw_random,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,pw_random,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,ou,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,ou,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,ou,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,ou,0.5,0.0,false,0.0,1.0
1,0.2,1.5,ou,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,ou,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,ou,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.5,0.0,false,0.0,1.0
1,0.2,1.5,impulse,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,impulse,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,square,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,square,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,square,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,square,0.5,0.0,false,0.0,1.0
1,0.2,1.5,square,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,square,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,square,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.5,0.0,false,0.0,1.0
1,0.2,1.5,chirp,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,chirp,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.5,0.0,false,0.0,1.0
1,0.2,1.5,sinusoid,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,1.5,sinusoid,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.5,0.0,false,0.0,1.0
1,0.2,10.0,multifreq,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,10.0,multifreq,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.5,0.0,false,0.0,1.0
1,0.2,10.0,pw_random,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,10.0,pw_random,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,ou,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,ou,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,ou,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,ou,0.5,0.0,false,0.0,1.0
1,0.2,10.0,ou,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,10.0,ou,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,10.0,ou,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.5,0.0,false,0.0,1.0
1,0.2,10.0,impulse,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,10.0,impulse,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,square,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,square,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,square,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,square,0.5,0.0,false,0.0,1.0
1,0.2,10.0,square,0.55,4.440892098500626e-15,false,0.0,1.0
1,0.2,10.0,square,0.6,4.107825191113079e-15,false,0.0,1.0
1,0.2,10.0,square,0.66,2.9976021664879227e-15,false,0.0,1.0
1,0.2,10.0,chirp,0.34,2.886579864025407e-15,false,0.0,1.0
1,0.2,10.0,chirp,0.4,1.9984014443252818e-15,false,0.0,1.0
1,0.2,10.0,chirp,0.45,2.0539125955565396e-15,false,0.0,1.0
1,0.2,10.0,chirp,0.5,0.0,false,0.0,1.0
