n,beta,alpha,A,g_lo,g_hi,nagumo_margin,guaranteed,predicted_layer_width,escaped_S,max_dev
3,2.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
3,2.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.3465735902799724,true,0.17070276454570854
3,2.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.06676569631226131,true,0.1888349395510842
3,2.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.1115717756571047,true,0.2072880202354077
3,2.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.5058004558392399,true,0.28225829234357847
3,2.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.9359010884507957,true,0.47154073811058306
3,2.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,1.1636388527922086,true,0.6613207725193266
3,2.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,1.5340264675668085,true,1.2311433997960963
3,5.0,0.8,0.1,1.0,1.0,0.033333333333333326,true,0.0,false,0.16000000000000003
3,5.0,0.8,0.2,1.0,1.0,-0.06666666666666668,false,-0.13862943611198897,true,0.17070276454570854
3,5.0,0.8,0.25,1.0,1.0,-0.11666666666666667,false,-0.026706278524904526,true,0.1888349395510842
3,5.0,0.8,0.3,1.0,1.0,-0.16666666666666666,false,0.04462871026284188,true,0.2072880202354077
3,5.0,0.8,0.5,1.0,1.0,-0.3666666666666667,false,0.20232018233569599,true,0.28225829234357847
3,5.0,0.8,1.0,1.0,1.0,-0.8666666666666667,false,0.37436043538031827,true,0.47154073811058306
3,5.0,0.8,1.5,1.0,1.0,-1.3666666666666667,false,0.4654555411168834,true,0.650451571565781
3,5.0,0.8,3.0,1.0,1.0,-2.8666666666666667,false,0.6136105870267234,true,1.1951259783582844
3,10.0,0.8,0.1,0.7328860114326115,0.7328860114326113,0.060044732190072184,true,0.0,false,0.16000000000000003
3,10.0,0.8,0.2,0.7328860114326115,0.7328860114326113,-0.013243868953188964,false,-0.06931471805599448,false,0.16000000000000003
3,10.0,0.8,0.25,0.7328860114326115,0.7328860114326113,-0.04988816952481953,false,-0.013353139262452263,false,0.16277906538907794
3,10.0,0.8,0.3,0.7328860114326115,0.7328860114326113,-0.0865324700964501,false,0.02231435513142094,true,0.17721949885401656
3,10.0,0.8,0.5,0.7328860114326115,0.7328860114326113,-0.2331096723829724,false,0.10116009116784799,true,0.24287790161694212
3,10.0,0.8,1.0,0.7328860114326115,0.7328860114326113,-0.5995526780992781,false,0.18718021769015913,true,0.41415621100875255
3,10.0,0.8,1.5,0.7328860114326115,0.7328860114326113,-0.9659956838155839,false,0.2327277705584417,true,0.5379198575487518
3,10.0,0.8,3.0,0.7328860114326115,0.7328860114326113,-2.065324700964501,false,0.3068052935133617,true,0.9134024950888657
3,25.0,0.8,0.1,0.4905692207152612,0.49056922071526143,0.08427641126180718,true,0.0,false,0.16000000000000003
3,25.0,0.8,0.2,0.4905692207152612,0.49056922071526143,0.035219489190281034,true,-0.027725887222397792,false,0.16000000000000003
3,25.0,0.8,0.25,0.4905692207152612,0.49056922071526143,0.010691028154517973,true,-0.005341255704980905,false,0.16000000000000003
3,25.0,0.8,0.3,0.4905692207152612,0.49056922071526143,-0.013837432881245088,false,0.008925742052568375,false,0.16000000000000003
3,25.0,0.8,0.5,0.4905692207152612,0.49056922071526143,-0.11195127702429739,false,0.0404640364671392,true,0.18671297126628128
3,25.0,0.8,1.0,0.4905692207152612,0.49056922071526143,-0.35723588738192813,false,0.07487208707606366,true,0.3014465273700755
3,25.0,0.8,1.5,0.4905692207152612,0.49056922071526143,-0.6025204977395588,false,0.09309110822337668,true,0.3847826847213961
3,25.0,0.8,3.0,0.4905692207152612,0.49056922071526143,-1.338374328812451,false,0.12272211740534468,true,0.6808853190569812
3,50.0,0.8,0.1,0.45613495780150887,0.4561349578015091,0.08771983755318241,true,0.0,false,0.16000000000000003
3,50.0,0.8,0.2,0.45613495780150887,0.4561349578015091,0.042106341773031505,true,-0.013862943611198896,false,0.16000000000000003
3,50.0,0.8,0.25,0.45613495780150887,0.4561349578015091,0.01929959388295606,true,-0.0026706278524904524,false,0.16000000000000003
3,50.0,0.8,0.3,0.45613495780150887,0.4561349578015091,-0.0035071540071194007,false,0.004462871026284188,false,0.16000000000000003
3,50.0,0.8,0.5,0.45613495780150887,0.4561349578015091,-0.09473414556742121,false,0.0202320182335696,false,0.16000000000000003
3,50.0,0.8,1.0,0.45613495780150887,0.4561349578015091,-0.32280162446817573,false,0.03743604353803183,true,0.28233274303604805
3,50.0,0.8,1.5,0.45613495780150887,0.4561349578015091,-0.5508691033689304,false,0.04654555411168834,true,0.30613979317680073
3,50.0,0.8,3.0,0.45613495780150887,0.4561349578015091,-1.235071540071194,false,0.06136105870267234,true,0.3380512110562184
3,100.0,0.8,0.1,0.48858637915113595,0.48858637915113606,0.08447469541821973,true,0.0,false,0.16000000000000003
3,100.0,0.8,0.2,0.48858637915113595,0.48858637915113606,0.03561605750310612,true,-0.006931471805599448,false,0.16000000000000003
3,100.0,0.8,0.25,0.48858637915113595,0.48858637915113606,0.011186738545549316,true,-0.0013353139262452262,false,0.16000000000000003
3,100.0,0.8,0.3,0.48858637915113595,0.48858637915113606,-0.013242580412007487,false,0.002231435513142094,false,0.16000000000000003
3,100.0,0.8,0.5,0.48858637915113595,0.48858637915113606,-0.1109598562422347,false,0.0101160091167848,false,0.16000000000000003
3,100.0,0.8,1.0,0.48858637915113595,0.48858637915113606,-0.3552530458178027,false,0.018718021769015915,true,0.20760805379689762
3,100.0,0.8,1.5,0.48858637915113595,0.48858637915113606,-0.5995462353933708,false,0.02327277705584417,true,0.29220182050431476
3,100.0,0.8,3.0,0.48858637915113595,0.48858637915113606,-1.332425804120075,false,0.03068052935133617,true,0.3018705395279936
3,250.0,0.8,0.1,0.4999524006831667,0.4999524006831667,0.08333809326501665,true,0.0,false,0.16000000000000003
3,250.0,0.8,0.2,0.4999524006831667,0.4999524006831667,0.03334285319669998,true,-0.0027725887222397796,false,0.16000000000000003
3,250.0,0.8,0.25,0.4999524006831667,0.4999524006831667,0.008345233162541654,true,-0.0005341255704980905,false,0.16000000000000003
3,250.0,0.8,0.3,0.4999524006831667,0.4999524006831667,-0.016652386871616687,false,0.0008925742052568376,false,0.16000000000000003
3,250.0,0.8,0.5,0.4999524006831667,0.4999524006831667,-0.11664286700825002,false,0.00404640364671392,false,0.16000000000000003
3,250.0,0.8,1.0,0.4999524006831667,0.4999524006831667,-0.3666190673498334,false,0.007487208707606365,false,0.16000000000000003
