n,n_endpoints,n_misclassified,frac,err_amplification,interval_width
1,4,0,0.0,6.661338147750939e-16,0.3333333333333333
2,8,2,0.25,1.9984014443252818e-15,0.1111111111111111
3,16,5,0.3125,5.995204332975845e-15,0.037037037037037035
4,32,16,0.5,1.7985612998927536e-14,0.012345679012345678
5,64,37,0.578125,5.395683899678261e-14,0.00411522633744856
6,128,67,0.5234375,1.6187051699034782e-13,0.0013717421124828531
7,256,127,0.49609375,4.856115509710435e-13,0.0004572473708276177
8,512,245,0.478515625,1.4568346529131304e-12,0.00015241579027587258
9,1024,493,0.4814453125,4.370503958739391e-12,5.080526342529086e-5
10,2048,974,0.4755859375,1.3111511876218174e-11,1.6935087808430286e-5
11,4096,1984,0.484375,3.933453562865452e-11,5.645029269476762e-6
12,8192,4036,0.49267578125,1.1800360688596356e-10,1.8816764231589208e-6
13,16384,8143,0.49700927734375,3.540108206578907e-10,6.272254743863069e-7
14,32768,16358,0.49920654296875,1.062032461973672e-9,2.0907515812876897e-7
