n,dx,rho,I_left,I_mid,E_left,E_mid,n_intervals,intervals_hit,hit_fraction,nodes_in_K,nodes_expected,interval_width,peak
1,0.01,0.03,0.99,0.99,0.010000000000000009,0.010000000000000009,2,2,1.0,66,66.66666666666666,0.3333333333333333,1.5
1,0.003,0.009000000000000001,0.999,0.999,0.0010000000000000009,0.0010000000000000009,2,2,1.0,222,222.2222222222222,0.3333333333333333,1.5
1,0.001,0.003,0.999,0.999,0.0010000000000000009,0.0010000000000000009,2,2,1.0,666,666.6666666666666,0.3333333333333333,1.5
1,0.0003,0.0009,0.9998999999999999,0.9998999999999999,0.00010000000000010001,0.00010000000000010001,2,2,1.0,2222,2222.222222222222,0.3333333333333333,1.5
1,0.0001,0.00030000000000000003,0.9999,0.9999,9.999999999998899e-5,9.999999999998899e-5,2,2,1.0,6666,6666.666666666666,0.3333333333333333,1.5
1,3.0e-5,9.0e-5,0.99999,0.99999,9.99999999995449e-6,9.99999999995449e-6,2,2,1.0,22222,22222.22222222222,0.3333333333333333,1.5
1,1.0e-5,3.0000000000000004e-5,0.99999,0.99999,9.99999999995449e-6,9.99999999995449e-6,2,2,1.0,66666,66666.66666666666,0.3333333333333333,1.5
2,0.01,0.09,0.99,0.99,0.010000000000000009,0.010000000000000009,4,4,1.0,44,44.44444444444444,0.1111111111111111,2.25
2,0.003,0.027,0.999,0.999,0.0010000000000000009,0.0010000000000000009,4,4,1.0,148,148.14814814814812,0.1111111111111111,2.25
2,0.001,0.009000000000000001,0.999,0.999,0.0010000000000000009,0.0010000000000000009,4,4,1.0,444,444.4444444444444,0.1111111111111111,2.25
2,0.0003,0.0026999999999999997,1.0003499999999999,0.9996749999999999,0.00034999999999985043,0.00032500000000013074,4,4,1.0,1481,1481.4814814814815,0.1111111111111111,2.25
2,0.0001,0.0009000000000000001,0.9999,0.9999,9.999999999998899e-5,9.999999999998899e-5,4,4,1.0,4444,4444.444444444444,0.1111111111111111,2.25
2,3.0e-5,0.00027,0.999945,1.0000125,5.500000000002725e-5,1.2499999999970868e-5,4,4,1.0,14815,14814.814814814814,0.1111111111111111,2.25
2,1.0e-5,9.0e-5,0.99999,0.99999,9.99999999995449e-6,9.99999999995449e-6,4,4,1.0,44444,44444.44444444444,0.1111111111111111,2.25
3,0.01,0.27,0.9450000000000001,1.0125,0.05499999999999994,0.012499999999999956,8,8,1.0,30,29.629629629629626,0.037037037037037035,3.375
3,0.003,0.081,1.0125,0.99225,0.012499999999999956,0.007750000000000035,8,8,1.0,98,98.76543209876543,0.037037037037037035,3.375
3,0.001,0.027,0.999,0.999,0.0010000000000000009,0.0010000000000000009,8,8,1.0,296,296.29629629629625,0.037037037037037035,3.375
3,0.0003,0.0081,1.0013625,0.9983249999999999,0.0013624999999999332,0.001675000000000093,8,8,1.0,986,987.6543209876544,0.037037037037037035,3.375
3,0.0001,0.0027,1.00035,0.9996750000000001,0.0003500000000000725,0.0003249999999999087,8,8,1.0,2962,2962.9629629629626,0.037037037037037035,3.375
3,3.0e-5,0.0008100000000000001,0.99984375,1.00004625,0.00015624999999996891,4.625000000002544e-5,8,8,1.0,9877,9876.543209876543,0.037037037037037035,3.375
3,1.0e-5,0.00027,0.9999450000000001,1.0000125,5.499999999991623e-5,1.2499999999970868e-5,8,8,1.0,29630,29629.629629629624,0.037037037037037035,3.375
4,0.01,0.81,0.91125,1.0125,0.08875,0.012499999999999956,16,16,1.0,20,19.75308641975308,0.012345679012345678,5.0625
4,0.003,0.243,1.03275,0.9871875,0.03275000000000006,0.012812500000000004,16,16,1.0,65,65.84362139917694,0.012345679012345678,5.0625
4,0.001,0.081,1.0125,0.99225,0.012499999999999956,0.007750000000000035,16,16,1.0,196,197.53086419753083,0.012345679012345678,5.0625
4,0.0003,0.0243,1.002375,0.9978187499999999,0.002375000000000016,0.0021812500000001345,16,16,1.0,657,658.4362139917695,0.012345679012345678,5.0625
4,0.0001,0.0081,1.0013625000000002,0.998325,0.0013625000000001553,0.001674999999999982,16,16,1.0,1972,1975.308641975308,0.012345679012345678,5.0625
4,3.0e-5,0.00243,0.99964125,1.0002487500000001,0.00035874999999996326,0.0002487500000001308,16,16,1.0,6586,6584.362139917694,0.012345679012345678,5.0625
4,1.0e-5,0.0008100000000000001,0.99984375,1.00004625,0.00015624999999996891,4.625000000002544e-5,16,16,1.0,19754,19753.086419753083,0.012345679012345678,5.0625
5,0.01,2.43,0.91125,1.063125,0.08875,0.0631250000000001,32,14,0.4375,14,13.168724279835386,0.00411522633744856,7.59375
5,0.003,0.729,1.0935,0.9568125000000001,0.09349999999999992,0.043187499999999934,32,32,1.0,42,43.89574759945129,0.00411522633744856,7.59375
5,0.001,0.243,1.03275,0.9871875,0.03275000000000006,0.012812500000000004,32,32,1.0,130,131.68724279835385,0.00411522633744856,7.59375
5,0.0003,0.07289999999999999,1.0000968749999999,1.0000968749999999,9.687499999988525e-5,9.687499999988525e-5,32,32,1.0,439,438.95747599451295,0.00411522633744856,7.59375
5,0.0001,0.024300000000000002,1.002375,0.9978187500000001,0.002375000000000016,0.0021812499999999124,32,32,1.0,1314,1316.8724279835385,0.00411522633744856,7.59375
5,3.0e-5,0.0072900000000000005,0.9994134375,1.0003246875,0.0005865624999999985,0.00032468750000003155,32,32,1.0,4391,4389.574759945129,0.00411522633744856,7.59375
5,1.0e-5,0.0024300000000000003,0.99964125,1.0002487500000001,0.00035874999999996326,0.0002487500000001308,32,32,1.0,13172,13168.724279835385,0.00411522633744856,7.59375
6,0.01,7.29,1.1390625,1.1390625,0.1390625000000001,0.1390625000000001,64,10,0.15625,10,8.779149519890257,0.0013717421124828531,11.390625
6,0.003,2.187,1.2301875,0.820125,0.2301875,0.179875,64,24,0.375,24,29.263831732967525,0.0013717421124828531,11.390625
6,0.001,0.729,1.0935,0.9568125000000001,0.09349999999999992,0.043187499999999934,64,64,1.0,84,87.79149519890257,0.0013717421124828531,11.390625
6,0.0003,0.21869999999999998,0.9944015624999999,1.004653125,0.0055984375000001085,0.004653124999999925,64,64,1.0,294,292.63831732967526,0.0013717421124828531,11.390625
6,0.0001,0.0729,1.000096875,1.000096875,9.687500000010729e-5,9.687500000010729e-5,64,64,1.0,878,877.9149519890257,0.0013717421124828531,11.390625
6,3.0e-5,0.02187,0.9991856250000001,1.00021078125,0.0008143749999999228,0.00021078125000006942,64,64,1.0,2927,2926.3831732967524,0.0013717421124828531,11.390625
6,1.0e-5,0.0072900000000000005,0.9994134375000001,1.0003246875,0.0005865624999998875,0.00032468750000003155,64,64,1.0,8782,8779.149519890256,0.0013717421124828531,11.390625
7,0.01,21.87,1.366875,1.366875,0.36687500000000006,0.36687500000000006,128,8,0.0625,8,5.852766346593505,0.0004572473708276177,17.0859375
7,0.003,6.561,1.3839609375,0.7688671875,0.38396093749999993,0.23113281249999995,128,15,0.1171875,15,19.509221155311682,0.0004572473708276177,17.0859375
7,0.001,2.187,1.2301875,0.820125,0.2301875,0.179875,128,48,0.375,48,58.52766346593505,0.0004572473708276177,17.0859375
7,0.0003,0.6560999999999999,0.9790242187499999,1.0149046874999998,0.020975781250000103,0.014904687499999847,128,128,1.0,198,195.09221155311684,0.0004572473708276177,17.0859375
7,0.0001,0.2187,0.9944015625,1.0046531250000001,0.0055984374999999975,0.004653125000000147,128,128,1.0,588,585.2766346593504,0.0004572473708276177,17.0859375
7,3.0e-5,0.06561,0.9985021875,0.9995273437500001,0.0014978125000000286,0.0004726562499999254,128,128,1.0,1950,1950.9221155311682,0.0004572473708276177,17.0859375
7,1.0e-5,0.02187,0.9991856250000001,1.00021078125,0.0008143749999999228,0.00021078125000006942,128,128,1.0,5854,5852.766346593505,0.0004572473708276177,17.0859375
8,0.01,65.61,1.537734375,2.0503125,0.5377343750000001,1.0503125,256,8,0.03125,8,3.901844231062336,0.00015241579027587258,25.62890625
8,0.003,19.683,1.61462109375,0.61509375,0.6146210937500001,0.38490625,256,8,0.03125,8,13.006147436874453,0.00015241579027587258,25.62890625
8,0.001,6.561,1.3839609375,0.7688671875,0.38396093749999993,0.23113281249999995,256,30,0.1171875,30,39.01844231062336,0.00015241579027587258,25.62890625
