n,I_exact,I_adapt,E_exact,E_adapt
1,1.0,1.0000000715255737,0.0,7.152557368605983e-8
2,1.0,0.9999998688697815,0.0,1.3113021846145045e-7
3,1.0,0.9999996989965438,0.0,3.010034561601316e-7
4,1.0,1.0000007316470145,0.0,7.316470145291021e-7
5,0.9999999999999997,0.8125006321817636,3.3306690738754696e-16,0.1874993678182364
6,0.9999999999999991,0.6875012649223209,8.881784197001252e-16,0.3124987350776791
7,1.0000000000000009,0.4687549031339586,8.881784197001252e-16,0.5312450968660414
8,1.0000000000000018,0.3125110500957817,1.7763568394002505e-15,0.6874889499042183
9,0.9999999999999928,0.13673212837893517,7.216449660063518e-15,0.8632678716210649
10,0.9999999999999909,0.05469891593093053,9.103828801926284e-15,0.9453010840690694
11,0.9999999999999697,0.04884296879754402,3.0309088572266774e-14,0.951157031202456
12,1.0000000000000688,0.03515590442984831,6.88338275267597e-14,0.9648440955701517
