control,n,h0,A,omega,alpha,R_cantor,R_ctrl_mean,R_ctrl_sd,delta,pct_rank
G2_random,1,0.02,0.5,1.0,0.8,0.9759666666666666,0.8164122222222223,0.17284740717553515,0.15955444444444433,93.33333333333333
G2_random,2,0.02,0.5,1.0,0.8,0.9712999999999999,0.96586,0.004784701033990993,0.005439999999999889,93.33333333333333
G2_random,3,0.02,0.5,1.0,0.8,0.9665666666666667,0.9620466666666666,0.003162490894691055,0.0045200000000000795,93.33333333333333
G2_random,4,0.02,0.5,1.0,0.8,0.9631666666666666,0.9610333333333332,0.0016201792625854148,0.0021333333333334314,90.0
G2_random,5,0.02,0.5,1.0,0.8,0.9608333333333333,0.958988888888889,0.0009234838805577767,0.0018444444444443153,100.0
G2_random,6,0.02,0.5,1.0,0.8,0.9593666666666667,0.9579533333333334,0.0004934513682963831,0.0014133333333332665,100.0
G2_random,7,0.02,0.5,1.0,0.8,0.9586333333333333,0.9573822222222222,0.00023792418595656802,0.0012511111111110917,100.0
G2_random,8,0.02,0.5,1.0,0.8,0.9585,0.9571577777777777,0.00018002412212427335,0.0013422222222223557,100.0
G2_random,1,0.06,0.5,1.0,0.8,0.9777,0.8387722222222224,0.17299456507825783,0.13892777777777765,86.66666666666667
G2_random,2,0.06,0.5,1.0,0.8,0.9737666666666667,0.9700822222222222,0.0043714480564035025,0.00368444444444449,71.66666666666667
G2_random,3,0.06,0.5,1.0,0.8,0.9695,0.9658577777777777,0.0027734086712431437,0.0036422222222223244,86.66666666666667
G2_random,4,0.06,0.5,1.0,0.8,0.9663,0.9635466666666669,0.001833210027201317,0.0027533333333331633,96.66666666666667
G2_random,5,0.06,0.5,1.0,0.8,0.9641000000000001,0.9622844444444445,0.0010436721690377712,0.0018155555555555702,93.33333333333333
G2_random,6,0.06,0.5,1.0,0.8,0.9627666666666667,0.9614022222222223,0.0005516213186440879,0.0013644444444443904,96.66666666666667
G2_random,7,0.06,0.5,1.0,0.8,0.9619,0.9609355555555558,0.00029800528850939926,0.0009644444444442124,100.0
G2_random,8,0.06,0.5,1.0,0.8,0.9619,0.9606466666666666,0.0001520233900132178,0.0012533333333333285,100.0
G2_random,1,0.1,0.5,1.0,0.8,0.9795,0.855997777777778,0.16546001379026237,0.12350222222222207,75.0
G2_random,2,0.1,0.5,1.0,0.8,0.9766333333333334,0.9709177777777778,0.004680961139583793,0.005715555555555585,86.66666666666667
G2_random,3,0.1,0.5,1.0,0.8,0.9726333333333333,0.9681933333333334,0.002454652319099954,0.0044399999999999995,96.66666666666667
G2_random,4,0.1,0.5,1.0,0.8,0.9697,0.9672933333333336,0.0017027676366789173,0.002406666666666446,93.33333333333333
G2_random,5,0.1,0.5,1.0,0.8,0.9677666666666667,0.96578,0.0008398868743383424,0.001986666666666692,96.66666666666667
G2_random,6,0.1,0.5,1.0,0.8,0.9664333333333334,0.96514,0.00043614472623458437,0.0012933333333333685,100.0
G2_random,7,0.1,0.5,1.0,0.8,0.9657,0.9647466666666665,0.0002632831321274378,0.0009533333333334726,100.0
G2_random,8,0.1,0.5,1.0,0.8,0.9655666666666668,0.9644777777777779,0.0001098007018427426,0.001088888888888917,100.0
G2_random,1,0.14,0.5,1.0,0.8,0.9815666666666666,0.7128111111111111,0.15157790084818687,0.2687555555555555,88.33333333333333
G2_random,2,0.14,0.5,1.0,0.8,0.9799666666666667,0.9751088888888889,0.00411205995056458,0.004857777777777739,93.33333333333333
G2_random,3,0.14,0.5,1.0,0.8,0.9763666666666667,0.9729733333333335,0.0026684103494596734,0.0033933333333332483,86.66666666666667
G2_random,4,0.14,0.5,1.0,0.8,0.9737000000000001,0.9705844444444442,0.0014453978580555367,0.003115555555555871,96.66666666666667
G2_random,5,0.14,0.5,1.0,0.8,0.9717666666666668,0.9699266666666666,0.000811903774756356,0.0018400000000001748,100.0
G2_random,6,0.14,0.5,1.0,0.8,0.9705666666666667,0.969268888888889,0.00034384944283202563,0.001297777777777731,100.0
G2_random,7,0.14,0.5,1.0,0.8,0.9699000000000001,0.9689333333333334,0.00022471778810585248,0.0009666666666666712,100.0
G2_random,8,0.14,0.5,1.0,0.8,0.9697,0.9686822222222222,0.00013210159022692143,0.0010177777777777841,100.0
G2_random,1,0.18,0.5,1.0,0.8,0.9838333333333333,0.7909355555555553,0.19371733286508647,0.19289777777777806,53.333333333333336
G2_random,2,0.18,0.5,1.0,0.8,0.9833666666666667,0.9790466666666666,0.0036522559028738105,0.0043200000000001015,93.33333333333333
G2_random,3,0.18,0.5,1.0,0.8,0.9803,0.9762422222222222,0.002553863174421319,0.004057777777777716,93.33333333333333
G2_random,4,0.18,0.5,1.0,0.8,0.9779666666666668,0.9759444444444445,0.001294412789641401,0.0020222222222222586,90.0
G2_random,5,0.18,0.5,1.0,0.8,0.9763000000000001,0.9747266666666667,0.0008922999684615431,0.0015733333333333155,93.33333333333333
G2_random,6,0.18,0.5,1.0,0.8,0.9752333333333334,0.9740488888888891,0.00034248733324825174,0.0011844444444443214,100.0
G2_random,7,0.18,0.5,1.0,0.8,0.9745,0.9736133333333333,0.0001487109361437331,0.0008866666666667022,100.0
G2_random,8,0.18,0.5,1.0,0.8,0.9742999999999999,0.9734933333333334,0.00012545701894090499,0.0008066666666665112,100.0
G2_random,1,0.22,0.5,1.0,0.8,0.9865666666666667,0.7754177777777778,0.164156480980085,0.21114888888888894,81.66666666666667
G2_random,2,0.22,0.5,1.0,0.8,0.9865666666666667,0.9831688888888889,0.0030634907759539776,0.003397777777777833,98.33333333333333
G2_random,3,0.22,0.5,1.0,0.8,0.9842333333333334,0.9808755555555554,0.0023855557250873284,0.003357777777778015,91.66666666666667
G2_random,4,0.22,0.5,1.0,0.8,0.9824333333333333,0.9798777777777777,0.0012678558644324506,0.002555555555555533,93.33333333333333
G2_random,5,0.22,0.5,1.0,0.8,0.9811666666666667,0.9794355555555556,0.0004984215186136137,0.0017311111111111277,100.0
G2_random,6,0.22,0.5,1.0,0.8,0.9803,0.9792111111111111,0.0002318232470653936,0.001088888888888806,100.0
G2_random,7,0.22,0.5,1.0,0.8,0.9797,0.97898,0.00014896835530147048,0.0007200000000000539,100.0
G2_random,8,0.22,0.5,1.0,0.8,0.9795,0.97886,0.00011951370174259325,0.0006400000000000849,100.0
G2_random,1,0.26,0.5,1.0,0.8,0.9898333333333333,0.8054788888888889,0.17607879015812905,0.1843544444444445,76.66666666666667
