control,metric,n,n_conditions,mean_delta,median_delta,ci_lo,ci_hi,frac_delta_pos,mean_pct_rank,mean_effect_size
G2_random,R_safe,1,225,0.13500400493827164,0.16302111111111106,0.12290576074074074,0.14742788493827158,0.9333333333333333,68.52592592592592,0.884831894334127
G2_random,R_safe,2,225,0.0010103950617283797,0.0016044444444444084,-0.0008464496296296446,0.0027412987654320863,0.5511111111111111,58.540740740740745,0.29419372379299724
G2_random,R_safe,3,225,-0.0005158419753086473,0.0,-0.0018560343209876626,0.000657354320987653,0.4488888888888889,59.53333333333333,0.29395715217897883
G2_random,R_safe,4,225,-0.0009283654320987692,0.0,-0.0021845629629629695,0.0001354580246913581,0.4311111111111111,60.733333333333334,0.32553978088557345
G2_random,R_safe,5,225,7.249382716048914e-5,0.0,-0.0010091345679012322,0.0010004799999999944,0.4533333333333333,65.09629629629629,0.5868173234680099
G2_random,R_safe,6,225,0.0013056592592592627,0.0,0.00043547901234568265,0.002075633086419756,0.48,67.78518518518518,0.9575797842974704
G2_random,R_safe,7,225,0.0019263111111111157,0.0003244444444444605,0.0008529540740740796,0.0028080997530864293,0.5111111111111111,70.33333333333333,1.6691593751013292
G2_random,R_safe,8,225,0.0011385777777777766,0.0,4.051012345680038e-5,0.0019929113580246845,0.48444444444444446,65.22222222222223,-0.8213123293866393
G2_random,D_mean,1,225,-0.041783346830642144,-0.04797624738996302,-0.04681777221374556,-0.0366232644631597,0.07111111111111111,40.592592592592595,-0.8130752819649956
G2_random,D_mean,2,225,-0.015566578275144436,-0.01873819691666542,-0.017795680990734215,-0.01276925744760825,0.04,36.25925925925926,-0.7309187398747387
G2_random,D_mean,3,225,-0.0034237042967010176,-0.003631160808631781,-0.0039100331261995875,-0.0028970634162383273,0.09333333333333334,46.79259259259258,-0.4618250144301772
G2_random,D_mean,4,225,-0.0008376325277820564,-0.0006755712825767478,-0.0011676141482588453,-0.0005156342227678342,0.28444444444444444,48.24444444444443,-0.3329618197868202
G2_random,D_mean,5,225,-0.0010995654661091524,-0.0003685486892800356,-0.0014246252778235041,-0.0007946906693965666,0.27111111111111114,38.666666666666664,-0.6382998807146802
G2_random,D_mean,6,225,-0.001958289038038182,-0.0011687951086610908,-0.0022930714587934093,-0.0016236408533023222,0.14222222222222222,23.762962962962963,-1.5560578579086
G2_random,D_mean,7,225,-0.0028164536832362666,-0.0020709964759054603,-0.0032109402786017803,-0.002421678240489637,0.08444444444444445,12.977777777777778,-3.1698495944348863
G2_random,D_mean,8,225,-0.002809450609788999,-0.0024732200734819652,-0.0031971391496740495,-0.002441244142478849,0.09777777777777778,12.577777777777778,-4.421235315215713
G2_random,D_max,1,225,0.1306417080704743,-5.551115123125783e-17,0.07015233057030504,0.19885056451996702,0.3511111111111111,50.84444444444444,7.786187800624481
G2_random,D_max,2,225,0.043690399160620855,-5.551115123125783e-17,0.0152498315700039,0.08005157949544896,0.2,47.22222222222223,6.38640692822512
G2_random,D_max,3,225,0.005873423028859027,-5.551115123125783e-17,-0.0011573623007846588,0.016476811136392173,0.12444444444444444,47.511111111111106,2.574013016664281
G2_random,D_max,4,225,-0.00020968342180675912,-5.551115123125783e-17,-0.00033996758776763545,-7.234774076916404e-5,0.13333333333333333,49.50370370370371,-0.03265672914433948
G2_random,D_max,5,225,-5.1746389999727265e-5,-5.551115123125783e-17,-9.563795503425751e-5,4.37486236969589e-6,0.1111111111111111,48.86666666666666,-0.04347416999630698
G2_random,D_max,6,225,2.131187771051975e-7,-2.7755575615628914e-17,-3.8247326291238984e-5,5.570780034854619e-5,0.11555555555555555,49.1037037037037,0.1351768603820641
G2_random,D_max,7,225,1.6615197937443514e-5,-2.7755575615628914e-17,-1.866161370144692e-5,7.259150898831343e-5,0.12444444444444444,49.53333333333334,0.07592715827947985
G2_random,D_max,8,225,9.287074918207972e-6,-2.7755575615628914e-17,-2.6325653127836126e-5,6.289316644904886e-5,0.12444444444444444,49.2888888888889,-0.03365896241584087
G5_shuffled,R_safe,1,225,1.4802973661668755e-18,0.0,-1.2335811384723961e-17,1.5296406117057712e-17,0.23555555555555555,50.0,0.0
G5_shuffled,R_safe,2,225,-0.001287120987654319,0.0,-0.0025645570370370335,-9.89869135802446e-5,0.4177777777777778,53.10370370370371,0.13139308296276192
G5_shuffled,R_safe,3,225,-0.0024262814814814894,0.0,-0.004097439012345692,-0.0009754340740740767,0.4088888888888889,57.87407407407405,0.2507725952906263
G5_shuffled,R_safe,4,225,-0.0038857086419753135,0.0,-0.0057198358024691505,-0.0022358076543209896,0.3288888888888889,56.266666666666666,0.17684367818846575
G5_shuffled,R_safe,5,225,-0.00450970864197531,0.0,-0.00628245012345679,-0.002915220987654309,0.30666666666666664,54.18518518518518,0.06534797457143553
G5_shuffled,R_safe,6,225,-0.0050654024691358015,0.0,-0.006727796543209884,-0.0035038928395061757,0.28444444444444444,51.46666666666666,-0.05482725255893243
G5_shuffled,R_safe,7,225,-0.005348780246913588,0.0,-0.007043563950617285,-0.00378709283950617,0.23555555555555555,49.38518518518518,-0.16569474273603024
G5_shuffled,R_safe,8,225,-0.005711081481481488,0.0,-0.007538747407407411,-0.0041153592592592745,0.24444444444444444,47.53333333333333,-0.22946343691087495
G5_shuffled,D_mean,1,225,3.373073425510458e-20,0.0,-7.112366251504909e-19,8.269812304087216e-19,0.41333333333333333,50.0,0.0
G5_shuffled,D_mean,2,225,-0.02668307803098557,-0.028038584807053103,-0.027723738261683673,-0.025682872835434287,0.0,16.925925925925927,-1.416963611125088
G5_shuffled,D_mean,3,225,0.0011909898343502956,0.0005587070094854093,0.0007378742656642065,0.0016802186273645757,0.7066666666666667,63.955555555555556,0.544884488212029
G5_shuffled,D_mean,4,225,-0.0008091411199166849,-0.0014259857690749247,-0.0012166026720854702,-0.0004006322638012019,0.20444444444444446,39.87407407407407,-0.4150889198941072
G5_shuffled,D_mean,5,225,0.0005350003227144285,6.003379699372549e-5,0.00016620197638415483,0.0008939270635021043,0.5288888888888889,52.57037037037039,0.10507666886916915
G5_shuffled,D_mean,6,225,0.00043464328756292743,-0.00011242660572151512,8.246712543722102e-5,0.0008284654717316193,0.37333333333333335,46.74074074074071,-0.11823547718846926
G5_shuffled,D_mean,7,225,0.000362301178246515,-5.620619562726227e-6,9.798466520037662e-6,0.0007277422839157719,0.4533333333333333,48.296296296296305,-0.03851715077068455
G5_shuffled,D_mean,8,225,0.0004348100207966464,-8.208860633714468e-5,8.994880604099214e-5,0.0008073674981316171,0.39555555555555555,47.94814814814816,-0.08531000098249673
G5_shuffled,D_max,1,225,-1.6653345369377347e-18,0.0,-1.7208456881689926e-17,1.6161454890411486e-17,0.13333333333333333,50.0,0.0
G5_shuffled,D_max,2,225,-0.0008579098929529371,-1.3877787807814457e-17,-0.002254584274938953,0.0005454097372935328,0.19111111111111112,47.42962962962964,-0.11740998932514499
G5_shuffled,D_max,3,225,0.006187481274609793,-1.3877787807814457e-17,-0.00018459462160288082,0.016229695539217326,0.2,50.04444444444445,0.033679049199845136
G5_shuffled,D_max,4,225,-0.00014947162792799414,-1.3877787807814457e-17,-0.0003009032796752564,6.795542573012086e-7,0.17333333333333334,49.77777777777777,-0.007300571294564233
G5_shuffled,D_max,5,225,-1.1722026704185311e-5,-2.7755575615628914e-17,-5.4781722298797545e-5,4.347841739682895e-5,0.11555555555555555,49.14074074074074,-0.03784105708127832
G5_shuffled,D_max,6,225,-3.4241584293220205e-5,-2.7755575615628914e-17,-7.830200291731037e-5,2.4563025851114664e-5,0.1111111111111111,49.18518518518519,-0.03122239618905162
G5_shuffled,D_max,7,225,-3.84719700729196e-5,-2.7755575615628914e-17,-8.127272118324549e-5,1.9071656855201688e-5,0.1111111111111111,49.4,-0.03357293107958883
G5_shuffled,D_max,8,225,-2.6714860527269923e-5,-2.7755575615628914e-17,-6.698508262497657e-5,2.816788269607943e-5,0.1111111111111111,49.49629629629629,-0.017740007510680392
G3_periodic,R_safe,1,225,0.0025268148148148233,0.0,0.00026205925925926573,0.0050896444444444525,0.2311111111111111,47.77777777777778,NaN
G3_periodic,R_safe,2,225,0.010139851851851836,0.0005333333333332746,0.007462133333333321,0.012997637037037029,0.5022222222222222,62.666666666666664,NaN
G3_periodic,R_safe,3,225,0.0006518518518518512,0.00039999999999995595,-0.00015445925925926018,0.001438903703703703,0.5377777777777778,71.77777777777777,NaN
G3_periodic,R_safe,4,225,-0.0005407407407407315,0.0,-0.0026831185185185098,0.0013120740740740844,0.49333333333333335,67.55555555555556,NaN
G3_periodic,R_safe,5,225,0.0027656296296296344,0.0009333333333334526,0.0020974370370370394,0.00341217777777778,0.5377777777777778,71.77777777777777,NaN
G3_periodic,R_safe,6,225,0.002052740740740738,0.0009333333333332305,0.0008367111111111098,0.0030669703703703663,0.5688888888888889,75.11111111111111,NaN
G3_periodic,R_safe,7,225,0.002805629629629634,0.0006000000000000449,0.001558800000000006,0.003943762962962963,0.5555555555555556,73.55555555555556,NaN
G3_periodic,R_safe,8,225,0.000957925925925928,0.0,-0.00013125925925925377,0.001824622222222226,0.4711111111111111,65.11111111111111,NaN
G3_periodic,D_mean,1,225,0.010250823140165424,0.002572431684833245,0.006008407318861075,0.01494929968117545,0.6533333333333333,75.33333333333333,NaN
G3_periodic,D_mean,2,225,0.003207304967184408,0.001408668252282804,0.0010149666089731499,0.005855584432638141,0.6222222222222222,68.22222222222223,NaN
