n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
0,0.01,0.29907448717445867,1.3480119766882377,0.183764442726519,true,false,0.29819999999999997
1,0.01,0.29939248422411724,1.3480119766882377,0.183764442726519,true,false,0.9900333333333333
2,0.01,0.6494546406646616,1.3480119766882377,0.183764442726519,true,false,0.9783666666666666
3,0.01,1.657279741137546,1.3480119766882377,0.183764442726519,false,false,0.9447666666666666
4,0.01,1.705730577041394,1.3480119766882377,0.183764442726519,false,false,0.9431666666666667
5,0.01,1.7382357214822155,1.3480119766882377,0.183764442726519,false,false,0.9420333333333333
6,0.01,1.9533614785732454,1.3480119766882377,0.183764442726519,false,false,0.9349000000000001
7,0.01,1.9588576912018523,1.3480119766882377,0.183764442726519,false,false,0.9347
8,0.01,1.9442981475815424,1.3480119766882377,0.183764442726519,false,false,0.9351666666666667
9,0.01,1.727447947204708,1.3480119766882377,0.183764442726519,false,false,0.9424333333333333
10,0.01,1.6541661043209117,1.3480119766882377,0.183764442726519,false,false,0.9448333333333333
0,0.02,0.2938972239437888,1.322237867684818,0.17846782463212515,true,false,0.29806666666666665
1,0.02,0.29415628487413104,1.322237867684818,0.17846782463212515,true,false,0.9901666666666668
2,0.02,0.6387307668662987,1.322237867684818,0.17846782463212515,true,false,0.9787
3,0.02,1.657240165717038,1.322237867684818,0.17846782463212515,false,false,0.9447666666666666
4,0.02,1.7057362420963569,1.322237867684818,0.17846782463212515,false,false,0.9431666666666667
5,0.02,1.738312674467546,1.322237867684818,0.17846782463212515,false,false,0.9420333333333333
6,0.02,1.941463729241965,1.322237867684818,0.17846782463212515,false,false,0.9353
7,0.02,1.9463362144134437,1.322237867684818,0.17846782463212515,false,false,0.9351
8,0.02,1.931748519643872,1.322237867684818,0.17846782463212515,false,false,0.9356333333333333
9,0.02,1.727447996836967,1.322237867684818,0.17846782463212515,false,false,0.9424333333333333
10,0.02,1.6598496576213586,1.322237867684818,0.17846782463212515,false,false,0.9447
0,0.03,0.2886564165724124,1.2959211061875278,0.17314866766945214,true,false,0.29819999999999997
1,0.03,0.28940259044409633,1.2959211061875278,0.17314866766945214,true,false,0.9903666666666667
2,0.03,0.6254868046571394,1.2959211061875278,0.17314866766945214,true,false,0.9791666666666666
3,0.03,1.6572000709140693,1.2959211061875278,0.17314866766945214,false,false,0.9447666666666666
4,0.03,1.7057629467555258,1.2959211061875278,0.17314866766945214,false,false,0.9431666666666667
5,0.03,1.7378475007654106,1.2959211061875278,0.17314866766945214,false,false,0.9421
6,0.03,1.7576979255286505,1.2959211061875278,0.17314866766945214,false,false,0.9414333333333335
7,0.03,1.7649195871248626,1.2959211061875278,0.17314866766945214,false,false,0.9411666666666666
8,0.03,1.7711410720677028,1.2959211061875278,0.17314866766945214,false,false,0.9409666666666666
9,0.03,1.7199479697156332,1.2959211061875278,0.17314866766945214,false,false,0.9427000000000001
10,0.03,1.6076786697775916,1.2959211061875278,0.17314866766945214,false,false,0.9464333333333333
0,0.04,0.28334876913373064,1.2690383496613233,0.16780677919772474,true,false,0.29806666666666665
1,0.04,0.28374667415014165,1.2690383496613233,0.16780677919772474,true,false,0.9905666666666667
2,0.04,0.6136226763322111,1.2690383496613233,0.16780677919772474,true,false,0.9795666666666667
3,0.04,1.6571986395997558,1.2690383496613233,0.16780677919772474,false,false,0.9447666666666666
4,0.04,1.706276590223952,1.2690383496613233,0.16780677919772474,false,false,0.9430999999999999
5,0.04,1.7381817518394393,1.2690383496613233,0.16780677919772474,false,false,0.9420333333333333
6,0.04,1.757654457905458,1.2690383496613233,0.16780677919772474,false,false,0.9414333333333335
7,0.04,1.7649132769240328,1.2690383496613233,0.16780677919772474,false,false,0.9411666666666666
8,0.04,1.7718797222114577,1.2690383496613233,0.16780677919772474,false,false,0.9409666666666666
9,0.04,1.7076060489323681,1.2690383496613233,0.16780677919772474,false,false,0.9430999999999999
10,0.04,1.6117560288273125,1.2690383496613233,0.16780677919772474,false,false,0.9463
0,0.05,0.27797004920511925,1.2415647162628543,0.1624419640957984,true,false,0.298
1,0.05,0.278383324966251,1.2415647162628543,0.1624419640957984,true,false,0.9907
2,0.05,0.6002764649105415,1.2415647162628543,0.1624419640957984,true,false,0.9799666666666667
3,0.05,1.6572340225350428,1.2415647162628543,0.1624419640957984,false,false,0.9447666666666666
4,0.05,1.7057363544508932,1.2415647162628543,0.1624419640957984,false,false,0.9431666666666667
5,0.05,1.7382852802539641,1.2415647162628543,0.1624419640957984,false,false,0.9420333333333333
6,0.05,1.7576540647753984,1.2415647162628543,0.1624419640957984,false,false,0.9414333333333335
7,0.05,1.7651578575581433,1.2415647162628543,0.1624419640957984,false,false,0.9411666666666666
8,0.05,1.7711371733153078,1.2415647162628543,0.1624419640957984,false,false,0.9409666666666666
9,0.05,1.7275066734600815,1.2415647162628543,0.1624419640957984,false,false,0.9424333333333333
10,0.05,1.661203371326419,1.2415647162628543,0.1624419640957984,false,false,0.9446333333333334
0,0.06,0.2725143167562638,1.2134736464477809,0.15705402471939556,true,false,0.29793333333333333
1,0.06,0.2730958431816551,1.2134736464477809,0.15705402471939556,true,false,0.9909
2,0.06,0.5875421753529412,1.2134736464477809,0.15705402471939556,true,false,0.9804333333333334
3,0.06,1.6571994262757241,1.2134736464477809,0.15705402471939556,false,false,0.9447666666666666
4,0.06,1.7057609919900876,1.2134736464477809,0.15705402471939556,false,false,0.9431666666666667
5,0.06,1.7382976528963965,1.2134736464477809,0.15705402471939556,false,false,0.9420333333333333
6,0.06,1.7571247646919703,1.2134736464477809,0.15705402471939556,false,false,0.9414333333333335
7,0.06,1.7651751490393344,1.2134736464477809,0.15705402471939556,false,false,0.9411666666666666
8,0.06,1.7758612717739461,1.2134736464477809,0.15705402471939556,false,false,0.9408333333333334
9,0.06,1.7393864527870275,1.2134736464477809,0.15705402471939556,false,false,0.9420333333333333
10,0.06,1.5237861660905891,1.2134736464477809,0.15705402471939556,false,false,0.9492333333333334
0,0.07,0.2669773359996954,1.1847367486669076,0.15164276085741354,true,false,0.298
1,0.07,0.2674019022583273,1.1847367486669076,0.15164276085741354,true,false,0.9911
2,0.07,0.5724402944835199,1.1847367486669076,0.15164276085741354,true,false,0.9809
3,0.07,1.657235436748387,1.1847367486669076,0.15164276085741354,false,false,0.9447666666666666
4,0.07,1.7057387833433793,1.1847367486669076,0.15164276085741354,false,false,0.9431666666666667
5,0.07,1.7381828477406576,1.1847367486669076,0.15164276085741354,false,false,0.9420333333333333
6,0.07,1.757645259201937,1.1847367486669076,0.15164276085741354,false,false,0.9414333333333335
7,0.07,1.765174572064408,1.1847367486669076,0.15164276085741354,false,false,0.9411666666666666
8,0.07,1.7711406571602362,1.1847367486669076,0.15164276085741354,false,false,0.9409666666666666
9,0.07,1.7393815188066197,1.1847367486669076,0.15164276085741354,false,false,0.9420333333333333
10,0.07,1.5999659065660061,1.1847367486669076,0.15164276085741354,false,false,0.9467
0,0.08,0.2613534311557943,1.155323626904165,0.14620796968728453,true,false,0.29793333333333333
1,0.08,0.2617506907475718,1.155323626904165,0.14620796968728453,true,false,0.9913000000000001
2,0.08,0.5574951611303273,1.155323626904165,0.14620796968728453,true,false,0.9814333333333334
3,0.08,1.6571909023151306,1.155323626904165,0.14620796968728453,false,false,0.9447666666666666
