family,n,E0,r,field,potential
B1_constant,5,0.2,0.0,0.0,0.0
B1_constant,5,0.2,5.0e-5,0.000299985,7.499749999999999e-9
B1_constant,5,0.2,0.0001,0.0005999400000000001,2.9998e-8
B1_constant,5,0.2,0.00015,0.000899865,6.749324999999999e-8
B1_constant,5,0.2,0.0002,0.0011997600000000002,1.19984e-7
B1_constant,5,0.2,0.00025,0.001499625,1.8746875e-7
B1_constant,5,0.2,0.0003,0.00179946,2.6994599999999995e-7
B1_constant,5,0.2,0.00035,0.002099265,3.6741424999999994e-7
B1_constant,5,0.2,0.0004,0.0023990400000000003,4.79872e-7
B1_constant,5,0.2,0.00045,0.0026987850000000004,6.0731775e-7
B1_constant,5,0.2,0.0005,0.0029985000000000003,7.4975e-7
B1_constant,5,0.2,0.00055,0.003298185,9.0716725e-7
B1_constant,5,0.2,0.0006,0.0035978399999999997,1.079568e-6
B1_constant,5,0.2,0.00065,0.0038974649999999997,1.26695075e-6
B1_constant,5,0.2,0.0007,0.00419706,1.469314e-6
B1_constant,5,0.2,0.00075,0.004496625000000001,1.68665625e-6
B1_constant,5,0.2,0.0008,0.004796160000000001,1.9189760000000004e-6
B1_constant,5,0.2,0.00085,0.005095664999999999,2.1662717499999997e-6
B1_constant,5,0.2,0.0009,0.0053951400000000005,2.428542e-6
B1_constant,5,0.2,0.00095,0.005694585,2.70578525e-6
B1_constant,5,0.2,0.001,0.005994,2.998e-6
B1_constant,5,0.2,0.00105,0.006293385,3.3051847499999997e-6
B1_constant,5,0.2,0.0011,0.00659274,3.6273379999999998e-6
B1_constant,5,0.2,0.00115,0.006892065,3.96445825e-6
B1_constant,5,0.2,0.0012,0.00719136,4.316543999999999e-6
B1_constant,5,0.2,0.00125,0.007490625,4.68359375e-6
B1_constant,5,0.2,0.0013,0.00778986,5.065605999999999e-6
B1_constant,5,0.2,0.00135,0.008089065,5.462579250000001e-6
B1_constant,5,0.2,0.0014,0.00838824,5.874512e-6
B1_constant,5,0.2,0.00145,0.008687385,6.3014027499999995e-6
B1_constant,5,0.2,0.0015,0.008986500000000001,6.74325e-6
B1_constant,5,0.2,0.00155,0.009285584999999999,7.20005225e-6
B1_constant,5,0.2,0.0016,0.00958464,7.671808e-6
B1_constant,5,0.2,0.00165,0.009883664999999998,8.15851575e-6
B1_constant,5,0.2,0.0017,0.010182659999999998,8.660174e-6
B1_constant,5,0.2,0.00175,0.010481625,9.176781250000002e-6
B1_constant,5,0.2,0.0018,0.01078056,9.708336e-6
B1_constant,5,0.2,0.00185,0.011079465,1.0254836750000001e-5
B1_constant,5,0.2,0.0019,0.01137834,1.0816282000000001e-5
B1_constant,5,0.2,0.00195,0.011677184999999998,1.1392670249999999e-5
B1_constant,5,0.2,0.002,0.011976,1.1983999999999999e-5
B1_constant,5,0.2,0.00205,0.012274785000000002,1.2590269750000001e-5
B1_constant,5,0.2,0.0021,0.01257354,1.3211477999999999e-5
B1_constant,5,0.2,0.00215,0.012872265,1.384762325e-5
B1_constant,5,0.2,0.0022,0.01317096,1.4498704000000002e-5
B1_constant,5,0.2,0.00225,0.013469624999999999,1.5164718749999997e-5
B1_constant,5,0.2,0.0023,0.013768260000000001,1.5845666e-5
B1_constant,5,0.2,0.00235,0.014066865000000001,1.654154425e-5
B1_constant,5,0.2,0.0024,0.01436544,1.7252351999999996e-5
B1_constant,5,0.2,0.00245,0.014663985000000001,1.7978087749999998e-5
B1_constant,5,0.2,0.0025,0.0149625,1.871875e-5
B1_constant,5,0.2,0.00255,0.015260985,1.947433725e-5
B1_constant,5,0.2,0.0026,0.015559439999999999,2.0244848e-5
B1_constant,5,0.2,0.00265,0.015857865,2.103028075e-5
B1_constant,5,0.2,0.0027,0.01615626,2.1830634000000004e-5
B1_constant,5,0.2,0.00275,0.016454625,2.2645906249999998e-5
B1_constant,5,0.2,0.0028,0.016752959999999997,2.3476096e-5
B1_constant,5,0.2,0.00285,0.017051265,2.432120175e-5
B1_constant,5,0.2,0.0029,0.01734954,2.5181222e-5
B1_constant,5,0.2,0.00295,0.017647785,2.605615525e-5
B1_constant,5,0.2,0.003,0.017946000000000004,2.6946000000000003e-5
B1_constant,5,0.2,0.00305,0.018244185,2.7850754750000002e-5
