model,method,layer,cohens_d
qwen2.5-0.5b-instruct,diff_means,0,1.060631513595581
qwen2.5-0.5b-instruct,diff_means,1,1.0562618970870972
qwen2.5-0.5b-instruct,diff_means,2,0.9525745511054993
qwen2.5-0.5b-instruct,diff_means,3,1.008382797241211
qwen2.5-0.5b-instruct,diff_means,4,1.4357610940933228
qwen2.5-0.5b-instruct,diff_means,5,1.3560789823532104
qwen2.5-0.5b-instruct,diff_means,6,1.1487319469451904
qwen2.5-0.5b-instruct,diff_means,7,1.1125013828277588
qwen2.5-0.5b-instruct,diff_means,8,1.2036404609680176
qwen2.5-0.5b-instruct,diff_means,9,1.4808433055877686
qwen2.5-0.5b-instruct,diff_means,10,1.5205795764923096
qwen2.5-0.5b-instruct,diff_means,11,1.445595383644104
qwen2.5-0.5b-instruct,diff_means,12,1.9465844631195068
qwen2.5-0.5b-instruct,diff_means,13,2.1502528190612793
qwen2.5-0.5b-instruct,diff_means,14,2.056450128555298
qwen2.5-0.5b-instruct,diff_means,15,2.0758652687072754
qwen2.5-0.5b-instruct,diff_means,16,2.113758087158203
qwen2.5-0.5b-instruct,diff_means,17,2.1669466495513916
qwen2.5-0.5b-instruct,diff_means,18,2.200028657913208
qwen2.5-0.5b-instruct,diff_means,19,2.209240436553955
qwen2.5-0.5b-instruct,diff_means,20,2.159412145614624
qwen2.5-0.5b-instruct,diff_means,21,2.2241060733795166
qwen2.5-0.5b-instruct,diff_means,22,2.276324510574341
qwen2.5-0.5b-instruct,diff_means,23,2.413376808166504
qwen2.5-0.5b-instruct,logistic,0,2.6760215759277344
qwen2.5-0.5b-instruct,logistic,1,2.9642691612243652
qwen2.5-0.5b-instruct,logistic,2,3.1788783073425293
qwen2.5-0.5b-instruct,logistic,3,3.5014758110046387
qwen2.5-0.5b-instruct,logistic,4,4.523874282836914
qwen2.5-0.5b-instruct,logistic,5,4.156647205352783
qwen2.5-0.5b-instruct,logistic,6,4.461066722869873
qwen2.5-0.5b-instruct,logistic,7,5.0927557945251465
qwen2.5-0.5b-instruct,logistic,8,4.220612525939941
qwen2.5-0.5b-instruct,logistic,9,4.223448753356934
qwen2.5-0.5b-instruct,logistic,10,5.1123433113098145
qwen2.5-0.5b-instruct,logistic,11,4.521138668060303
qwen2.5-0.5b-instruct,logistic,12,5.051434516906738
qwen2.5-0.5b-instruct,logistic,13,4.753932476043701
qwen2.5-0.5b-instruct,logistic,14,5.056334018707275
qwen2.5-0.5b-instruct,logistic,15,4.878893852233887
qwen2.5-0.5b-instruct,logistic,16,4.910403251647949
qwen2.5-0.5b-instruct,logistic,17,4.89240026473999
qwen2.5-0.5b-instruct,logistic,18,4.82397985458374
qwen2.5-0.5b-instruct,logistic,19,4.838646411895752
qwen2.5-0.5b-instruct,logistic,20,4.79364538192749
qwen2.5-0.5b-instruct,logistic,21,4.918500900268555
qwen2.5-0.5b-instruct,logistic,22,5.33298921585083
qwen2.5-0.5b-instruct,logistic,23,5.626573085784912
