ctrl,n,seed,field,A,logA,attack,omega,phase,r0,r_max,safe_frac,r_end,captured,crossed,t_cross,mean_r,ctrl_action
B0_none,4,0,linear,0.1,-1.0,sinusoid,29.67463600940078,1,0.15,0.20335022348927437,1.0,0.2028216339189857,false,false,Inf,0.19389541278482367,0.0
B0_none,4,0,linear,0.1,-1.0,sinusoid,29.67463600940078,1,0.35,0.35,1.0,0.20288872644456607,false,false,Inf,0.21888723448222727,0.0
B0_none,4,0,linear,0.1,-1.0,sinusoid,0.9737811796247317,2,0.15,0.27155467363828795,1.0,0.24900753023220698,false,false,Inf,0.19987613176418378,0.0
B0_none,4,0,linear,0.1,-1.0,sinusoid,0.9737811796247317,2,0.35,0.35,1.0,0.24907462275778758,false,false,Inf,0.2248679534615875,0.0
B0_none,4,0,linear,0.1,-1.0,square,2.345493929644792,1,0.15,0.25821804514983987,1.0,0.23057832002098355,false,false,Inf,0.19039415926750736,0.0
B0_none,4,0,linear,0.1,-1.0,square,2.345493929644792,1,0.35,0.35,1.0,0.23064541254656423,false,false,Inf,0.21538598096491102,0.0
B0_none,4,0,linear,0.1,-1.0,square,0.6454881148822683,2,0.15,0.29846971361426744,1.0,0.27364595185286705,false,false,Inf,0.20621054382684356,0.0
B0_none,4,0,linear,0.1,-1.0,square,0.6454881148822683,2,0.35,0.35,1.0,0.27371304437844757,false,false,Inf,0.231202365524247,0.0
B0_none,4,0,linear,0.1,-1.0,chirp,11.601479506543582,1,0.15,0.20223783464683742,1.0,0.19973663229102145,false,false,Inf,0.19631654117516498,0.0
B0_none,4,0,linear,0.1,-1.0,chirp,11.601479506543582,1,0.35,0.35,1.0,0.1998037248166019,false,false,Inf,0.22130836287256841,0.0
B0_none,4,0,linear,0.1,-1.0,chirp,5.7080360759589475,2,0.15,0.21521513756682498,1.0,0.19709786087468756,false,false,Inf,0.19804633653978376,0.0
B0_none,4,0,linear,0.1,-1.0,chirp,5.7080360759589475,2,0.35,0.35,1.0,0.19716495340026835,false,false,Inf,0.22303815823718728,0.0
B0_none,4,0,linear,0.1,-1.0,multifreq,0.897945906697809,1,0.15,0.24574726631786203,1.0,0.19642834407987703,false,false,Inf,0.197660630891988,0.0
B0_none,4,0,linear,0.1,-1.0,multifreq,0.897945906697809,1,0.35,0.35,1.0,0.19649543660545715,false,false,Inf,0.22265245258939156,0.0
B0_none,4,0,linear,0.1,-1.0,multifreq,4.065113691259014,2,0.15,0.21292930257103748,1.0,0.20329750377143063,false,false,Inf,0.1938277660038412,0.0
B0_none,4,0,linear,0.1,-1.0,multifreq,4.065113691259014,2,0.35,0.35,1.0,0.2033645962970111,false,false,Inf,0.21881958770124482,0.0
B0_none,4,0,linear,0.1,-1.0,ou_noise,1.3227083652174874,1,0.15,0.2016179343326073,1.0,0.1873430289923777,false,false,Inf,0.17508574061423954,0.0
B0_none,4,0,linear,0.1,-1.0,ou_noise,1.3227083652174874,1,0.35,0.35,1.0,0.18741012151795808,false,false,Inf,0.20007756231164323,0.0
B0_none,4,0,linear,0.1,-1.0,ou_noise,4.1799305664834,2,0.15,0.21174946699577565,1.0,0.1790212268019416,false,false,Inf,0.1797787713184622,0.0
B0_none,4,0,linear,0.1,-1.0,ou_noise,4.1799305664834,2,0.35,0.35,1.0,0.17908831932752192,false,false,Inf,0.20477059301586573,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,sinusoid,2.0511717487311705,1,0.15,0.2611587705689893,1.0,0.1624608027168533,false,false,Inf,0.18249430078982745,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,sinusoid,2.0511717487311705,1,0.35,0.35,1.0,0.16252789524243388,false,false,Inf,0.20748612248723106,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,sinusoid,1.9642726276617517,2,0.15,0.26354048522556855,1.0,0.1851916943639877,false,false,Inf,0.19983003000205263,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,sinusoid,1.9642726276617517,2,0.35,0.35,1.0,0.18525878688956818,false,false,Inf,0.22482185169945618,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,square,14.141609911096415,1,0.15,0.2154615259994511,1.0,0.2140054485364494,false,false,Inf,0.19195248115004584,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,square,14.141609911096415,1,0.35,0.35,1.0,0.21407254106202986,false,false,Inf,0.21694430284744937,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,square,2.792067910405508,2,0.15,0.27638000551273717,1.0,0.2583855306270069,false,false,Inf,0.20399572309553676,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,square,2.792067910405508,2,0.35,0.35,1.0,0.2584526231525877,false,false,Inf,0.2289875447929402,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,chirp,4.1585835657023935,1,0.15,0.24139453863549687,1.0,0.19921019360092102,false,false,Inf,0.20121936262317236,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,chirp,4.1585835657023935,1,0.35,0.35,1.0,0.19927728612650145,false,false,Inf,0.22621118432057585,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,chirp,6.885494793072133,2,0.15,0.22354929118429226,1.0,0.19967661815697527,false,false,Inf,0.1990462160857445,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,chirp,6.885494793072133,2,0.35,0.35,1.0,0.19974371068255586,false,false,Inf,0.22403803778314807,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,multifreq,1.0178041511226448,1,0.15,0.2449707165595276,1.0,0.17495418580577077,false,false,Inf,0.19503282832736257,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,multifreq,1.0178041511226448,1,0.35,0.35,1.0,0.17502127833135128,false,false,Inf,0.22002465002476598,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,multifreq,26.527821021410535,2,0.15,0.20297237364433932,1.0,0.19836190726923097,false,false,Inf,0.19380152662383526,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,multifreq,26.527821021410535,2,0.35,0.35,1.0,0.19842899979481174,false,false,Inf,0.21879334832123878,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,ou_noise,11.385794517431627,1,0.15,0.2633281097059278,1.0,0.18851480875847842,false,false,Inf,0.20288705872411378,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,ou_noise,11.385794517431627,1,0.35,0.35,1.0,0.18858190128405902,false,false,Inf,0.2278788804215175,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,ou_noise,5.312244415567759,2,0.15,0.2314771177240542,1.0,0.1957322422977611,false,false,Inf,0.18419123754542113,0.0
B0_none,4,0,linear,0.14017374183467698,-0.8533333333333334,ou_noise,5.312244415567759,2,0.35,0.35,1.0,0.19579933482334166,false,false,Inf,0.20918305924282465,0.0
B0_none,4,0,linear,0.19648677899934675,-0.7066666666666667,sinusoid,5.3723415383146484,1,0.15,0.23590372738129872,1.0,0.18536188272069312,false,false,Inf,0.19120414742008368,0.0
B0_none,4,0,linear,0.19648677899934675,-0.7066666666666667,sinusoid,5.3723415383146484,1,0.35,0.35089664879670374,1.0,0.18542897524627397,false,false,Inf,0.21619596911748723,0.0
