family,n,seed,field,A,logA,r_star
B1_constant,2,0,linear,0.05011872336272722,-1.3,0.2
B1_constant,2,0,linear,0.05559042572704037,-1.255,0.2
B1_constant,2,0,linear,0.06165950018614822,-1.21,0.2
B1_constant,2,0,linear,0.06839116472814293,-1.165,0.2
B1_constant,2,0,linear,0.07585775750291836,-1.12,0.2
B1_constant,2,0,linear,0.08413951416451952,-1.075,0.2
B1_constant,2,0,linear,0.0933254300796991,-1.03,0.2
B1_constant,2,0,linear,0.10351421666793438,-0.985,0.2
B1_constant,2,0,linear,0.1148153621496883,-0.94,0.2
B1_constant,2,0,linear,0.12735030810166617,-0.895,0.2
B1_constant,2,0,linear,0.14125375446227545,-0.85,0.2
B1_constant,2,0,linear,0.15667510701081488,-0.805,0.2
B1_constant,2,0,linear,0.17378008287493754,-0.76,0.2
B1_constant,2,0,linear,0.1927524913190936,-0.715,0.2
B1_constant,2,0,linear,0.2137962089502232,-0.67,0.2
B1_constant,2,0,linear,0.23713737056616552,-0.625,0.2
B1_constant,2,0,linear,0.2630267991895382,-0.58,0.2
B1_constant,2,0,linear,0.29174270140011666,-0.535,0.2
B1_constant,2,0,linear,0.32359365692962827,-0.49,0.2
B1_constant,2,0,linear,0.3589219346450052,-0.445,0.2
B1_constant,2,0,linear,0.39810717055349726,-0.39999999999999997,0.2
B1_constant,2,0,linear,0.4415704473533125,-0.355,0.2
B1_constant,2,0,linear,0.4897788193684462,-0.31,0.2
B1_constant,2,0,linear,0.5432503314924332,-0.265,0.2
B1_constant,2,0,linear,0.6025595860743578,-0.21999999999999997,0.2
B1_constant,2,0,linear,0.6683439175686147,-0.17499999999999996,0.2
B1_constant,2,0,linear,0.7413102413009175,-0.13,0.2
B1_constant,2,0,linear,0.8222426499470711,-0.08500000000000003,0.2
B1_constant,2,0,linear,0.9120108393559098,-0.03999999999999999,0.2
B1_constant,2,0,linear,1.0115794542598986,0.005000000000000029,0.211385
B1_constant,2,0,linear,1.1220184543019633,0.04999999999999996,0.23701
B1_constant,2,0,linear,1.244514611771385,0.09499999999999997,0.26786
B1_constant,2,0,linear,1.3803842646028848,0.13999999999999999,0.306065
B1_constant,2,0,linear,1.53108746168203,0.18499999999999997,0.35582
B1_constant,2,0,linear,1.6982436524617444,0.23,0.428725
B1_constant,2,0,linear,1.8836490894898006,0.275,1.0
B1_constant,2,0,linear,2.0892961308540396,0.32,1.0
B1_constant,2,0,linear,2.3173946499684783,0.36499999999999994,1.0
B1_constant,2,0,linear,2.5703957827688635,0.4099999999999999,1.0
B1_constant,2,0,linear,2.8510182675039095,0.455,1.0
B1_constant,2,0,linear,3.1622776601683795,0.5,1.0
B1_constant,2,0,linear,3.5075187395256804,0.545,1.0
B1_constant,2,0,linear,3.890451449942806,0.59,1.0
B1_constant,2,0,linear,4.3151907682776525,0.635,1.0
B1_constant,2,0,linear,4.786300923226384,0.68,1.0
B1_constant,2,0,linear,5.3088444423098835,0.725,1.0
B1_constant,2,0,linear,5.88843655355589,0.77,1.0
B1_constant,2,0,linear,6.531305526474723,0.815,1.0
B1_constant,2,0,linear,7.244359600749901,0.86,1.0
B1_constant,2,0,linear,8.035261221856173,0.905,1.0
B1_constant,2,0,linear,8.912509381337454,0.95,1.0
B1_constant,2,0,linear,9.885530946569387,0.995,1.0
B1_constant,2,0,linear,10.964781961431852,1.04,1.0
B1_constant,2,0,linear,12.161860006463678,1.085,1.0
B1_constant,2,0,linear,13.489628825916533,1.13,1.0
B1_constant,2,0,linear,14.962356560944336,1.175,1.0
B1_constant,2,0,linear,16.595869074375607,1.22,1.0
B1_constant,2,0,linear,18.407720014689556,1.265,1.0
B1_constant,2,0,linear,20.417379446695296,1.31,1.0
B1_constant,2,0,linear,22.646443075930595,1.355,1.0
B1_constant,2,0,linear,25.118864315095795,1.4,1.0
B2_central,2,0,linear,0.05011872336272722,-1.3,0.25012
B2_central,2,0,linear,0.05559042572704037,-1.255,0.255595
B2_central,2,0,linear,0.06165950018614822,-1.21,0.26166
B2_central,2,0,linear,0.06839116472814293,-1.165,0.268395
B2_central,2,0,linear,0.07585775750291836,-1.12,0.27586
B2_central,2,0,linear,0.08413951416451952,-1.075,0.28414
B2_central,2,0,linear,0.0933254300796991,-1.03,0.29333
B2_central,2,0,linear,0.10351421666793438,-0.985,0.303515
B2_central,2,0,linear,0.1148153621496883,-0.94,0.31482
B2_central,2,0,linear,0.12735030810166617,-0.895,0.327355
B2_central,2,0,linear,0.14125375446227545,-0.85,0.33348
B2_central,2,0,linear,0.15667510701081488,-0.805,0.33376
B2_central,2,0,linear,0.17378008287493754,-0.76,0.334075
B2_central,2,0,linear,0.1927524913190936,-0.715,0.33442
B2_central,2,0,linear,0.2137962089502232,-0.67,0.334805
B2_central,2,0,linear,0.23713737056616552,-0.625,0.335235
B2_central,2,0,linear,0.2630267991895382,-0.58,0.33571
B2_central,2,0,linear,0.29174270140011666,-0.535,0.33624
B2_central,2,0,linear,0.32359365692962827,-0.49,0.33683
B2_central,2,0,linear,0.3589219346450052,-0.445,0.33749
B2_central,2,0,linear,0.39810717055349726,-0.39999999999999997,0.33822
B2_central,2,0,linear,0.4415704473533125,-0.355,0.339035
B2_central,2,0,linear,0.4897788193684462,-0.31,0.339945
B2_central,2,0,linear,0.5432503314924332,-0.265,0.34096
B2_central,2,0,linear,0.6025595860743578,-0.21999999999999997,0.342095
B2_central,2,0,linear,0.6683439175686147,-0.17499999999999996,0.34336
B2_central,2,0,linear,0.7413102413009175,-0.13,0.344775
B2_central,2,0,linear,0.8222426499470711,-0.08500000000000003,0.34636
B2_central,2,0,linear,0.9120108393559098,-0.03999999999999999,0.34814
B2_central,2,0,linear,1.0115794542598986,0.005000000000000029,0.350135
