family,n,seed,kstar,D,peak_k
B1_constant,2,0,1,0.5,4.5
B1_constant,2,0,2,1.0,6.75
B2_central,2,0,1,0.5,4.5
B2_central,2,0,2,1.0,6.75
B3_periodic,2,0,1,0.33333333333333337,2.25
B3_periodic,2,0,2,0.6111111111111112,3.375
B7_cantor,2,0,1,0.33333333333333337,2.25
B7_cantor,2,0,2,0.6666666666666666,3.375
B4_random,2,1,1,0.44142632730906584,2.25
B4_random,2,1,2,0.7728466843226165,3.375
B4_random,2,2,1,0.5382542499592076,2.25
B4_random,2,2,2,0.7624742999087775,3.375
B4_random,2,3,1,0.30531300584332427,2.25
B4_random,2,3,2,0.5017530612159211,3.375
B4_random,2,4,1,0.3972973102629559,2.25
B4_random,2,4,2,0.788181111680287,3.375
B4_random,2,5,1,0.3275793194939841,2.25
B4_random,2,5,2,0.504890846913681,3.375
B4_random,2,6,1,0.39025086450043545,2.25
B4_random,2,6,2,0.7436809612105817,3.375
B4_random,2,7,1,0.46939912907364423,2.25
B4_random,2,7,2,0.7324006247533292,3.375
B4_random,2,8,1,0.5390767458906005,2.25
B4_random,2,8,2,0.751305248673459,3.375
B4_random,2,9,1,0.4744177587711983,2.25
B4_random,2,9,2,0.7466580958525745,3.375
B4_random,2,10,1,0.49092006960038903,2.25
B4_random,2,10,2,0.7759100980430349,3.375
B4_random,2,11,1,0.3007606714093203,2.25
B4_random,2,11,2,0.49461962040023444,3.375
B4_random,2,12,1,0.3599571622186458,2.25
B4_random,2,12,2,0.5942474330027974,3.375
B4_random,2,13,1,0.4631857552477198,2.25
B4_random,2,13,2,0.6912926860396171,3.375
B4_random,2,14,1,0.3507608158405279,2.25
B4_random,2,14,2,0.6296960462712073,3.375
B4_random,2,15,1,0.3340473361274292,2.25
B4_random,2,15,2,0.4933638256280149,3.375
B4_random,2,16,1,0.35620009717513157,2.25
B4_random,2,16,2,0.6060762684493849,3.375
B4_random,2,17,1,0.34236077124490916,2.25
B4_random,2,17,2,0.5453658355460199,3.375
B4_random,2,18,1,0.433728271085166,2.25
B4_random,2,18,2,0.4790223484226661,3.375
B4_random,2,19,1,0.35966853130404863,2.25
B4_random,2,19,2,0.5771882976412299,3.375
B4_random,2,20,1,0.4716660755743755,2.25
B4_random,2,20,2,0.7225383801149153,3.375
B4_random,2,21,1,0.33481751902457724,2.25
B4_random,2,21,2,0.5351647415962799,3.375
B4_random,2,22,1,0.4160645488385458,2.25
B4_random,2,22,2,0.5876662975202558,3.375
B4_random,2,23,1,0.39861962290902386,2.25
B4_random,2,23,2,0.6659504268888631,3.375
B4_random,2,24,1,0.46169711238350375,2.25
B4_random,2,24,2,0.8727468001503258,3.375
B5_shuffled,2,1,1,0.33333333333333326,2.25
B5_shuffled,2,1,2,0.6111111111111112,3.375
B5_shuffled,2,2,1,0.33333333333333337,2.25
B5_shuffled,2,2,2,0.6666666666666666,3.375
B5_shuffled,2,3,1,0.33333333333333337,2.25
B5_shuffled,2,3,2,0.6666666666666666,3.375
B5_shuffled,2,4,1,0.33333333333333326,2.25
B5_shuffled,2,4,2,0.6111111111111112,3.375
B5_shuffled,2,5,1,0.33333333333333337,2.25
B5_shuffled,2,5,2,0.6666666666666666,3.375
B5_shuffled,2,6,1,0.33333333333333337,2.25
B5_shuffled,2,6,2,0.6666666666666666,3.375
B5_shuffled,2,7,1,0.33333333333333337,2.25
B5_shuffled,2,7,2,0.6111111111111112,3.375
B5_shuffled,2,8,1,0.33333333333333337,2.25
B5_shuffled,2,8,2,0.6111111111111112,3.375
B5_shuffled,2,9,1,0.33333333333333326,2.25
B5_shuffled,2,9,2,0.6111111111111112,3.375
B5_shuffled,2,10,1,0.33333333333333337,2.25
B5_shuffled,2,10,2,0.6111111111111112,3.375
B5_shuffled,2,11,1,0.33333333333333337,2.25
B5_shuffled,2,11,2,0.6111111111111112,3.375
B5_shuffled,2,12,1,0.33333333333333337,2.25
B5_shuffled,2,12,2,0.6111111111111112,3.375
B5_shuffled,2,13,1,0.33333333333333326,2.25
B5_shuffled,2,13,2,0.6111111111111112,3.375
B5_shuffled,2,14,1,0.33333333333333337,2.25
B5_shuffled,2,14,2,0.6111111111111112,3.375
B5_shuffled,2,15,1,0.33333333333333326,2.25
B5_shuffled,2,15,2,0.6111111111111112,3.375
B5_shuffled,2,16,1,0.33333333333333337,2.25
B5_shuffled,2,16,2,0.6111111111111112,3.375
B5_shuffled,2,17,1,0.33333333333333326,2.25
B5_shuffled,2,17,2,0.6111111111111112,3.375
B5_shuffled,2,18,1,0.33333333333333326,2.25
B5_shuffled,2,18,2,0.6111111111111112,3.375
B5_shuffled,2,19,1,0.33333333333333337,2.25
B5_shuffled,2,19,2,0.6666666666666666,3.375
B5_shuffled,2,20,1,0.33333333333333337,2.25
B5_shuffled,2,20,2,0.6111111111111112,3.375
B5_shuffled,2,21,1,0.33333333333333337,2.25
B5_shuffled,2,21,2,0.6666666666666666,3.375
B5_shuffled,2,22,1,0.33333333333333326,2.25
B5_shuffled,2,22,2,0.6111111111111112,3.375
B5_shuffled,2,23,1,0.33333333333333326,2.25
B5_shuffled,2,23,2,0.6111111111111112,3.375
B5_shuffled,2,24,1,0.33333333333333337,2.25
B5_shuffled,2,24,2,0.6111111111111112,3.375
B6_center_anchored,2,1,1,0.33333333333333337,2.25
B6_center_anchored,2,1,2,0.6666666666666666,3.375
B6_center_anchored,2,2,1,0.33333333333333337,2.25
B6_center_anchored,2,2,2,0.6666666666666666,3.375
B6_center_anchored,2,3,1,0.33333333333333337,2.25
B6_center_anchored,2,3,2,0.6666666666666666,3.375
B6_center_anchored,2,4,1,0.33333333333333337,2.25
B6_center_anchored,2,4,2,0.6666666666666666,3.375
B6_center_anchored,2,5,1,0.33333333333333337,2.25
B6_center_anchored,2,5,2,0.6666666666666666,3.375
B6_center_anchored,2,6,1,0.33333333333333337,2.25
B6_center_anchored,2,6,2,0.6666666666666666,3.375
B6_center_anchored,2,7,1,0.33333333333333337,2.25
B6_center_anchored,2,7,2,0.6666666666666666,3.375
B6_center_anchored,2,8,1,0.33333333333333337,2.25
B6_center_anchored,2,8,2,0.6666666666666666,3.375
B6_center_anchored,2,9,1,0.33333333333333337,2.25
B6_center_anchored,2,9,2,0.6666666666666666,3.375
B6_center_anchored,2,10,1,0.33333333333333337,2.25
B6_center_anchored,2,10,2,0.6666666666666666,3.375
B6_center_anchored,2,11,1,0.33333333333333337,2.25
B6_center_anchored,2,11,2,0.6666666666666666,3.375
B6_center_anchored,2,12,1,0.33333333333333337,2.25
B6_center_anchored,2,12,2,0.6666666666666666,3.375
B6_center_anchored,2,13,1,0.33333333333333337,2.25
B6_center_anchored,2,13,2,0.6666666666666666,3.375
B6_center_anchored,2,14,1,0.33333333333333337,2.25
B6_center_anchored,2,14,2,0.6666666666666666,3.375
B6_center_anchored,2,15,1,0.33333333333333337,2.25
B6_center_anchored,2,15,2,0.6666666666666666,3.375
B6_center_anchored,2,16,1,0.33333333333333337,2.25
B6_center_anchored,2,16,2,0.6666666666666666,3.375
B6_center_anchored,2,17,1,0.33333333333333337,2.25
B6_center_anchored,2,17,2,0.6666666666666666,3.375
B6_center_anchored,2,18,1,0.33333333333333337,2.25
B6_center_anchored,2,18,2,0.6666666666666666,3.375
B6_center_anchored,2,19,1,0.33333333333333337,2.25
B6_center_anchored,2,19,2,0.6666666666666666,3.375
B6_center_anchored,2,20,1,0.33333333333333337,2.25
B6_center_anchored,2,20,2,0.6666666666666666,3.375
B6_center_anchored,2,21,1,0.33333333333333337,2.25
B6_center_anchored,2,21,2,0.6666666666666666,3.375
B6_center_anchored,2,22,1,0.33333333333333337,2.25
B6_center_anchored,2,22,2,0.6666666666666666,3.375
B6_center_anchored,2,23,1,0.33333333333333337,2.25
B6_center_anchored,2,23,2,0.6666666666666666,3.375
B6_center_anchored,2,24,1,0.33333333333333337,2.25
B6_center_anchored,2,24,2,0.6666666666666666,3.375
B1_constant,3,0,1,0.5,4.5
B1_constant,3,0,2,1.0,6.75
B1_constant,3,0,3,1.0,10.125
B2_central,3,0,1,0.5,4.5
B2_central,3,0,2,1.0,6.75
