family,n,E0,seed,min_level_action,max_level_action,max_rel_dev_from_E0,total_action,total_action_target,peak_ratio_min,peak_ratio_max,deltaV
B1_constant,2,0.5,0,0.0,0.9999999843750016,1.0,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,2,0.5,0,0.0,0.9999999843749952,1.0,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,2,0.5,0,0.4999999921874976,0.49999999218749935,1.5625004845531976e-8,0.9999999843749969,1.0,1.5,1.5,1.0
B7_cantor,2,0.5,0,0.4999999921874976,0.49999999218749924,1.5625004845531976e-8,0.9999999843749968,1.0,1.5,1.5,1.0
B4_random,2,0.5,1,0.49999999218749763,0.49999999218749924,1.5625004734509673e-8,0.9999999843749969,1.0,1.5,1.5,1.0
B5_shuffled,2,0.5,1,0.4999999921874975,0.49999999218749924,1.5625004956554278e-8,0.9999999843749967,1.0,1.5,1.5,1.0
B6_center_anchored,2,0.5,1,0.49999999218749763,0.49999999218749935,1.5625004734509673e-8,0.9999999843749969,1.0,1.5,1.5,1.0
B1_constant,3,0.3333333333333333,0,0.0,0.9999999843750016,1.999999953125005,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,3,0.3333333333333333,0,0.0,0.9999999843749952,1.9999999531249857,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,3,0.3333333333333333,0,0.3333333281249984,0.3333333281250005,1.5625004790020824e-8,0.9999999843749984,1.0,1.5,1.5,1.0
B7_cantor,3,0.3333333333333333,0,0.3333333281249984,0.3333333281250005,1.5625004790020824e-8,0.9999999843749984,1.0,1.5,1.5,1.0
B4_random,3,0.3333333333333333,1,0.3333333281249984,0.3333333281250005,1.5625004790020824e-8,0.9999999843749984,1.0,1.5,1.5,1.0
B5_shuffled,3,0.3333333333333333,1,0.33333332812499855,0.3333333281250005,1.5625004290420463e-8,0.9999999843749985,1.0,1.5,1.5,1.0
B6_center_anchored,3,0.3333333333333333,1,0.3333333281249984,0.3333333281250005,1.5625004790020824e-8,0.9999999843749984,1.0,1.5,1.5,1.0
B1_constant,4,0.25,0,0.0,0.9999999843750016,2.9999999375000064,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,4,0.25,0,0.0,0.9999999843749952,2.9999999374999806,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,4,0.25,0,0.2499999960937488,0.2499999960937496,1.5625004845531976e-8,0.9999999843749974,1.0,1.5,1.5,1.0
B7_cantor,4,0.25,0,0.2499999960937488,0.24999999609374962,1.5625004845531976e-8,0.9999999843749974,1.0,1.5,1.5,1.0
B4_random,4,0.25,1,0.24999999609374882,0.24999999609374962,1.5625004734509673e-8,0.9999999843749975,1.0,1.5,1.5,1.0
B5_shuffled,4,0.25,1,0.2499999960937488,0.24999999609374968,1.5625004845531976e-8,0.9999999843749975,1.0,1.5,1.5,1.0
B6_center_anchored,4,0.25,1,0.24999999609374882,0.24999999609374962,1.5625004734509673e-8,0.9999999843749975,1.0,1.5,1.5,1.0
B1_constant,5,0.2,0,0.0,0.9999999843750016,3.999999921875008,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,5,0.2,0,0.0,0.9999999843749952,3.9999999218749758,0.9999999843749952,1.0,1.5,1.5,1.0
B3_periodic,5,0.2,0,0.19999999687499892,0.1999999968750019,1.562500545615464e-8,0.9999999843750005,1.0,1.4999999999999998,1.5000000000000002,0.9999999999999996
B7_cantor,5,0.2,0,0.19999999687499892,0.1999999968750019,1.562500545615464e-8,0.9999999843750005,1.0,1.4999999999999998,1.5000000000000002,0.9999999999999999
B4_random,5,0.2,1,0.19999999687499892,0.1999999968750019,1.562500545615464e-8,0.9999999843750005,1.0,1.4999999999999998,1.5000000000000002,1.0
B5_shuffled,5,0.2,1,0.1999999968749989,0.1999999968750019,1.5625005594932517e-8,0.9999999843750005,1.0,1.4999999999999998,1.5000000000000002,0.9999999999999999
B6_center_anchored,5,0.2,1,0.1999999968749989,0.1999999968750019,1.5625005594932517e-8,0.9999999843750005,1.0,1.4999999999999998,1.5000000000000002,0.9999999999999999
B1_constant,6,0.16666666666666666,0,0.0,0.9999999843750016,4.99999990625001,0.9999999843750016,1.0,1.5,1.5,1.0
B2_central,6,0.16666666666666666,0,0.0,0.9999999843749952,4.999999906249972,0.9999999843749952,1.0,1.5,1.5,1.0
