model,layer,attack,bin,tau_global,sigma_global,tau_cond,sigma_cond,delta_norm,sigma_ratio,n_h,n_b,phase
qwen2.5-0.5b-instruct,4,hypothetical_dev,gen_1,-0.5282904869682776,0.4162856694821914,-0.016911949563239305,0.09877553263736234,1.2284317594721212,0.23727824395258923,28,28,generation
qwen2.5-0.5b-instruct,4,hypothetical_dev,gen_17+,-0.5282904869682776,0.4162856694821914,-0.4454528499888826,0.3435731701280953,0.1989922859521802,0.8253302847428267,196,196,generation
qwen2.5-0.5b-instruct,4,hypothetical_dev,gen_2-4,-0.5282904869682776,0.4162856694821914,-0.12090377633770308,0.6170582374752707,0.9786229517276295,1.4822951706284193,84,84,generation
qwen2.5-0.5b-instruct,4,hypothetical_dev,gen_5-8,-0.5282904869682776,0.4162856694821914,-0.5070568258940641,0.42169918416833085,0.05100742742507957,1.0130043263148434,112,112,generation
qwen2.5-0.5b-instruct,4,hypothetical_dev,gen_9-16,-0.5282904869682776,0.4162856694821914,-0.5970580127156739,0.3412522500110632,-0.1651931132602636,0.8197549784395397,224,224,generation
qwen2.5-0.5b-instruct,4,hypothetical_dev,prefill,-0.5282904869682776,0.4162856694821914,-0.631633351956095,0.1541164157873472,-0.24824987397803852,0.37021792265645176,28,28,prefill
qwen2.5-0.5b-instruct,4,plain,gen_1,-0.5282904869682776,0.4162856694821914,-0.08785320675399687,0.19894638781038637,1.0580169160329995,0.47790832688968465,28,28,generation
qwen2.5-0.5b-instruct,4,plain,gen_17+,-0.5282904869682776,0.4162856694821914,-0.6042358279323243,0.3279051420094443,-0.18243563622671288,0.7876926016149398,196,196,generation
qwen2.5-0.5b-instruct,4,plain,gen_2-4,-0.5282904869682776,0.4162856694821914,-0.6975818710135562,0.5307804266661892,-0.40667117908684286,1.2750389109632703,84,84,generation
qwen2.5-0.5b-instruct,4,plain,gen_5-8,-0.5282904869682776,0.4162856694821914,-0.7384146205482206,0.4132056868840902,-0.5047594692397452,0.9926012764217121,112,112,generation
qwen2.5-0.5b-instruct,4,plain,gen_9-16,-0.5282904869682776,0.4162856694821914,-0.702329204500919,0.3940626624601728,-0.4180752072227811,0.9466159691500758,224,224,generation
qwen2.5-0.5b-instruct,4,plain,prefill,-0.5282904869682776,0.4162856694821914,-0.7492731628673417,0.2289688639730692,-0.530843822161689,0.5500282156190448,28,28,prefill
qwen2.5-0.5b-instruct,4,prefix_sure,gen_1,-0.5282904869682776,0.4162856694821914,-0.13653229978600784,0.23001478451455587,0.9410801665826478,0.5525407223377787,28,28,generation
qwen2.5-0.5b-instruct,4,prefix_sure,gen_17+,-0.5282904869682776,0.4162856694821914,-0.5639998179727367,0.33025366442709847,-0.08578083182367797,0.7933342140696165,196,196,generation
qwen2.5-0.5b-instruct,4,prefix_sure,gen_2-4,-0.5282904869682776,0.4162856694821914,-0.6654005064629018,0.5062530248314081,-0.32936521611510755,1.2161192708390012,84,84,generation
qwen2.5-0.5b-instruct,4,prefix_sure,gen_5-8,-0.5282904869682776,0.4162856694821914,-0.6867833481103713,0.4404087538794335,-0.380731004598932,1.05794839016978,112,112,generation
qwen2.5-0.5b-instruct,4,prefix_sure,gen_9-16,-0.5282904869682776,0.4162856694821914,-0.6567826342902013,0.3804947782974699,-0.30866339329372605,0.914023244592491,224,224,generation
qwen2.5-0.5b-instruct,4,prefix_sure,prefill,-0.5282904869682776,0.4162856694821914,-0.8950555542750018,0.2227198256032123,-0.8810417801865128,0.5350167971918144,28,28,prefill
qwen2.5-0.5b-instruct,4,roleplay_dev,gen_1,-0.5282904869682776,0.4162856694821914,-0.14167590865067073,0.14896917756013242,0.9287242071016,0.35785324473319463,28,28,generation
qwen2.5-0.5b-instruct,4,roleplay_dev,gen_17+,-0.5282904869682776,0.4162856694821914,-0.4695758101511367,0.3589734129806471,0.14104419421926012,0.8623246950277348,196,196,generation
qwen2.5-0.5b-instruct,4,roleplay_dev,gen_2-4,-0.5282904869682776,0.4162856694821914,-0.6111151440335172,0.41945271745414586,-0.1989611056471469,1.0076078717191823,84,84,generation
qwen2.5-0.5b-instruct,4,roleplay_dev,gen_5-8,-0.5282904869682776,0.4162856694821914,-0.5603640730093633,0.4653761711933819,-0.07704705780763797,1.1179250339610611,112,112,generation
qwen2.5-0.5b-instruct,4,roleplay_dev,gen_9-16,-0.5282904869682776,0.4162856694821914,-0.5642041906581393,0.40654307297012077,-0.08627177518393547,0.9765963682483011,224,224,generation
qwen2.5-0.5b-instruct,4,roleplay_dev,prefill,-0.5282904869682776,0.4162856694821914,-0.8142193569136518,0.16502302549726974,-0.6868573455844271,0.39641774289885656,28,28,prefill
qwen2.5-0.5b-instruct,4,suffix_simple,gen_1,-0.5282904869682776,0.4162856694821914,-0.08170306961983442,0.11201449723833912,1.072790754252827,0.2690808390730132,28,28,generation
qwen2.5-0.5b-instruct,4,suffix_simple,gen_17+,-0.5282904869682776,0.4162856694821914,-0.40170259557056187,0.32031934201529266,0.3040889962779061,0.7694700190225882,196,196,generation
qwen2.5-0.5b-instruct,4,suffix_simple,gen_2-4,-0.5282904869682776,0.4162856694821914,-0.38984287645490395,0.19094843803376066,0.33257837264872847,0.4586956795108446,84,84,generation
qwen2.5-0.5b-instruct,4,suffix_simple,gen_5-8,-0.5282904869682776,0.4162856694821914,-0.2007643842204873,0.3335129928703484,0.78678207480741,0.801163761618789,112,112,generation
qwen2.5-0.5b-instruct,4,suffix_simple,gen_9-16,-0.5282904869682776,0.4162856694821914,-0.4060349402550076,0.35308810299729915,0.2936818528135764,0.8481870236765481,224,224,generation
qwen2.5-0.5b-instruct,4,suffix_simple,prefill,-0.5282904869682776,0.4162856694821914,-0.8058948751006807,0.17567670564582089,-0.6668603040736643,0.42200997662096146,28,28,prefill
qwen2.5-0.5b-instruct,8,hypothetical_dev,gen_1,1.1693557129662837,0.6128702411219208,1.6794836829815591,0.5918831984579457,0.8323588514942979,0.965756140116126,28,28,generation
qwen2.5-0.5b-instruct,8,hypothetical_dev,gen_17+,1.1693557129662837,0.6128702411219208,1.1797225120648438,0.5734796281044199,0.016915161486031064,0.9357276461239292,196,196,generation
qwen2.5-0.5b-instruct,8,hypothetical_dev,gen_2-4,1.1693557129662837,0.6128702411219208,1.3590739721521026,0.49723179864834377,0.30955697708298,0.8113165973569068,84,84,generation
qwen2.5-0.5b-instruct,8,hypothetical_dev,gen_5-8,1.1693557129662837,0.6128702411219208,0.8918625224115593,0.5671468279355677,-0.45277641486841513,0.9253946265972194,112,112,generation
qwen2.5-0.5b-instruct,8,hypothetical_dev,gen_9-16,1.1693557129662837,0.6128702411219208,1.1322400969719248,0.46488730392058114,-0.06056031685665629,0.758541160473966,224,224,generation
qwen2.5-0.5b-instruct,8,hypothetical_dev,prefill,1.1693557129662837,0.6128702411219208,1.3004258679492133,0.2932954758091826,0.21386281497857113,0.4785604784338617,28,28,prefill
qwen2.5-0.5b-instruct,8,plain,gen_1,1.1693557129662837,0.6128702411219208,1.6592740874205316,0.6042110763141992,0.7993835262051604,0.9858711286228059,28,28,generation
qwen2.5-0.5b-instruct,8,plain,gen_17+,1.1693557129662837,0.6128702411219208,0.9700185135957233,0.592613586405271,-0.32525188203893457,0.9669478898509284,196,196,generation
qwen2.5-0.5b-instruct,8,plain,gen_2-4,1.1693557129662837,0.6128702411219208,1.1658944874735815,0.6462288439395082,-0.005647566581738579,1.0544301233431095,84,84,generation
qwen2.5-0.5b-instruct,8,plain,gen_5-8,1.1693557129662837,0.6128702411219208,0.7933428493394915,0.708029026822912,-0.6135276905246089,1.155267427452169,112,112,generation
qwen2.5-0.5b-instruct,8,plain,gen_9-16,1.1693557129662837,0.6128702411219208,1.1187585479845958,0.5429824298898088,-0.08255771219869422,0.8859663815554574,224,224,generation
qwen2.5-0.5b-instruct,8,plain,prefill,1.1693557129662837,0.6128702411219208,1.1225427405110429,0.44061909579010955,-0.07638317104375142,0.7189435319677324,28,28,prefill
qwen2.5-0.5b-instruct,8,prefix_sure,gen_1,1.1693557129662837,0.6128702411219208,1.736905543931893,0.5864864910447585,0.926052193245102,0.9569505120221464,28,28,generation
qwen2.5-0.5b-instruct,8,prefix_sure,gen_17+,1.1693557129662837,0.6128702411219208,1.0345929358724733,0.6229542832654721,-0.2198879437303296,1.016453796361676,196,196,generation
qwen2.5-0.5b-instruct,8,prefix_sure,gen_2-4,1.1693557129662837,0.6128702411219208,1.2809424196325598,0.6363557623741746,0.18207232001019563,1.0383205443443642,84,84,generation
qwen2.5-0.5b-instruct,8,prefix_sure,gen_5-8,1.1693557129662837,0.6128702411219208,0.9057256372512452,0.7245025786094169,-0.4301564312087287,1.1821467743043648,112,112,generation
qwen2.5-0.5b-instruct,8,prefix_sure,gen_9-16,1.1693557129662837,0.6128702411219208,1.1976279658099105,0.5944653147566636,0.04613089516611472,0.9699692934485364,224,224,generation
qwen2.5-0.5b-instruct,8,prefix_sure,prefill,1.1693557129662837,0.6128702411219208,1.2709365119891507,0.42824008761082333,0.16574601311513035,0.6987451158125848,28,28,prefill
qwen2.5-0.5b-instruct,8,roleplay_dev,gen_1,1.1693557129662837,0.6128702411219208,1.7965202129312923,0.44646620332179704,1.023323466998366,0.7284840629633046,28,28,generation
qwen2.5-0.5b-instruct,8,roleplay_dev,gen_17+,1.1693557129662837,0.6128702411219208,1.1069247441708434,0.59978845435828,-0.10186653651375553,0.9786548833898456,196,196,generation
qwen2.5-0.5b-instruct,8,roleplay_dev,gen_2-4,1.1693557129662837,0.6128702411219208,1.0969962734019472,0.4667071199995588,-0.11806649223475967,0.7615104938774713,84,84,generation
qwen2.5-0.5b-instruct,8,roleplay_dev,gen_5-8,1.1693557129662837,0.6128702411219208,0.9975062133744359,0.6928041850265486,-0.2804011160294877,1.1304255591824799,112,112,generation
qwen2.5-0.5b-instruct,8,roleplay_dev,gen_9-16,1.1693557129662837,0.6128702411219208,1.1710179758457735,0.5578538455850379,0.0027122590851316984,0.9102315762041736,224,224,generation
qwen2.5-0.5b-instruct,8,roleplay_dev,prefill,1.1693557129662837,0.6128702411219208,1.0026338345238142,0.23912508275275368,-0.2720345470474604,0.39017244876339746,28,28,prefill
qwen2.5-0.5b-instruct,8,suffix_simple,gen_1,1.1693557129662837,0.6128702411219208,1.9852749492440904,0.14552544496718162,1.3313082958379319,0.23744903113713373,28,28,generation
qwen2.5-0.5b-instruct,8,suffix_simple,gen_17+,1.1693557129662837,0.6128702411219208,1.3839792054222553,0.586638288716306,0.35019401833425884,0.9571981952368994,196,196,generation
qwen2.5-0.5b-instruct,8,suffix_simple,gen_2-4,1.1693557129662837,0.6128702411219208,1.0789669741477286,0.4112621956697345,-0.1474843005153741,0.6710428538949412,84,84,generation
qwen2.5-0.5b-instruct,8,suffix_simple,gen_5-8,1.1693557129662837,0.6128702411219208,1.4485085939522833,0.6184349988724054,0.45548447657530583,1.0090798302431812,112,112,generation
qwen2.5-0.5b-instruct,8,suffix_simple,gen_9-16,1.1693557129662837,0.6128702411219208,1.35291671300573,0.538073415832426,0.2995103820074856,0.8779565064987138,224,224,generation
qwen2.5-0.5b-instruct,8,suffix_simple,prefill,1.1693557129662837,0.6128702411219208,1.168126703905208,0.3172355199893267,-0.0020053332314292,0.517622652730854,28,28,prefill
qwen2.5-0.5b-instruct,11,hypothetical_dev,gen_1,0.9629560469372553,0.8185244610483109,0.6750343617584025,0.6091334350425124,-0.3517569710868533,0.7441847666499488,28,28,generation
qwen2.5-0.5b-instruct,11,hypothetical_dev,gen_17+,0.9629560469372553,0.8185244610483109,1.2914394562569806,0.7876444317909707,0.40131165890757364,0.9622735413211828,196,196,generation
qwen2.5-0.5b-instruct,11,hypothetical_dev,gen_2-4,0.9629560469372553,0.8185244610483109,0.8070742846244857,0.5242748399139152,-0.19044239937939886,0.6405121225607106,84,84,generation
qwen2.5-0.5b-instruct,11,hypothetical_dev,gen_5-8,0.9629560469372553,0.8185244610483109,0.9713453915901482,0.4517375372581786,0.010249351182673717,0.551892531934383,112,112,generation
qwen2.5-0.5b-instruct,11,hypothetical_dev,gen_9-16,0.9629560469372553,0.8185244610483109,1.2900929521835809,0.6145394055360768,0.3996666206253026,0.7507892980363912,224,224,generation
qwen2.5-0.5b-instruct,11,hypothetical_dev,prefill,0.9629560469372553,0.8185244610483109,0.6523791115198817,0.45799773237245206,-0.3794351301604446,0.5595406785838501,28,28,prefill
qwen2.5-0.5b-instruct,11,plain,gen_1,0.9629560469372553,0.8185244610483109,0.8347232610519444,0.5654364973787137,-0.156663352150868,0.6907997552749258,28,28,generation
qwen2.5-0.5b-instruct,11,plain,gen_17+,0.9629560469372553,0.8185244610483109,0.4958746270371639,0.771424071934336,-0.5706383158077952,0.9424569559550464,196,196,generation
qwen2.5-0.5b-instruct,11,plain,gen_2-4,0.9629560469372553,0.8185244610483109,0.7261559521513326,0.7305962398965389,-0.2893011828658672,0.8925771612992977,84,84,generation
qwen2.5-0.5b-instruct,11,plain,gen_5-8,0.9629560469372553,0.8185244610483109,0.808330601713221,0.7389623212715299,-0.18890754349112607,0.9027980914890642,112,112,generation
