family,seed,budget,delta,eps,log_eps,attack,x0,eta,safe,x_max,safe_frac,action_rms,action_max
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,sinusoid,0.15,0.0,1,0.18018151372106567,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,sinusoid,0.35,0.0,1,0.35,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,square,0.15,0.0,0,0.8381718471453842,0.6225,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,square,0.35,0.0,1,0.4220173475712282,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,chirp,0.15,0.0,1,0.2141620510883431,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,chirp,0.35,0.0,1,0.35950977779465637,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,ou_noise,0.15,0.0,1,0.17234217451483252,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.3019951720402016,-0.52,ou_noise,0.35,0.0,1,0.35,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,sinusoid,0.15,0.0,0,0.9680871503867129,0.39,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,sinusoid,0.35,0.0,0,0.9349158407804448,0.6275000000000001,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,square,0.15,0.0,0,0.8702235497496347,0.5387500000000001,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,square,0.35,0.0,1,0.4180610704538821,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,chirp,0.15,0.0,1,0.21979299414360856,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,chirp,0.35,0.0,1,0.4305224888950223,1.0,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,ou_noise,0.15,0.0,0,0.9435050545908713,0.53625,0.0,0.0
L0_none,0,0.15,-0.155,0.580764417521312,-0.23600000000000002,ou_noise,0.35,0.0,1,0.35,1.0,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,sinusoid,0.15,0.0,1,0.4101357068386747,1.0,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,sinusoid,0.35,0.0,0,1.0093200918332894,0.57625,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,square,0.15,0.0,0,0.6069180946220946,0.83625,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,square,0.35,0.0,0,1.0423250922490113,0.54875,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,chirp,0.15,0.0,0,0.9936466810451352,0.24375,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,chirp,0.35,0.0,0,0.9039047349540019,0.04875,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,ou_noise,0.15,0.0,0,0.6413954204185004,0.9175,0.0,0.0
L0_none,0,0.15,-0.155,1.1168632477805611,0.04800000000000001,ou_noise,0.35,0.0,0,0.9138780449978385,0.70875,0.0,0.0
L0_none,0,0.15,-0.155,2.147830474130534,0.332,sinusoid,0.15,0.0,0,0.9785377496518136,0.53625,0.0,0.0
L0_none,0,0.15,-0.155,2.147830474130534,0.332,sinusoid,0.35,0.0,0,1.0895512791736426,0.58,0.0,0.0
L0_none,0,0.15,-0.155,2.147830474130534,0.332,square,0.15,0.0,0,1.1294161430300824,0.52875,0.0,0.0
