model,family,seed,eta,sup_deriv,false_refusal,coherence,mean_words,C_mean,C_rms,C95,C_max,m_min
qwen2.5-0.5b-instruct,T0_none,0,0.0,0.0,0.4583333333333333,0.9985527444867509,34.375,0.0,0.0,0.0,0.0,
qwen2.5-0.5b-instruct,T1_true_constant,0,0.36383016963348325,0.0,0.5,0.9985456513209815,34.375,0.020651211908396402,0.021148468434346986,0.024819551452372465,0.025787433848787525,-62.52738952636719
qwen2.5-0.5b-instruct,T0_none,0,0.0,0.0,0.4583333333333333,0.9985527444867509,34.375,0.0,0.0,0.0,0.0,
qwen2.5-0.5b-instruct,T1_true_constant,0,0.36383016963348325,0.0,0.5,0.9985456513209815,34.375,0.020651211908396402,0.021148468434346986,0.024819551452372465,0.025787433848787525,-62.52738952636719
qwen2.5-0.5b-instruct,T2_global_smooth,0,0.31013443566737736,6.0,0.5,0.9985456513209815,34.416666666666664,0.019991950595466393,0.021249961400230902,0.028292745504291533,0.030161792478255345,-62.52738952636719
qwen2.5-0.5b-instruct,T3_wide_central,0,0.25562304143968984,13.499999999999996,0.5,0.9985456513209815,34.291666666666664,0.01690427297035882,0.021478785562060558,0.03438777559098892,0.03718541057541937,-62.52738952636719
qwen2.5-0.5b-instruct,T4_periodic,0,0.21779872204393208,4428.675000000041,0.4583333333333333,0.9985526659113294,34.333333333333336,0.015564199429871889,0.0208129754491568,0.042934135919242306,0.05000000235706288,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,1,0.20220256430316252,4428.675000000041,0.4583333333333333,0.9989072758404074,34.625,0.013352574894698306,0.01976964840924135,0.0498041731606804,0.050000002389373265,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,2,0.2306773268187453,4428.675000000041,0.4583333333333333,0.9985496220492772,34.416666666666664,0.013383347254559804,0.018770066813264853,0.04067123255517789,0.05000000220477921,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,3,0.290686905230092,4428.675000000041,0.4583333333333333,0.9985526659113294,34.333333333333336,0.014696214628856386,0.01945680771835301,0.049956016949420354,0.05000000240125895,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,1,0.24080570781059987,4428.675000000041,0.4583333333333333,0.9985496220492772,34.5,0.012927107827121188,0.017663902621641407,0.041611172198819324,0.05000000223766127,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,2,0.28941835321468606,4428.675000000041,0.4583333333333333,0.9985496220492772,34.5,0.014880783806905197,0.01951540303992598,0.04342751446632148,0.05000000250227156,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,3,0.28308263653019106,4428.675000000041,0.5,0.9985496220492772,34.541666666666664,0.013085523593363187,0.01752669258390947,0.0398879528270242,0.050000002245418694,-62.52738952636719
qwen2.5-0.5b-instruct,T7_cantor,0,0.249946335139006,4428.675000000041,0.4583333333333333,0.9985526659113294,34.416666666666664,0.01337631631425873,0.01784770801374814,0.043057532224358,0.050000002229432926,-62.52738952636719
qwen2.5-0.5b-instruct,T8_minimax,0,0.30742487964883164,80.37209302325581,0.4583333333333333,0.9985526659113294,34.416666666666664,0.01654089947776956,0.019593641899034293,0.036314754050105494,0.04846468913710556,-62.52738952636719
