model,family,seed,eta,sup_deriv,false_refusal,coherence,mean_words,C_mean,C_rms,C95,C_max,m_min
qwen2.5-0.5b-instruct,T0_none,0,0.0,0.0,0.4583333333333333,0.9985527444867509,34.375,0.0,0.0,0.0,0.0,
qwen2.5-0.5b-instruct,T1_true_constant,0,0.37575453906512885,0.0,0.5,0.9985456513209815,34.375,0.021329106580247996,0.021842819850711875,0.02563300103777647,0.026632605342445773,-62.52738952636719
qwen2.5-0.5b-instruct,T2_global_smooth,0,0.8227942843357434,6.0,0.5833333333333334,0.9989559392674602,32.875,0.04301445712111572,0.04480940783778443,0.05000000215728849,0.05000000302294424,-62.52738952636719
qwen2.5-0.5b-instruct,T3_wide_central,0,1.0913085402797482,13.499999999999996,0.5,0.9989080748195766,34.375,0.03312399833213017,0.03988232067632151,0.05000000213062497,0.05000000297243794,-62.52738952636719
qwen2.5-0.5b-instruct,T4_periodic,0,0.9194586631585911,4428.675000000041,0.5416666666666666,0.9992754441433304,33.0,0.03454061399961782,0.04007730039511496,0.05000000217054217,0.05000000342955091,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,1,0.972408689215995,4428.675000000041,0.5416666666666666,0.9989173659094215,34.291666666666664,0.03267880471610589,0.03861146075442576,0.050000002084117146,0.050000003483209404,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,2,0.9917953229181774,4428.675000000041,0.5,0.9989079701615612,34.333333333333336,0.03301482001993977,0.038516646435551256,0.05000000213146588,0.050000003455831055,-62.52738952636719
qwen2.5-0.5b-instruct,T5_shuffled,3,1.007148151136108,4428.675000000041,0.5,0.9989166520736655,34.083333333333336,0.03432034062060463,0.03946686380518965,0.050000002123163925,0.05000000302862502,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,1,0.9747520664629218,4428.675000000041,0.5,0.998901933810656,34.375,0.03431972097716128,0.039296093558583864,0.05000000209003693,0.05000000299735752,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,2,0.9295902554782519,4428.675000000041,0.5,0.9989166520736655,34.333333333333336,0.03397167950814749,0.03851584624866981,0.05000000200856624,0.05000000299735752,-62.52738952636719
qwen2.5-0.5b-instruct,T6_center_anchored,3,0.9822409483895334,4428.675000000041,0.5,0.9989177903522002,34.333333333333336,0.03185744870784116,0.03758787507256152,0.0500000021239156,0.050000003037724984,-62.52738952636719
qwen2.5-0.5b-instruct,T7_cantor,0,0.9704055681202642,4428.675000000041,0.5416666666666666,0.9992595876017862,33.083333333333336,0.03529473732941638,0.03963455035415937,0.05000000209976447,0.05000000302473587,-62.52738952636719
qwen2.5-0.5b-instruct,T8_minimax,0,0.852053595695895,80.37209302325581,0.5833333333333334,0.9989497982585395,32.916666666666664,0.03604336182398659,0.04005863807131636,0.05000000212932493,0.05000000250227156,-62.52738952636719
