model,family,layout_seed,eta,false_refusal,coherence,mean_words,C_mean,C_rms,C95,C_max,m_min,m_mean,m_std,m_q05,m_q95
qwen2.5-0.5b-instruct,T0_none,0,0.0,0.4583333333333333,0.9985527444867509,34.375,0.0,0.0,0.0,0.0,-27.754026412963867,-2.5556673208872476,3.88139271736145,-3.0905436674753823,-0.6751884321371714
qwen2.5-0.5b-instruct,T1_true_constant,0,0.3716607314504269,0.4583333333333333,0.9985573309607788,34.375,0.019763539609445026,0.020246567345504424,0.02400063610465553,0.02579196223878004,-27.754026412963867,-2.5441866715749106,3.8830107053120932,-3.0986457665761313,-0.6706490218639374
qwen2.5-0.5b-instruct,T2_global_smooth,0,0.5181004615232879,0.4583333333333333,0.998922151236966,34.375,0.02820783161437157,0.02958795597075044,0.040728108215709664,0.04668672554779965,-27.754026412963867,-2.5363561312357583,3.8847084045410156,-3.0733479658762612,-0.6577364206314087
qwen2.5-0.5b-instruct,T3_wide_central,0,0.8448933137328154,0.5,0.9992648725671168,34.625,0.026009290599827026,0.032916751476974544,0.050000001771824565,0.05000000354544337,-27.754026412963867,-2.5323213736216226,3.885876735051473,-3.0733479658762612,-0.6474431852499644
qwen2.5-0.5b-instruct,T4_periodic,0,0.1796782041991351,0.4583333333333333,0.9985511905291066,34.291666666666664,0.012652864102328841,0.016882386022979166,0.030293284145689704,0.043199880785929706,-27.754026412963867,-2.5456957817077637,3.8827393849690757,-3.095167557398478,-0.6706490218639374
qwen2.5-0.5b-instruct,T5_shuffled,1,0.21873793216561538,0.4583333333333333,0.9985737999989871,34.333333333333336,0.011651531541100402,0.018990592724040967,0.04462871533413048,0.05000000180966288,-27.754026412963867,-2.544271230697632,3.883629480997721,-3.098026434580485,-0.6706490218639374
qwen2.5-0.5b-instruct,T5_shuffled,2,0.23111766899597996,0.4583333333333333,0.9985660773889716,34.291666666666664,0.015183711972448116,0.0212637622376685,0.04391936412708311,0.05000000211369848,-27.754026412963867,-2.5461337566375732,3.8837541739145913,-3.101252476374308,-0.6706490218639374
qwen2.5-0.5b-instruct,T5_shuffled,3,0.26944445330203115,0.4583333333333333,0.9989149847519091,34.5,0.015899467875958386,0.021718166511212916,0.0497836347458284,0.050000002835118094,-27.754026412963867,-2.5398762226104736,3.8839453856150308,-3.086793899536133,-0.6706490218639374
qwen2.5-0.5b-instruct,T6_center_anchored,1,0.28649633152889575,0.4583333333333333,0.998563367311684,34.166666666666664,0.01785644771015987,0.023220842399676655,0.04824443477778398,0.05000000268230471,-27.754026412963867,-2.535862366358439,3.884622097015381,-3.0609078407287598,-0.6682934065659841
qwen2.5-0.5b-instruct,T6_center_anchored,2,0.26248307890616196,0.4583333333333333,0.9985542870987268,34.375,0.017403121794269907,0.023401669699716927,0.04689126329854667,0.050000002215964755,-27.754026412963867,-2.5388452212015786,3.884056886037191,-3.0761097272237143,-0.6706490218639374
qwen2.5-0.5b-instruct,T6_center_anchored,3,0.23024805218588268,0.4583333333333333,0.9985573309607788,34.333333333333336,0.012906379446814385,0.01685120235497918,0.03452515918187461,0.05000000233593097,-27.754026412963867,-2.543778657913208,3.8837976455688477,-3.095167557398478,-0.6706490218639374
qwen2.5-0.5b-instruct,T7_cantor,0,0.23514516436082533,0.4583333333333333,0.9989149847519091,34.208333333333336,0.012937929584292867,0.017085671247143778,0.0376491687676242,0.05000000245183237,-27.754026412963867,-2.5521240234375,3.882639487584432,-3.081932703653971,-0.6706490218639374
qwen2.5-0.5b-instruct,T8_minimax,0,0.3405759058269099,0.4583333333333333,0.9985558155337316,34.333333333333336,0.016834450086432983,0.018926918277506748,0.027919425292967356,0.0401627116784598,-27.754026412963867,-2.541651725769043,3.884047587712606,-3.0986457665761313,-0.6706490218639374
