model,scorer,question,control,matched,budget_excluded,mean_diff,ci_lo,ci_hi,naive_lo,naive_hi,hier_lo,hier_hi,equivalent,significant,between_goal_sd,n_goals,n_pairs,power_for_sesoi,cohen_dz
olmo2-1b-instruct,safe_lex32,Q_A intervene at all,T0_none,False,False,0.017406082504593565,-0.003664182094439469,0.04752499079963805,0.0009288868205374196,0.03821145968065139,-0.003886000671788385,0.04752499079963806,False,False,0.09695501299643093,50,200,0.5901686862334888,0.17952741139062411
olmo2-1b-instruct,safe_lex32,Q_B state-dependence,T1_true_constant,False,False,-0.008687471314460881,-0.043678792491441666,0.02284505154263114,-0.033323128252204536,0.015113576024804842,-0.04094612041434471,0.02285105035994478,False,False,0.12253882110031604,50,200,0.4095034257592478,-0.07089566585065242
olmo2-1b-instruct,safe_lex32,Q_D ordering (shuffled),T5_shuffled,True,False,-0.012583933185677371,-0.04036553426248548,0.009675710369229902,-0.03257096379840459,0.004821650899440882,-0.040518711791769066,0.009421167247386765,False,False,0.09093588815686823,50,200,0.645351627506436,-0.13838247407854595
olmo2-1b-instruct,safe_lex32,Q_D ordering (centered),T6_center_anchored,True,False,0.0042821035202760096,-0.015631590543372025,0.029772346934245682,-0.011060369871431271,0.022273532597055307,-0.015587967276006826,0.029526240445128703,True,False,0.08322561489147515,50,200,0.7220409021194332,0.05145174987123619
olmo2-1b-instruct,safe_lex32,Q_D ordering (periodic),T4_periodic,True,False,-0.0016926248548199763,-0.028144105691056912,0.028063331155632986,-0.025960627177700348,0.022938476335656214,-0.02802207825203251,0.027711984610917548,True,False,0.10138000008609302,50,200,0.5526979190872375,-0.016695845860944768
olmo2-1b-instruct,safe_ext,Q_A intervene at all,T0_none,False,False,-0.026654371563035007,-0.061793429732331255,0.002912863440025209,-0.05360344212107801,-0.0012394064281490433,-0.06333759803086614,0.0019514823378689989,False,False,0.11835852647870275,50,200,0.43341731973369313,-0.22520026529589446
olmo2-1b-instruct,safe_ext,Q_B state-dependence,T1_true_constant,False,False,-0.010972792615610003,-0.029928412167283126,0.00725139871420899,-0.02888973667815212,0.006084322237328247,-0.030161369812275872,0.007719131841876997,True,False,0.06715217874251726,50,200,0.8847381093750917,-0.16340188540543363
olmo2-1b-instruct,safe_ext,Q_D ordering (shuffled),T5_shuffled,True,False,-0.005694590687482502,-0.024630458754901427,0.013141646990064315,-0.023367582280362315,0.012392726263635861,-0.02521054826718706,0.013236777509416691,True,False,0.06794412970028055,50,200,0.8774208462599169,-0.08381284317869463
olmo2-1b-instruct,safe_ext,Q_D ordering (centered),T6_center_anchored,True,False,-0.002745881719092502,-0.01705219360778925,0.01287167295425022,-0.019422607245124,0.0143546609957522,-0.01706831244343679,0.012512171731826373,True,False,0.054019057982501895,50,200,0.9754096093028715,-0.05083172164871814
olmo2-1b-instruct,safe_ext,Q_D ordering (periodic),T4_periodic,True,False,-0.006070157240675001,-0.021703176092716377,0.008051479740356476,-0.020639689587936,0.007790744146688249,-0.021519165480764248,0.007899229908862637,True,False,0.054269954995707845,50,200,0.9743442921112856,-0.11185115670641488
