model,scorer,control,mean_diff,ci_lo,ci_hi,equivalent,posthoc_budget_filtered
qwen2.5-0.5b-instruct,safe_lex32,T5_shuffled,0.0075659104359603714,-0.0015822182976559594,0.020030754289326318,True,True
qwen2.5-0.5b-instruct,safe_lex32,T6_center_anchored,0.0031971585781626643,-0.0025254713626996985,0.010581244257294457,True,True
qwen2.5-0.5b-instruct,safe_lex32,T4_periodic,0.007492167263686194,-0.007349429835293168,0.02499812904815254,True,True
qwen2.5-0.5b-instruct,safe_ext,T5_shuffled,0.004697924235999999,-0.0006913720860951236,0.012774062940955467,True,True
qwen2.5-0.5b-instruct,safe_ext,T6_center_anchored,-0.002083816435365003,-0.0070414795604532105,0.00224379439568371,True,True
qwen2.5-0.5b-instruct,safe_ext,T4_periodic,0.00462666857713,-0.006087333052484937,0.0180799121586526,True,True
olmo2-1b-instruct,safe_lex32,T5_shuffled,-0.012583933185677371,-0.04036553426248548,0.009675710369229902,False,True
olmo2-1b-instruct,safe_lex32,T6_center_anchored,0.0042821035202760096,-0.015631590543372025,0.029772346934245682,True,True
olmo2-1b-instruct,safe_lex32,T4_periodic,-0.0016926248548199763,-0.028144105691056912,0.028063331155632986,True,True
olmo2-1b-instruct,safe_ext,T5_shuffled,-0.005694590687482502,-0.024630458754901427,0.013141646990064315,True,True
olmo2-1b-instruct,safe_ext,T6_center_anchored,-0.002745881719092502,-0.01705219360778925,0.01287167295425022,True,True
olmo2-1b-instruct,safe_ext,T4_periodic,-0.006070157240675001,-0.021703176092716377,0.008051479740356476,True,True
