n,family,scheme,ok,seconds,p95,visited,assertions,bytes
1,cantor_recursive,inductive,True,0.0013711455000000594,0.001429444049999895,2,11,952
1,recursive_non_cantor,inductive,True,0.00138889550000032,0.0014350956500000177,2,11,957
1,periodic_procedural,enumerative,True,3.6660000000132698e-06,5.0500000002617865e-06,2,7,879
1,shuffled_seeded,enumerative,True,3.6249999999515836e-06,4.123250000120925e-06,2,7,875
1,center_anchored_seeded,enumerative,True,3.687500000015831e-06,4.054049999968611e-06,2,7,889
1,shuffled_explicit,enumerative,True,3.6250000001736282e-06,3.879199999978766e-06,2,7,879
1,learned_minimax_explicit,enumerative,True,1.9999999998354667e-06,2.3145499999266403e-06,2,6,839
2,cantor_recursive,inductive,True,0.006772104499999765,0.0068888351999998095,4,17,952
2,recursive_non_cantor,inductive,True,0.007464937499999991,0.0075496437500000456,4,17,957
2,periodic_procedural,enumerative,True,5.645999999970286e-06,6.908299999963672e-06,6,17,879
2,shuffled_seeded,enumerative,True,5.687999999892668e-06,1.0002299999767304e-05,6,17,875
2,center_anchored_seeded,enumerative,True,5.791500000018601e-06,7.268750000077868e-06,6,17,889
2,shuffled_explicit,enumerative,True,5.583000000086713e-06,5.985300000221904e-06,6,17,879
2,learned_minimax_explicit,enumerative,True,3.2079999998657627e-06,3.5267500001934235e-06,6,20,839
3,cantor_recursive,inductive,True,0.009431957999999963,0.014275714800000205,6,23,952
3,recursive_non_cantor,inductive,True,0.010090541500000105,0.010232991149999893,6,23,957
3,periodic_procedural,enumerative,True,8.999999999925734e-06,1.346615000004102e-05,14,33,879
3,shuffled_seeded,enumerative,True,8.958500000044722e-06,1.0904199999850481e-05,14,33,875
3,center_anchored_seeded,enumerative,True,8.833500000138272e-06,9.681399999639237e-06,14,33,889
3,shuffled_explicit,enumerative,True,8.937500000083531e-06,9.314099999979674e-06,14,33,879
3,learned_minimax_explicit,enumerative,True,5.229499999925835e-06,5.568750000151112e-06,14,48,839
4,cantor_recursive,inductive,True,0.011209167000000075,0.011311337649999897,8,29,952
4,recursive_non_cantor,inductive,True,0.011526645500000043,0.011646012350000134,8,29,957
4,periodic_procedural,enumerative,True,1.5125000000004718e-05,1.6419050000004984e-05,30,61,886
4,shuffled_seeded,enumerative,True,1.46670000003013e-05,1.546265000014202e-05,30,61,882
4,center_anchored_seeded,enumerative,True,1.4916000000475549e-05,1.5375000000261707e-05,30,61,896
4,shuffled_explicit,enumerative,True,1.5187500000735099e-05,2.0397399999616527e-05,30,61,886
4,learned_minimax_explicit,enumerative,True,9.250000000182723e-06,9.695650000463016e-06,30,104,849
5,cantor_recursive,inductive,True,0.012484395500000023,0.012968343750000154,10,35,952
5,recursive_non_cantor,inductive,True,0.012311603999999754,0.01245977279999968,10,35,957
5,periodic_procedural,enumerative,True,2.722950000011437e-05,2.910229999955049e-05,62,113,886
5,shuffled_seeded,enumerative,True,2.6875000000536886e-05,2.7943750000103407e-05,62,113,882
5,center_anchored_seeded,enumerative,True,2.7374499999677226e-05,3.019390000025268e-05,62,113,896
5,shuffled_explicit,enumerative,True,2.722899999962891e-05,2.7879199999780722e-05,62,113,886
5,learned_minimax_explicit,enumerative,True,1.6832999999660814e-05,1.8526749999780988e-05,62,216,849
6,cantor_recursive,inductive,True,0.013227437500000327,0.013296518749999731,12,41,952
6,recursive_non_cantor,inductive,True,0.012734416999999887,0.012902148099999922,12,41,957
6,periodic_procedural,enumerative,True,5.358350000017609e-05,5.843749999994151e-05,126,213,886
6,shuffled_seeded,enumerative,True,5.2979499999494806e-05,5.459739999986723e-05,126,213,882
6,center_anchored_seeded,enumerative,True,5.262499999991732e-05,5.388329999944652e-05,126,213,896
6,shuffled_explicit,enumerative,True,5.366649999993811e-05,6.83876500003233e-05,126,213,886
6,learned_minimax_explicit,enumerative,True,3.241649999985441e-05,3.329565000029788e-05,126,440,849
7,cantor_recursive,inductive,True,0.013658395500000253,0.013791873249999842,14,47,952
7,recursive_non_cantor,inductive,True,0.013105229000000662,0.013243650000000162,14,47,957
7,periodic_procedural,enumerative,True,0.00010185399999995681,0.00011389824999992193,254,409,893
7,shuffled_seeded,enumerative,True,0.00010135399999988692,0.00010333315000030651,254,409,889
7,center_anchored_seeded,enumerative,True,0.0001010419999998291,0.00011187104999996755,254,409,903
7,shuffled_explicit,enumerative,True,0.0001012710000001249,0.00010829824999993853,254,409,893
