n,family,E_scale_rel,new_parameters,optimisation_calls,zero_shot
2,cantor_recursive,1.7937040741600185e-14,0,0,True
2,recursive_non_cantor,1.3433698597964394e-14,0,0,True
2,shuffled_seeded,4.499999718612324,9,0,False
3,cantor_recursive,8.029688025601445e-14,0,0,True
3,recursive_non_cantor,1.1690648449302898e-13,0,0,True
3,shuffled_seeded,6.749999577904982,21,0,False
4,cantor_recursive,3.631539513548887e-13,0,0,True
4,recursive_non_cantor,4.92828000631107e-13,0,0,True
4,shuffled_seeded,12.709821792264075,45,0,False
5,cantor_recursive,1.6119328094532648e-12,0,0,True
5,recursive_non_cantor,3.0737634659772084e-12,0,0,True
5,shuffled_seeded,15.18747625593988,93,0,False
6,cantor_recursive,3.2423538425583217e-12,0,0,True
6,recursive_non_cantor,4.053720428070607e-12,0,0,True
6,shuffled_seeded,15.621862461949751,189,0,False
7,cantor_recursive,8.133675156324339e-12,0,0,True
7,recursive_non_cantor,1.4878127013830472e-11,0,0,True
7,shuffled_seeded,49.20883033563819,381,0,False
8,cantor_recursive,2.0336168531302866e-11,0,0,True
8,recursive_non_cantor,3.736019432605807e-11,0,0,True
8,shuffled_seeded,49.62835562196036,765,0,False
9,cantor_recursive,7.319262878413904e-11,0,0,True
9,recursive_non_cantor,7.421182234787212e-11,0,0,True
9,shuffled_seeded,49.03377966299505,1533,0,False
10,cantor_recursive,1.0986446003967713e-10,0,0,True
10,recursive_non_cantor,1.6496125441258084e-10,0,0,True
10,shuffled_seeded,139.35262381179075,3069,0,False
11,cantor_recursive,5.496979290847835e-10,0,0,True
11,recursive_non_cantor,1.6496125441258084e-10,0,0,True
11,shuffled_seeded,255.765345129861,6141,0,False
12,cantor_recursive,1.9830016528077153e-09,0,0,True
12,recursive_non_cantor,1.6496125441258084e-10,0,0,True
12,shuffled_seeded,254.57436365277107,12285,0,False
13,cantor_recursive,6.061700935104665e-09,0,0,True
13,recursive_non_cantor,7.177626652486769e-10,0,0,True
13,shuffled_seeded,364.6414557479181,24573,0,False
14,cantor_recursive,1.9279074688269883e-08,0,0,True
14,recursive_non_cantor,7.177626652486769e-10,0,0,True
14,shuffled_seeded,791.0504943249177,49149,0,False
15,cantor_recursive,7.050329386115023e-08,0,0,True
15,recursive_non_cantor,1.0485293134182344e-08,0,0,True
15,shuffled_seeded,480.6635734520912,98301,0,False
16,cantor_recursive,3.0063968863647544e-07,0,0,True
16,recursive_non_cantor,1.0485293134182344e-08,0,0,True
