n,family,E_scale_rel,new_parameters,zero_shot
2,cantor_recursive,1.7937040741600185e-14,0,True
2,recursive_non_cantor,1.3433698597964394e-14,0,True
2,periodic_procedural,4.499999718612324,9,False
2,shuffled_seeded,4.499999718612324,9,False
2,center_anchored_seeded,1.4925560787304448e-14,9,False
3,cantor_recursive,8.029688025601445e-14,0,True
3,recursive_non_cantor,1.1690648449302898e-13,0,True
3,periodic_procedural,4.444444323611061,21,False
3,shuffled_seeded,6.749999577931994,21,False
3,center_anchored_seeded,6.749999577904986,21,False
4,cantor_recursive,3.631539513548887e-13,0,True
4,recursive_non_cantor,4.92828000631107e-13,0,True
4,periodic_procedural,4.49999982977627,45,False
4,shuffled_seeded,12.70312627124447,45,False
4,center_anchored_seeded,10.124984172145782,45,False
5,cantor_recursive,1.6119328094532648e-12,0,True
5,recursive_non_cantor,3.0737634659772084e-12,0,True
5,periodic_procedural,4.482729513640099,93,False
5,shuffled_seeded,22.290135194757045,93,False
5,center_anchored_seeded,12.7219656030292,93,False
6,cantor_recursive,3.2423538425583217e-12,0,True
6,recursive_non_cantor,4.053720428070607e-12,0,True
6,periodic_procedural,4.459385665641267,189,False
6,shuffled_seeded,33.42933073857328,189,False
6,center_anchored_seeded,33.98447961165857,189,False
7,cantor_recursive,8.133675156324339e-12,0,True
7,recursive_non_cantor,1.4878127013830472e-11,0,True
7,periodic_procedural,4.449419583286891,381,False
7,shuffled_seeded,34.17187286082012,381,False
7,center_anchored_seeded,34.13058853868152,381,False
8,cantor_recursive,2.0336168531302866e-11,0,True
8,recursive_non_cantor,3.736019432605807e-11,0,True
8,periodic_procedural,4.445854800314532,765,False
8,shuffled_seeded,75.53823982868659,765,False
8,center_anchored_seeded,54.17175822343725,765,False
9,cantor_recursive,7.319262878413904e-11,0,True
9,recursive_non_cantor,7.421182234787212e-11,0,True
9,periodic_procedural,4.444971896897315,1533,False
9,shuffled_seeded,112.01319034665023,1533,False
9,center_anchored_seeded,109.45737189124239,1533,False
10,cantor_recursive,1.0986446003967713e-10,0,True
10,recursive_non_cantor,1.6496125441258084e-10,0,True
10,periodic_procedural,4.439467003043355,3069,False
10,shuffled_seeded,168.51250080944723,3069,False
10,center_anchored_seeded,171.38155512652483,3069,False
11,cantor_recursive,5.496979290847835e-10,0,True
11,recursive_non_cantor,1.6496125441258084e-10,0,True
11,periodic_procedural,4.418711936881168,6141,False
11,shuffled_seeded,172.14179947425907,6141,False
11,center_anchored_seeded,170.07299800814522,6141,False
12,cantor_recursive,1.9830016528077153e-09,0,True
12,recursive_non_cantor,1.6496125441258084e-10,0,True
12,periodic_procedural,4.409797907373259,12285,False
12,shuffled_seeded,203.4355491618699,12285,False
12,center_anchored_seeded,242.12565981994666,12285,False
13,cantor_recursive,6.061700935104665e-09,0,True
13,recursive_non_cantor,7.177626652486769e-10,0,True
13,periodic_procedural,4.4125444421675555,24573,False
13,shuffled_seeded,387.299523198391,24573,False
13,center_anchored_seeded,561.636800180849,24573,False
