n,family,model,n_components,exact_scale_transfer,M1_canonical_bits,M3_point_query_words,materialised_words,serialized_bytes,gzip_bytes,ast_nodes,explicit_params
1,cantor_recursive,D3,1,True,208,4,3,62,64,9,6
1,recursive_non_cantor,D3,1,True,208,4,3,48,63,9,6
1,periodic_procedural,D2,1,False,112,4,3,31,46,6,4
1,shuffled_seeded,D2,1,False,184,3,3,55,65,8,5
1,center_anchored_seeded,D2,1,False,184,3,3,55,66,8,5
1,shuffled_explicit,D1,1,False,328,3,3,53,59,7,3
1,learned_minimax_explicit,D1,1,False,648,3,3,68,57,14,11
2,cantor_recursive,D3,3,True,208,4,9,62,64,9,6
2,recursive_non_cantor,D3,3,True,208,4,9,48,63,9,6
2,periodic_procedural,D2,3,False,112,4,9,31,49,6,4
2,shuffled_seeded,D2,3,False,184,9,9,55,65,8,5
2,center_anchored_seeded,D2,3,False,184,9,9,55,66,8,5
2,shuffled_explicit,D1,3,False,712,9,9,81,67,13,9
2,learned_minimax_explicit,D1,3,False,648,9,9,68,59,14,11
3,cantor_recursive,D3,7,True,208,4,21,62,67,9,6
3,recursive_non_cantor,D3,7,True,208,4,21,48,66,9,6
3,periodic_procedural,D2,7,False,112,4,21,31,48,6,4
3,shuffled_seeded,D2,7,False,184,21,21,55,69,8,5
3,center_anchored_seeded,D2,7,False,184,21,21,55,69,8,5
3,shuffled_explicit,D1,7,False,1480,21,21,137,67,25,21
3,learned_minimax_explicit,D1,7,False,648,21,21,68,59,14,11
4,cantor_recursive,D3,15,True,208,4,45,62,64,9,6
4,recursive_non_cantor,D3,15,True,208,4,45,48,63,9,6
4,periodic_procedural,D2,15,False,112,4,45,31,49,6,4
4,shuffled_seeded,D2,15,False,184,45,45,55,69,8,5
4,center_anchored_seeded,D2,15,False,184,45,45,55,69,8,5
4,shuffled_explicit,D1,15,False,3016,45,45,250,68,49,45
4,learned_minimax_explicit,D1,15,False,648,45,45,68,59,14,11
5,cantor_recursive,D3,31,True,208,4,93,62,67,9,6
5,recursive_non_cantor,D3,31,True,208,4,93,48,66,9,6
5,periodic_procedural,D2,31,False,112,4,93,31,49,6,4
5,shuffled_seeded,D2,31,False,184,93,93,55,69,8,5
5,center_anchored_seeded,D2,31,False,184,93,93,55,69,8,5
5,shuffled_explicit,D1,31,False,6088,93,93,474,70,97,93
5,learned_minimax_explicit,D1,31,False,648,93,93,68,55,14,11
6,cantor_recursive,D3,63,True,208,4,189,62,67,9,6
6,recursive_non_cantor,D3,63,True,208,4,189,48,66,9,6
6,periodic_procedural,D2,63,False,112,4,189,31,49,6,4
6,shuffled_seeded,D2,63,False,184,189,189,55,69,8,5
6,center_anchored_seeded,D2,63,False,184,189,189,55,69,8,5
6,shuffled_explicit,D1,63,False,12232,189,189,922,73,193,189
6,learned_minimax_explicit,D1,63,False,648,189,189,68,59,14,11
7,cantor_recursive,D3,127,True,208,4,381,62,67,9,6
7,recursive_non_cantor,D3,127,True,208,4,381,48,66,9,6
7,periodic_procedural,D2,127,False,112,4,381,31,49,6,4
7,shuffled_seeded,D2,127,False,184,381,381,55,69,8,5
7,center_anchored_seeded,D2,127,False,184,381,381,55,69,8,5
7,shuffled_explicit,D1,127,False,24520,381,381,1819,79,385,381
7,learned_minimax_explicit,D1,127,False,648,381,381,68,59,14,11
8,cantor_recursive,D3,255,True,208,4,765,62,67,9,6
8,recursive_non_cantor,D3,255,True,208,4,765,48,66,9,6
8,periodic_procedural,D2,255,False,112,4,765,31,49,6,4
8,shuffled_seeded,D2,255,False,184,765,765,55,69,8,5
8,center_anchored_seeded,D2,255,False,184,765,765,55,69,8,5
8,shuffled_explicit,D1,255,False,49096,765,765,3611,91,769,765
8,learned_minimax_explicit,D1,255,False,648,765,765,68,55,14,11
9,cantor_recursive,D3,511,True,208,4,1533,62,67,9,6
9,recursive_non_cantor,D3,511,True,208,4,1533,48,66,9,6
9,periodic_procedural,D2,511,False,112,4,1533,31,49,6,4
9,shuffled_seeded,D2,511,False,184,1533,1533,55,69,8,5
9,center_anchored_seeded,D2,511,False,184,1533,1533,55,69,8,5
9,shuffled_explicit,D1,511,False,98248,1533,1533,7195,97,1537,1533
9,learned_minimax_explicit,D1,511,False,648,1533,1533,68,59,14,11
10,cantor_recursive,D3,1023,True,208,4,3069,63,66,9,6
10,recursive_non_cantor,D3,1023,True,208,4,3069,49,65,9,6
10,periodic_procedural,D2,1023,False,112,4,3069,32,48,6,4
10,shuffled_seeded,D2,1023,False,184,3069,3069,56,67,8,5
10,center_anchored_seeded,D2,1023,False,184,3069,3069,56,68,8,5
10,shuffled_explicit,D1,1023,False,196552,3069,3069,14365,111,3073,3069
10,learned_minimax_explicit,D1,1023,False,648,3069,3069,69,57,14,11
11,cantor_recursive,D3,2047,True,208,4,6141,63,65,9,6
11,recursive_non_cantor,D3,2047,True,208,4,6141,49,65,9,6
11,periodic_procedural,D2,2047,False,112,4,6141,32,48,6,4
11,shuffled_seeded,D2,2047,False,184,6141,6141,56,67,8,5
11,center_anchored_seeded,D2,2047,False,184,6141,6141,56,67,8,5
11,shuffled_explicit,D1,2047,False,393160,6141,6141,28701,139,6145,6141
11,learned_minimax_explicit,D1,2047,False,648,6141,6141,69,58,14,11
12,cantor_recursive,D3,4095,True,208,4,12285,63,65,9,6
