n,rho,beta,delta,perturbation,is_cantor,regression_rate,over_intervention_rate,guard_activation_rate,guard_caught_rate,leaf_width,guard_measure,rho_star_pred,rho_star_pred_two_sided
3,0.2,0.25,0.0020000000000000005,uniform,False,0.0,0.007115,0.935945,0.92883,0.008000000000000002,0.9359999999999999,0.4444444444444444,0.4
3,0.2,0.25,0.0020000000000000005,worst_case,False,0.0,0.013735,0.935445,0.92171,0.008000000000000002,0.9359999999999999,0.4444444444444444,0.4
3,0.2,0.375,0.003000000000000001,uniform,False,0.0,0.010535,0.93572,0.925185,0.008000000000000002,0.9359999999999999,0.42105263157894735,0.36363636363636365
3,0.2,0.375,0.003000000000000001,worst_case,False,0.0,0.020495,0.9354,0.914905,0.008000000000000002,0.9359999999999999,0.42105263157894735,0.36363636363636365
3,0.2,0.5,0.004000000000000001,uniform,False,0.0,0.013955,0.935675,0.92172,0.008000000000000002,0.9359999999999999,0.4,0.3333333333333333
3,0.2,0.5,0.004000000000000001,worst_case,False,0.0,0.027375,0.93518,0.907805,0.008000000000000002,0.9359999999999999,0.4,0.3333333333333333
3,0.2,0.625,0.005000000000000001,uniform,False,0.0,0.017545,0.935805,0.91826,0.008000000000000002,0.9359999999999999,0.38095238095238093,0.3076923076923077
3,0.2,0.625,0.005000000000000001,worst_case,False,0.0,0.034665,0.935475,0.90081,0.008000000000000002,0.9359999999999999,0.38095238095238093,0.3076923076923077
3,0.2,0.75,0.006000000000000002,uniform,False,0.0,0.02135,0.936135,0.914785,0.008000000000000002,0.9359999999999999,0.36363636363636365,0.2857142857142857
3,0.2,0.75,0.006000000000000002,worst_case,False,0.0,0.04176,0.935415,0.893655,0.008000000000000002,0.9359999999999999,0.36363636363636365,0.2857142857142857
3,0.2,1.0,0.008000000000000002,uniform,False,0.0,0.02831,0.936235,0.907925,0.008000000000000002,0.9359999999999999,0.3333333333333333,0.25
3,0.2,1.0,0.008000000000000002,worst_case,False,0.0,0.05625,0.9362,0.87995,0.008000000000000002,0.9359999999999999,0.3333333333333333,0.25
3,0.2,1.5,0.012000000000000004,uniform,False,0.0,0.03781,0.935695,0.897885,0.008000000000000002,0.9359999999999999,0.2857142857142857,0.2
3,0.2,1.5,0.012000000000000004,worst_case,False,0.0,0.05625,0.932105,0.875855,0.008000000000000002,0.9359999999999999,0.2857142857142857,0.2
3,0.22,0.25,0.002662,uniform,False,0.0,0.009365,0.91579,0.906425,0.010648,0.9148160000000001,0.4444444444444444,0.4
3,0.22,0.25,0.002662,worst_case,False,0.0,0.018775,0.915365,0.89659,0.010648,0.9148160000000001,0.4444444444444444,0.4
3,0.22,0.375,0.003993,uniform,False,0.0,0.01394,0.915425,0.901485,0.010648,0.9148160000000001,0.42105263157894735,0.36363636363636365
3,0.22,0.375,0.003993,worst_case,False,0.0,0.027885,0.91537,0.887485,0.010648,0.9148160000000001,0.42105263157894735,0.36363636363636365
3,0.22,0.5,0.005324,uniform,False,0.0,0.01844,0.915005,0.896565,0.010648,0.9148160000000001,0.4,0.3333333333333333
3,0.22,0.5,0.005324,worst_case,False,0.0,0.036755,0.91497,0.878215,0.010648,0.9148160000000001,0.4,0.3333333333333333
