rho,is_cantor,g,retention,hausdorff_dim,alpha_field,alpha_sensitivity,kappa_implied,B_kappa_0.5,B_kappa_0.75,B_kappa_1.0,B_kappa_1.25,B_kappa_1.5,B_kappa_2.0,mu_K_3,new_cov_3,cum_cov_3,mu_K_4,new_cov_4,cum_cov_4,mu_K_5,new_cov_5,cum_cov_5,mu_K_6,new_cov_6,cum_cov_6
0.2,False,0.6,0.4,0.43067655807339306,2.5,12.499999999999998,2.9999999999999996,0.2,0.2,0.2,0.2,0.2,0.2,0.06400000000000002,0.03840000000000001,0.9359999999999999,0.025600000000000005,0.015360000000000002,0.9744,0.010240000000000003,0.006144000000000001,0.98976,0.0040960000000000015,0.0024576000000000008,0.995904
0.22,False,0.56,0.44,0.4577864638646237,2.272727272727273,10.330578512396695,2.545454545454546,0.22,0.22,0.22,0.22,0.22,0.22,0.085184,0.04770304,0.914816,0.03748096,0.0209893376,0.96251904,0.0164916224,0.009235308544,0.9835083776,0.007256313856,0.00406353575936,0.992743686144
0.24,False,0.52,0.48,0.4856977343301681,2.0833333333333335,8.680555555555555,2.166666666666667,0.24,0.24,0.24,0.24,0.24,0.24,0.11059199999999998,0.05750783999999999,0.889408,0.05308415999999999,0.027603763199999996,0.94691584,0.025480396799999996,0.013249806335999998,0.9745196032,0.012230590463999998,0.006359907041279999,0.987769409536
0.26,False,0.48,0.52,0.5145577464203551,1.923076923076923,7.396449704142011,1.846153846153846,0.26,0.26,0.26,0.26,0.26,0.24,0.140608,0.06749184,0.8593919999999999,0.07311616000000001,0.0350957568,0.92688384,0.038020403200000004,0.018249793536,0.9619795968,0.019770609664000006,0.009489892638720002,0.980229390336
0.28,False,0.43999999999999995,0.56,0.5445136453638603,1.7857142857142856,6.377551020408163,1.5714285714285712,0.28,0.28,0.28,0.28,0.28,0.21999999999999997,0.17561600000000005,0.07727104000000001,0.824384,0.09834496000000004,0.043271782400000014,0.90165504,0.05507317760000002,0.024232198144000006,0.9449268224,0.030840979456000017,0.013570030960640005,0.9691590205439999
0.3,False,0.4,0.6,0.5757166424934449,1.6666666666666667,5.555555555555555,1.3333333333333335,0.3,0.3,0.3,0.3,0.26666666666666666,0.2,0.21599999999999997,0.08639999999999999,0.784,0.1296,0.05184,0.8704000000000001,0.07775999999999998,0.031103999999999993,0.9222400000000001,0.04665599999999999,0.018662399999999996,0.953344
0.31,False,0.38,0.62,0.5918350859832762,1.6129032258064517,5.202913631633715,1.2258064516129032,0.31,0.31,0.31,0.304,0.25333333333333335,0.19,0.23832799999999998,0.09056464,0.761672,0.14776335999999998,0.0561500768,0.85223664,0.09161328319999999,0.034813047616,0.9083867168,0.056800235584,0.02158408952192,0.943199764416
0.32,False,0.36,0.64,0.608325719865459,1.5625,4.8828125,1.125,0.32,0.32,0.32,0.288,0.24,0.18,0.26214400000000004,0.09437184000000001,0.737856,0.16777216,0.0603979776,0.83222784,0.10737418240000002,0.038654705664000005,0.8926258175999999,0.06871947673600001,0.024739011624960002,0.931280523264
0.3333333333333333,True,0.33333333333333337,0.6666666666666666,0.6309297535714574,1.5,4.5,1.0000000000000002,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2666666666666667,0.22222222222222224,0.16666666666666669,0.2962962962962962,0.09876543209876541,0.7037037037037037,0.19753086419753083,0.06584362139917695,0.8024691358024691,0.13168724279835387,0.04389574759945129,0.8683127572016461,0.08779149519890257,0.029263831732967528,0.9122085048010974
0.34,False,0.31999999999999995,0.68,0.6425110984624157,1.4705882352941175,4.3252595155709335,0.9411764705882351,0.34,0.34,0.31999999999999995,0.25599999999999995,0.2133333333333333,0.15999999999999998,0.31443200000000004,0.10061824,0.685568,0.21381376000000007,0.06842040320000001,0.7861862399999999,0.14539335680000004,0.04652587417600001,0.8546066431999999,0.09886748262400004,0.031637594439680006,0.901132517376
