pid,rho,depth,is_cantor,regression,abstention,guard_width,guard_covers_delta
026a23af85772b02,0.2,2,False,0.0,1.0,0.12,True
057ab6564f48b1b2,0.2,2,False,0.0,1.0,0.12,True
096cb45a456f6f78,0.2,2,False,0.0,1.0,0.12,True
09f7c3f44ef1d3bb,0.2,2,False,0.0,1.0,0.12,True
0ce56571dce9f025,0.2,2,False,0.0,1.0,0.12,True
1070deb51a4272a1,0.2,2,False,0.0,1.0,0.12,True
1332de0a8d59573a,0.2,2,False,0.0,1.0,0.12,True
186b7c1f03e07257,0.2,2,False,0.0,1.0,0.12,True
25ace97c646e9df0,0.2,2,False,0.0,1.0,0.12,True
263c35317080a522,0.2,2,False,0.0,1.0,0.12,True
29230e9aa3720173,0.2,2,False,0.0,1.0,0.12,True
2b13bc8134a190e4,0.2,2,False,0.0,1.0,0.12,True
2c176756c37c254f,0.2,2,False,0.0,1.0,0.12,True
3032ca7bae0fb689,0.2,2,False,0.0,1.0,0.12,True
32d32b9cc95632e2,0.2,2,False,0.0,1.0,0.12,True
32f65eb7f822a81f,0.2,2,False,0.0,1.0,0.12,True
330ab97ccd94b9c3,0.2,2,False,0.0,1.0,0.12,True
39e75f5a4127caac,0.2,2,False,0.0,1.0,0.12,True
3f320b7d4f3c7e97,0.2,2,False,0.0,1.0,0.12,True
4132118fbfcb7d02,0.2,2,False,0.0,1.0,0.12,True
4647ad5e9d64bb99,0.2,2,False,0.0,1.0,0.12,True
4cfbab1a43f70d42,0.2,2,False,0.0,1.0,0.12,True
4d1f7f8fc78ffcb3,0.2,2,False,0.0,1.0,0.12,True
4e1767c6de4cde3e,0.2,2,False,0.0,1.0,0.12,True
54e36c9a152122c6,0.2,2,False,0.0,1.0,0.12,True
5acf465df0c95811,0.2,2,False,0.0,1.0,0.12,True
5b3b3c5dbccfe07d,0.2,2,False,0.0,1.0,0.12,True
5d941bb516ace191,0.2,2,False,0.0,1.0,0.12,True
5e2255cad4226c93,0.2,2,False,0.0,1.0,0.12,True
753ece303f221daa,0.2,2,False,0.0,1.0,0.12,True
7c5a1203bd8152f8,0.2,2,False,0.0,1.0,0.12,True
7cb1a1cd2792a86d,0.2,2,False,0.0,1.0,0.12,True
84e68003461a280a,0.2,2,False,0.0,1.0,0.12,True
86c5ed4fd9c0e7d7,0.2,2,False,0.0,1.0,0.12,True
87f005d7afd3584c,0.2,2,False,0.0,1.0,0.12,True
948c482fa1e98c61,0.2,2,False,0.0,1.0,0.12,True
95c450a5783d98d1,0.2,2,False,0.0,1.0,0.12,True
962112f68f3a341f,0.2,2,False,0.0,1.0,0.12,True
9d8f3a4960923e59,0.2,2,False,0.0,1.0,0.12,True
a4878fe676591a15,0.2,2,False,0.0,1.0,0.12,True
a5faf107b3078ea8,0.2,2,False,0.0,1.0,0.12,True
acef3ec6bce666a4,0.2,2,False,0.0,1.0,0.12,True
b21341dd316738f2,0.2,2,False,0.0,1.0,0.12,True
b2eb3caca901547c,0.2,2,False,0.0,1.0,0.12,True
ba0adcf440633ccd,0.2,2,False,0.0,1.0,0.12,True
bed42d372da68bcf,0.2,2,False,0.0,1.0,0.12,True
bed783f3426e6c62,0.2,2,False,0.0,1.0,0.12,True
ca2e4b8acfc76ed8,0.2,2,False,0.0,1.0,0.12,True
d3d40143c3aa83cb,0.2,2,False,0.0,1.0,0.12,True
d4e67aa01c9c7de9,0.2,2,False,0.0,1.0,0.12,True
d7e864250e2329ad,0.2,2,False,0.0,1.0,0.12,True
dc19efaab1254b8f,0.2,2,False,0.0,1.0,0.12,True
e8cbf9e8f28cd4f8,0.2,2,False,0.0,1.0,0.12,True
e9d55b39070c97b4,0.2,2,False,0.0,1.0,0.12,True
edf1c65a27d8596e,0.2,2,False,0.0,1.0,0.12,True
f0f8df03bbe5e63a,0.2,2,False,0.0,1.0,0.12,True
f3154aca0f41e4de,0.2,2,False,0.0,1.0,0.12,True
f4e2834f7bbc3f6e,0.2,2,False,0.0,1.0,0.12,True
f7d9ded34c4884e0,0.2,2,False,0.0,1.0,0.12,True
f8e403137f14303f,0.2,2,False,0.0,1.0,0.12,True
026a23af85772b02,0.24,2,False,0.0,1.0,0.1248,True
057ab6564f48b1b2,0.24,2,False,0.0,1.0,0.1248,True
096cb45a456f6f78,0.24,2,False,0.0,1.0,0.1248,True
09f7c3f44ef1d3bb,0.24,2,False,0.0,1.0,0.1248,True
