depth,rho,mean_diff,ci_lo,ci_hi,significant
2,0.2,0.0,0.0,0.0,False
2,0.24,0.0,0.0,0.0,False
2,0.28,0.0,0.0,0.0,False
2,0.36,0.0,0.0,0.0,False
2,0.4,0.0,0.0,0.0,False
2,0.44,0.0,0.0,0.0,False
3,0.2,0.0,0.0,0.0,False
3,0.24,0.0,0.0,0.0,False
3,0.28,0.0,0.0,0.0,False
3,0.36,0.0,0.0,0.0,False
3,0.4,0.0,0.0,0.0,False
3,0.44,-0.016145833333333335,-0.04088541666666667,0.0,False
5,0.2,0.008072916666666667,0.0,0.02421875,False
5,0.24,0.008072916666666667,0.0,0.02421875,False
5,0.28,0.008072916666666667,0.0,0.02421875,False
5,0.36,-0.0015625,-0.02890625,0.02421875,False
5,0.4,-0.041666666666666664,-0.08463541666666667,-0.00078125,True
5,0.44,-0.29322916666666665,-0.39375,-0.1984375,True
