n,rho,coord,is_cantor,n_interior,G_n,min_d_cross,q05_d_cross,q50_d_cross,ratio_min_over_Gn,survive_U_EST_mid_q50,survive_U_EST_mid_q75,survive_U_EST_mid_q90,survive_U_EST_mid_q95,survive_U_EST_beh_q50,survive_U_EST_beh_q75,survive_U_EST_beh_q90,survive_U_EST_beh_q95
2,0.25,tau_mid,False,0,0.125,,,,,,,,,,,,
2,0.25,tau_beh,False,54,0.125,0.12605415244869894,0.12975881864709451,0.15060348058243112,1.0084332195895915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.3,tau_mid,False,6,0.12,0.1838880631530845,0.18531561772483496,0.19377308241463748,1.5324005262757043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.3,tau_beh,False,62,0.12,0.13454690352624907,0.1425470623716093,0.16906725165324754,1.1212241960520757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.3333333333333333,tau_mid,True,20,0.11111111111111112,0.16271695204163625,0.1681416594142883,0.1948067850616666,1.464452568374726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.3333333333333333,tau_beh,True,67,0.11111111111111112,0.11561412226197604,0.12646525445955598,0.1806627254334207,1.0405271003577843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9701492537313433
2,0.36,tau_mid,False,29,0.1008,0.14425686315252476,0.15162001148029336,0.18394584330192387,1.43111967413219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.36,tau_beh,False,68,0.1008,0.1035433371443924,0.1320021056158317,0.18880074036778172,1.027215646273734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9852941176470589
2,0.4,tau_mid,False,41,0.07999999999999999,0.11382806315224459,0.12367060654116281,0.17837660096777963,1.4228507894030575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561
2,0.4,tau_beh,False,70,0.07999999999999999,0.09898513218082006,0.13431999864110933,0.1981763580390419,1.2373141522602509,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9571428571428572
2,0.44,tau_mid,False,51,0.0528,0.08028086315201592,0.09016588241356903,0.14482940096755292,1.5204708930306046,1.0,1.0,1.0,1.0,1.0,1.0,0.9019607843137255,0.7254901960784313
2,0.44,tau_beh,False,70,0.0528,0.10543793218059198,0.14077279864087938,0.2046291580388145,1.996930533723333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
2,0.46,tau_mid,False,58,0.036799999999999986,0.0622464631519163,0.07216121552431443,0.11434416761091669,1.691479976954248,1.0,1.0,1.0,0.9310344827586207,1.0,0.9655172413793104,0.6551724137931034,0.4827586206896552
2,0.46,tau_beh,False,70,0.036799999999999986,0.10740353218049359,0.1427383986407821,0.2065947580387199,2.918574244035153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
3,0.25,tau_mid,False,0,0.03125,,,,,,,,,,,,
3,0.25,tau_beh,False,15,0.03125,0.0312827501373511,0.031941245547464,0.03571228023130034,1.0010480043952352,1.0,0.2,0.0,0.0,0.26666666666666666,0.0,0.0,0.0
3,0.3,tau_mid,False,6,0.036,0.03684606315307548,0.03827361772482584,0.04673108241462785,1.0235017542520968,1.0,0.6666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
3,0.3,tau_beh,False,12,0.036,0.036155244940325196,0.03637638021301189,0.03855377994436346,1.0043123594534777,1.0,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.0
3,0.3333333333333333,tau_mid,True,14,0.03703703703703704,0.0408651314728138,0.0412771323687678,0.04976022861544957,1.1033585497659726,1.0,0.8571428571428571,0.2857142857142857,0.07142857142857142,0.9285714285714286,0.14285714285714285,0.0,0.0
3,0.3333333333333333,tau_beh,True,33,0.03703703703703704,0.03732722038752286,0.03814926640075565,0.045240022899390664,1.0078349504631172,1.0,0.6060606060606061,0.09090909090909091,0.0,0.7575757575757576,0.0,0.0,0.0
3,0.36,tau_mid,False,16,0.036288,0.03647141130191795,0.03669581201780962,0.06139547517507292,1.0050543237962397,1.0,0.8125,0.5625,0.375,0.8125,0.375,0.0,0.0
3,0.36,tau_beh,False,45,0.036288,0.0365887274733398,0.04085059332295041,0.05075793545384254,1.0082872429822476,1.0,0.7777777777777778,0.022222222222222223,0.022222222222222223,0.8666666666666667,0.022222222222222223,0.0,0.0
3,0.4,tau_mid,False,30,0.032,0.03250648445737901,0.03443465655409491,0.05439584025569377,1.015827639293094,1.0,0.7666666666666667,0.4,0.23333333333333334,0.7666666666666667,0.23333333333333334,0.0,0.0
3,0.4,tau_beh,False,63,0.032,0.03217039608736882,0.03461347533229982,0.05618643771491997,1.0053248777302755,1.0,0.8095238095238095,0.42857142857142855,0.031746031746031744,0.8412698412698413,0.06349206349206349,0.0,0.0
3,0.44,tau_mid,False,44,0.023232,0.02352064604189853,0.026223095332171188,0.05607672022815903,1.0124245024921887,0.9545454545454546,0.7045454545454546,0.4090909090909091,0.18181818181818182,0.7045454545454546,0.2727272727272727,0.06818181818181818,0.0
3,0.44,tau_beh,False,65,0.023232,0.032926135525184044,0.041008579682127906,0.06703806881907273,1.4172751173030322,1.0,0.9076923076923077,0.6153846153846154,0.4,0.9384615384615385,0.4307692307692308,0.0,0.0
3,0.46,tau_mid,False,52,0.01692799999999999,0.01804765896846082,0.023948435391238837,0.05569389861404861,1.0661424248854459,0.8846153846153846,0.75,0.40384615384615385,0.25,0.75,0.28846153846153844,0.0,0.0
3,0.46,tau_beh,False,67,0.01692799999999999,0.01718418816757363,0.039966536857583855,0.07271296721036748,1.0151339891052482,0.9701492537313433,0.9253731343283582,0.7164179104477612,0.5373134328358209,0.9402985074626866,0.5671641791044776,0.0,0.0
5,0.25,tau_mid,False,0,0.001953125,,,,,,,,,,,,
5,0.25,tau_beh,False,4,0.001953125,0.001956229637916572,0.002016053969399607,0.0024936427030457465,1.0015895746132848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3,tau_mid,False,2,0.00324,0.004109901440078368,0.004146584210554023,0.004476729144834922,1.2684880987896199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3,tau_beh,False,7,0.00324,0.0032748715860680374,0.0034382617934128087,0.004695344419818419,1.0107628352061844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3333333333333333,tau_mid,True,6,0.004115226337448559,0.004402358241119839,0.0045324511964694465,0.005656196091322471,1.069773052592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3333333333333333,tau_beh,True,18,0.004115226337448559,0.004677064760329145,0.004703377242949948,0.005774963955738632,1.1365267367599823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.36,tau_mid,False,7,0.0047029248,0.005832300135203312,0.006339494868238441,0.008563524814194453,1.2401431839189332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
