dataset,prompt_id,prompt_hash,first_version_used,purpose,split,ever_used_for_tuning,ever_used_for_final,raw_text_committed
jbb_harmful,24a437417442610c,24a437417442610c,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,2c73419c6d568b1e,2c73419c6d568b1e,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,39d82d98bba753e1,39d82d98bba753e1,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,4527475587c9746f,4527475587c9746f,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,51efbd986d5b0544,51efbd986d5b0544,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,6402e48b142b5645,6402e48b142b5645,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,67576d002fef4127,67576d002fef4127,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,69f8288b409150df,69f8288b409150df,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,6bf90938b95bd836,6bf90938b95bd836,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,72b5c82fea785433,72b5c82fea785433,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,8344cae588f24bd6,8344cae588f24bd6,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,86e435734ec10552,86e435734ec10552,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,a353df04b87926c7,a353df04b87926c7,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,a6a15792a6975204,a6a15792a6975204,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,add373c90c0469e8,add373c90c0469e8,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,b7b2545e76ea6296,b7b2545e76ea6296,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,b9fc2239c6eb8886,b9fc2239c6eb8886,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,c723974620dbf279,c723974620dbf279,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,d897d164a8162c13,d897d164a8162c13,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,f371f6d68fb6c045,f371f6d68fb6c045,V3.2,D_direction,D_direction,True,False,False
jbb_harmful,04fd3129447cde31,04fd3129447cde31,V3.2,D_calibration,D_calibration,True,False,False
jbb_harmful,240ac1420faef765,240ac1420faef765,V3.2,D_calibration,D_calibration,True,False,False
jbb_harmful,3bb1a66430b3e163,3bb1a66430b3e163,V3.2,D_calibration,D_calibration,True,False,False
jbb_harmful,438b85b72995745b,438b85b72995745b,V3.2,D_calibration,D_calibration,True,False,False
jbb_harmful,645b14550f0dead2,645b14550f0dead2,V3.2,D_calibration,D_calibration,True,False,False
jbb_harmful,8bf812f301c3e46e,8bf812f301c3e46e,V3.2,D_calibration,D_calibration,True,False,False
