rho,centre,pid,auc
0.28,tau_beh,07145e220ba13162,0.0
0.28,tau_beh,09554f9314313466,0.0
0.28,tau_beh,0a75d1652e4b45c3,0.0
0.28,tau_beh,0fd46d992c7c3856,0.2
0.28,tau_beh,110e7e7cf81dfa9e,0.7025974025974027
0.28,tau_beh,116eb9a7506e1d7c,0.7
0.28,tau_beh,12e6d91fedc9f71a,0.20216606498194944
0.28,tau_beh,1331b7857ff526e5,0.2
0.28,tau_beh,13eaf8ffc98c7c17,0.2
0.28,tau_beh,16485ffa6a3a5b20,0.20727463312368966
0.28,tau_beh,17ca31af07cda4d4,0.00656084656084652
0.28,tau_beh,18550ea6041669fd,0.0
0.28,tau_beh,1addf434cf109d8b,0.0
0.28,tau_beh,1df6546d5075aa63,0.0
0.28,tau_beh,1e0aaa9737e65d09,0.0
0.28,tau_beh,1ec8063aec61790d,0.9125
0.28,tau_beh,2399bd700a195ada,0.5
0.28,tau_beh,24baa1ba8cb6807f,0.007800560982686849
0.28,tau_beh,2b7b7a5dd644a39f,0.0077562970536294695
0.28,tau_beh,334e6f04ecde350d,0.2
0.28,tau_beh,33e83cc44233ba4c,0.7
0.28,tau_beh,3893450c49d5eaba,0.0036363636363636502
0.28,tau_beh,3c44ff264dc930c5,0.0
0.28,tau_beh,3cb9dc163e061075,0.0
0.28,tau_beh,4140287f9e9f9e2d,0.00399204041022499
0.28,tau_beh,442903eb1d36c065,0.00427350427350425
0.28,tau_beh,456e763a67db55f9,0.7025316455696202
0.28,tau_beh,4badc7fc620dfba4,0.7
0.28,tau_beh,4d3a88c9c4b2ce56,0.21999999999999997
0.28,tau_beh,54fa2847a529a0b2,0.2
0.28,tau_beh,5a249cb91df4c7fe,0.2
0.28,tau_beh,605a949685f9a050,0.20731707317073172
0.28,tau_beh,6142b5b5afeeafed,0.22702702702702698
0.28,tau_beh,6235f795548b79fd,0.006256921373200419
0.28,tau_beh,62ab78c3727fe475,0.2
0.28,tau_beh,631588a7db3e1289,0.006407966124123271
0.28,tau_beh,6855fe9557a72d6c,0.00572479168775088
0.28,tau_beh,6d66f77f43a4b273,0.7
0.28,tau_beh,716727c8653a0e34,0.00670198483254103
0.28,tau_beh,761f5b05a546451e,0.2025751072961373
0.28,tau_beh,7a00a04c7ed7f1bf,0.2029126213592233
0.28,tau_beh,7a9a756a1752fe33,0.7
0.28,tau_beh,7c86f783566f7a91,0.0
0.28,tau_beh,81e17a34a73d550f,0.00632874588098468
0.28,tau_beh,842f3cf5ab1b391c,0.0055865921787709
0.28,tau_beh,8a241a66612e1e7f,0.2
0.28,tau_beh,8a9f2bb7c70fdf96,0.0087454820471282
0.28,tau_beh,9157cb1ed385d5e1,0.00377358490566035
0.28,tau_beh,92878afbd43de2b7,0.00267857142857139
0.28,tau_beh,94f18a1920d3ee13,0.7
0.28,tau_beh,9c019541c596ea36,0.00847779362784736
0.28,tau_beh,a00dd8300045984e,0.0070175438596491195
0.28,tau_beh,a17ca48f1ddf4936,0.009314411416181279
0.28,tau_beh,a554caf5e909d64c,0.5040467970847717
0.28,tau_beh,a67cbc415f01c86c,0.0
0.28,tau_beh,a6b697d77c9f85d9,0.03318537307123228
0.28,tau_beh,a86f58a8f0c230b8,0.0016194331983805598
0.28,tau_beh,abf29c5a95afe44d,0.2028571428571428
0.28,tau_beh,ac5db72aeed08e5e,0.20404858299595138
0.28,tau_beh,b390ed0f4b090cf5,0.5026086956521739
0.28,tau_beh,b54ecec25db1fbb5,0.0
0.28,tau_beh,b7d63b0cb905d40e,0.5
0.28,tau_beh,b808856c05ac26ba,0.20374531835205995
0.28,tau_beh,b8a7c966b3ea9432,0.20262008733624454
0.28,tau_beh,b8fc02d6b271052d,0.2
0.28,tau_beh,bb895dc93af2bf7b,0.7
0.28,tau_beh,c630343f813bd8ee,0.009230769230769199
0.28,tau_beh,c7d15616d40cb735,0.2
0.28,tau_beh,ccae0048a478043e,0.2
0.28,tau_beh,ceefeb6dfd2774f5,0.7023076923076923
0.28,tau_beh,d10cf89103054f98,0.0
0.28,tau_beh,d2c4a9b24efa6f59,0.0017857142857142599
0.28,tau_beh,d4fd4b573ec4e920,0.0
0.28,tau_beh,d885de2afa039b9c,0.7
0.28,tau_beh,d8de85cf46500546,0.2
0.28,tau_beh,e2bb98fb5abdf60c,0.7
0.28,tau_beh,e416a7cac2b82a7b,0.00574162679425836
0.28,tau_beh,e5ce6bba1c9ee577,0.004724409448818871
0.28,tau_beh,e5ee8a3a0749123d,0.0039840637450199
0.28,tau_beh,ea600ad97c3853cc,0.0
0.28,tau_beh,ec2ff11ddd180eea,0.0
0.28,tau_beh,edab2e22229a341f,0.00249999999999999
0.28,tau_beh,efaae1a392de4953,0.0
0.28,tau_beh,f0bcdb3438d5d6f5,0.00279069767441859
0.28,tau_beh,f118ea4ba6a39159,0.0
0.28,tau_beh,f4147c365767e9ee,0.00897297297297294
0.28,tau_beh,f5aca89e174a4a67,0.7153846153846154
0.28,tau_beh,f8035d7686a6d848,0.7
0.28,tau_beh,fa8bb19129c5885c,0.203690036900369
0.28,tau_beh,ffd4fc00ad884d43,0.5
0.3,tau_beh,07145e220ba13162,0.0
