rho,lam,eps,eps_cert,is_cantor,n_interior,dz_error,direct_switch,guard_capture,outside_capture
0.25,0.0,0.0,0.08582326706266029,False,3,0.0,0,0,0
0.25,0.25,0.021455816765665072,0.08582326706266029,False,3,2.905726432800293e-07,0,2,0
0.25,0.5,0.042911633531330144,0.08582326706266029,False,3,3.427267074584961e-07,0,3,0
0.25,0.75,0.06436745029699521,0.08582326706266029,False,3,2.7567148208618164e-07,0,3,0
0.25,0.9,0.07724094035639426,0.08582326706266029,False,3,3.5762786865234375e-07,0,3,0
0.25,0.99,0.08496503439203368,0.08582326706266029,False,3,2.8312206268310547e-07,0,3,0
0.25,1.01,0.0866814997332869,0.08582326706266029,False,3,3.725290298461914e-07,0,3,0
0.25,1.1,0.09440559376892632,0.08582326706266029,False,3,2.980232238769531e-07,0,3,0
0.25,1.25,0.10727908382832536,0.08582326706266029,False,3,2.60770320892334e-07,2,1,0
0.25,1.5,0.12873490059399043,0.08582326706266029,False,3,3.129243850708008e-07,3,0,0
0.25,2.0,0.17164653412532058,0.08582326706266029,False,3,2.980232238769531e-07,0,3,0
0.28,0.0,0.0,0.09473790145899294,False,4,0.0,0,0,0
0.28,0.25,0.023684475364748235,0.09473790145899294,False,4,2.644956111907959e-07,0,3,0
0.28,0.5,0.04736895072949647,0.09473790145899294,False,4,3.0547380447387695e-07,0,4,0
0.28,0.75,0.0710534260942447,0.09473790145899294,False,4,3.203749656677246e-07,0,4,0
0.28,0.9,0.08526411131309365,0.09473790145899294,False,4,3.203749656677246e-07,0,4,0
0.28,0.99,0.09379052244440302,0.09473790145899294,False,4,2.4586915969848633e-07,0,4,0
0.28,1.01,0.09568528047358286,0.09473790145899294,False,4,2.7567148208618164e-07,0,4,0
0.28,1.1,0.10421169160489224,0.09473790145899294,False,4,2.384185791015625e-07,0,4,0
0.28,1.25,0.11842237682374118,0.09473790145899294,False,4,2.2351741790771484e-07,1,3,0
0.28,1.5,0.1421068521884894,0.09473790145899294,False,4,1.9371509552001953e-07,2,2,0
0.28,2.0,0.18947580291798588,0.09473790145899294,False,4,2.682209014892578e-07,0,4,0
0.3,0.0,0.0,0.09886840365618464,False,5,0.0,0,0,0
0.3,0.25,0.02471710091404616,0.09886840365618464,False,5,2.477318048477173e-07,0,1,0
0.3,0.5,0.04943420182809232,0.09886840365618464,False,5,2.5704503059387207e-07,0,2,0
0.3,0.75,0.07415130274213848,0.09886840365618464,False,5,2.60770320892334e-07,0,5,0
0.3,0.9,0.08898156329056618,0.09886840365618464,False,5,1.7136335372924805e-07,0,5,0
0.3,0.99,0.0978797196196228,0.09886840365618464,False,5,3.129243850708008e-07,0,5,0
0.3,1.01,0.09985708769274648,0.09886840365618464,False,5,2.4586915969848633e-07,0,5,0
0.3,1.1,0.10875524402180312,0.09886840365618464,False,5,2.2351741790771484e-07,0,5,0
0.3,1.25,0.1235855045702308,0.09886840365618464,False,5,2.8312206268310547e-07,1,4,0
0.3,1.5,0.14830260548427696,0.09886840365618464,False,5,2.8312206268310547e-07,1,4,0
0.3,2.0,0.19773680731236928,0.09886840365618464,False,5,3.129243850708008e-07,0,5,0
0.3333333333333333,0.0,0.0,0.10171646466685665,True,5,0.0,0,0,0
0.3333333333333333,0.25,0.02542911616671416,0.10171646466685665,True,5,3.4458935260772705e-07,0,2,0
0.3333333333333333,0.5,0.05085823233342832,0.10171646466685665,True,5,2.644956111907959e-07,0,3,0
0.3333333333333333,0.75,0.07628734850014249,0.10171646466685665,True,5,3.203749656677246e-07,0,4,0
0.3333333333333333,0.9,0.09154481820017098,0.10171646466685665,True,5,3.129243850708008e-07,0,5,0
0.3333333333333333,0.99,0.10069930002018808,0.10171646466685665,True,5,3.501772880554199e-07,0,5,0
0.3333333333333333,1.01,0.10273362931352521,0.10171646466685665,True,5,2.5331974029541016e-07,0,5,0
0.3333333333333333,1.1,0.11188811113354231,0.10171646466685665,True,5,1.7881393432617188e-07,0,5,0
0.3333333333333333,1.25,0.1271455808335708,0.10171646466685665,True,5,2.8312206268310547e-07,0,5,0
0.3333333333333333,1.5,0.15257469700028498,0.10171646466685665,True,5,4.023313522338867e-07,0,5,0
0.3333333333333333,2.0,0.2034329293337133,0.10171646466685665,True,5,3.725290298461914e-07,1,4,0
0.36,0.0,0.0,0.09965935088543414,False,10,0.0,0,0,0
0.36,0.25,0.024914837721358534,0.09965935088543414,False,10,3.3527612686157227e-07,0,3,0
0.36,0.5,0.04982967544271707,0.09965935088543414,False,10,2.8312206268310547e-07,0,4,0
0.36,0.75,0.0747445131640756,0.09965935088543414,False,10,1.862645149230957e-07,0,4,0
0.36,0.9,0.08969341579689072,0.09965935088543414,False,10,3.725290298461914e-07,0,7,0
0.36,0.99,0.0986627573765798,0.09965935088543414,False,10,3.3527612686157227e-07,0,8,0
0.36,1.01,0.10065594439428847,0.09965935088543414,False,10,2.682209014892578e-07,0,9,0
0.36,1.1,0.10962528597397755,0.09965935088543414,False,10,1.862645149230957e-07,1,8,0
