B2,contrast,mean_diff,ci_lo,ci_hi,sd,simult_lo,simult_hi,significant,distributed_wins
0.1,S4_EARLY_4 - S1_P0_ONLY,0.0,-0.05,0.05,0.023623397006169774,-0.07144770806093804,0.07144770806093804,False,False
0.1,S4_EARLY_4 - S2_G1_ONLY,-0.016666666666666666,-0.05,0.0,0.016531948782752614,-0.06666666666666667,0.03333333333333334,False,False
0.1,S5_EARLY_8 - S1_P0_ONLY,0.016666666666666666,-0.03333333333333333,0.08333333333333333,0.029013678000403723,-0.07108365963083857,0.1044169929641719,False,False
0.1,S5_EARLY_8 - S2_G1_ONLY,0.0,-0.05,0.05,0.023708806615076836,-0.07170602488138503,0.07170602488138503,False,False
0.2,S4_EARLY_4 - S1_P0_ONLY,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.032316861257364986,-0.16440729507667118,0.031073961743337833,False,False
0.2,S4_EARLY_4 - S2_G1_ONLY,-0.016666666666666666,-0.08333333333333333,0.03333333333333333,0.02901873569829978,-0.10443228970251327,0.07109895636917994,False,False
0.2,S5_EARLY_8 - S1_P0_ONLY,-0.03333333333333333,-0.11666666666666667,0.05,0.04090173820504998,-0.15703846556711384,0.09037179890044719,False,False
0.2,S5_EARLY_8 - S2_G1_ONLY,0.016666666666666666,0.0,0.05,0.016569117671640415,-0.033445748661302954,0.06677908199463628,False,False
0.4,S4_EARLY_4 - S1_P0_ONLY,-0.15,-0.25,-0.06666666666666667,0.04635182993361151,-0.29018864485586016,-0.009811355144139833,True,False
0.4,S4_EARLY_4 - S2_G1_ONLY,0.06666666666666667,0.0,0.15,0.03991764117634374,-0.05406211643357153,0.18739544976690486,False,False
0.4,S5_EARLY_8 - S1_P0_ONLY,-0.2,-0.3,-0.1,0.05192380768839195,-0.3570407952828974,-0.04295920471710263,True,False
0.4,S5_EARLY_8 - S2_G1_ONLY,0.016666666666666666,-0.03333333333333333,0.06666666666666667,0.0288484386131497,-0.07058390189076374,0.10391723522409707,False,False
0.8,S4_EARLY_4 - S1_P0_ONLY,-0.3,-0.43333333333333335,-0.18333333333333332,0.06374108719830736,-0.49278152877175285,-0.1072184712282471,True,False
0.8,S4_EARLY_4 - S2_G1_ONLY,0.13333333333333333,0.05,0.21666666666666667,0.04362122237703417,0.001403265831118633,0.265263400835548,True,False
0.8,S5_EARLY_8 - S1_P0_ONLY,-0.36666666666666664,-0.5,-0.23333333333333334,0.06688930272804797,-0.568969805900415,-0.1643635274329183,True,False
0.8,S5_EARLY_8 - S2_G1_ONLY,0.06666666666666667,0.0,0.15,0.03978727850149537,-0.05366784145558352,0.18700117478891687,False,False
