B2,distributed,single,contrast,mean_diff,pointwise_lo,pointwise_hi,bootstrap_se,simult_lo,simult_hi,significant,material_positive,material_negative
0.1,S4_EARLY_4,S1_P0_ONLY,S4_EARLY_4 - S1_P0_ONLY,0.0,-0.05,0.05,0.023623987613242785,-0.07127429616775571,0.07127429616775571,False,False,False
0.1,S4_EARLY_4,S2_G1_ONLY,S4_EARLY_4 - S2_G1_ONLY,-0.016666666666666666,-0.05,0.0,0.01653236209697153,-0.066545310854221,0.033211977520887656,False,False,False
0.1,S5_EARLY_8,S1_P0_ONLY,S5_EARLY_8 - S1_P0_ONLY,0.016666666666666666,-0.03333333333333333,0.08333333333333333,0.029014403369555193,-0.07087067938803444,0.10420401272136777,False,False,False
0.1,S5_EARLY_8,S2_G1_ONLY,S5_EARLY_8 - S2_G1_ONLY,0.0,-0.05,0.05,0.023709399357470143,-0.07153198602325042,0.07153198602325042,False,False,False
0.2,S4_EARLY_4,S1_P0_ONLY,S4_EARLY_4 - S1_P0_ONLY,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.032090950953864286,-0.16348605126998772,0.03015271793665439,False,False,False
0.2,S4_EARLY_4,S2_G1_ONLY,S4_EARLY_4 - S2_G1_ONLY,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,0.02858663151617796,-0.10291341190202312,0.0695800785686898,False,False,False
0.2,S5_EARLY_8,S1_P0_ONLY,S5_EARLY_8 - S1_P0_ONLY,-0.03333333333333333,-0.11666666666666667,0.05,0.04067493533104725,-0.15605086243346925,0.0893841957668026,False,False,False
0.2,S5_EARLY_8,S2_G1_ONLY,S5_EARLY_8 - S2_G1_ONLY,0.016666666666666666,0.0,0.05,0.016572585688983774,-0.03333333333333334,0.06666666666666667,False,False,False
0.4,S4_EARLY_4,S1_P0_ONLY,S4_EARLY_4 - S1_P0_ONLY,-0.15,-0.25,-0.06666666666666667,0.04589807285792368,-0.28847589543143326,-0.011524104568566756,True,False,False
0.4,S4_EARLY_4,S2_G1_ONLY,S4_EARLY_4 - S2_G1_ONLY,0.06666666666666667,0.0,0.15,0.03974374415914745,-0.05324143006915574,0.18657476340248907,False,False,False
0.4,S5_EARLY_8,S1_P0_ONLY,S5_EARLY_8 - S1_P0_ONLY,-0.2,-0.3,-0.1,0.051545659376205526,-0.35551483740545464,-0.04448516259454535,True,False,True
0.4,S5_EARLY_8,S2_G1_ONLY,S5_EARLY_8 - S2_G1_ONLY,0.016666666666666666,-0.03333333333333333,0.08333333333333333,0.028896905186096392,-0.07051618375994152,0.10384951709327485,False,False,False
0.8,S4_EARLY_4,S1_P0_ONLY,S4_EARLY_4 - S1_P0_ONLY,-0.3,-0.4166666666666667,-0.18333333333333332,0.06311372933863471,-0.490416059760029,-0.109583940239971,True,False,True
0.8,S4_EARLY_4,S2_G1_ONLY,S4_EARLY_4 - S2_G1_ONLY,0.13333333333333333,0.05,0.21666666666666667,0.04387931982072923,0.00094807781494749,0.2657185888517192,True,False,False
0.8,S5_EARLY_8,S1_P0_ONLY,S5_EARLY_8 - S1_P0_ONLY,-0.36666666666666664,-0.5,-0.23333333333333334,0.06622286650698853,-0.566463088751268,-0.16687024458206526,True,False,True
0.8,S5_EARLY_8,S2_G1_ONLY,S5_EARLY_8 - S2_G1_ONLY,0.06666666666666667,0.0,0.15,0.0397368322017566,-0.05322057648142789,0.18655390981476122,False,False,False
