family,rho_key,pid,epsilon_behaviour_fail,epsilon_sensor_fail,censored_behaviour
ATTACK_V,0.25,0791adad84120250,,,True
ATTACK_V,0.25,0e21a3bfdb2b6e1a,3.68261946,,False
ATTACK_V,0.25,0f73df0c247d6c68,,7.38213168,True
ATTACK_V,0.25,12b94fbf341b142c,,,True
ATTACK_V,0.25,16a994f1d87e6471,,,True
ATTACK_V,0.25,18288c2a27d85724,,7.38213168,True
ATTACK_V,0.25,1858440f8e41ea5f,,7.38213168,True
ATTACK_V,0.25,1e4f10d1d4c41691,,,True
ATTACK_V,0.25,1fa1d530d2fca75c,,,True
ATTACK_V,0.25,237c8fee04658ce1,,0.92065487,True
ATTACK_V,0.25,25a0c52eca8fcb4a,,,True
ATTACK_V,0.25,2d7b739387263a9d,,,True
ATTACK_V,0.25,389e575ba0a40e9c,,,True
ATTACK_V,0.25,39dec1f52b1e93cd,,3.68261946,True
ATTACK_V,0.25,4567675a4a0b2cbb,,,True
ATTACK_V,0.25,4770519fdde88795,,,True
ATTACK_V,0.25,4e88b51c93844ead,,,True
ATTACK_V,0.25,55952de3dc31c800,,,True
ATTACK_V,0.25,616497b1f3d9e390,,,True
ATTACK_V,0.25,62ab5aef9ad1be4d,7.38213168,,False
ATTACK_V,0.25,68fb881d1cac53fe,,,True
ATTACK_V,0.25,69ba82dc73981083,,1.84130973,True
ATTACK_V,0.25,6da6c3252a2d1bac,7.38213168,,False
ATTACK_V,0.25,6e267684a880d520,,7.38213168,True
ATTACK_V,0.25,725496d45b624240,,,True
ATTACK_V,0.25,7382aa30d498e7b5,,,True
ATTACK_V,0.25,765d10d4d2c416cd,,,True
ATTACK_V,0.25,7b9de626357f28c6,,0.405426,True
ATTACK_V,0.25,7c13f523be7d6736,7.38213168,,False
ATTACK_V,0.25,7f4060b2ba96d137,,0.15203475,True
ATTACK_V,0.25,81c2cbf1193bc1dc,,,True
ATTACK_V,0.25,85e833f2e69c8eb2,,0.15203475,True
ATTACK_V,0.25,914a129664cc7061,,,True
ATTACK_V,0.25,9ac7077facf41f79,,1.84130973,True
ATTACK_V,0.25,9f8e0985fdd0f0af,0.92065487,,False
ATTACK_V,0.25,a09f19e3c98abbe0,,,True
ATTACK_V,0.25,a4c0a3c16677eb27,7.38213168,,False
ATTACK_V,0.25,ab617f83f2f06fe8,,7.38213168,True
ATTACK_V,0.25,ae67d22cdaa0794f,,,True
ATTACK_V,0.25,b0f704b34bba4d32,,,True
ATTACK_V,0.25,b8e9774ab01e9d45,0.92065487,,False
ATTACK_V,0.25,be8e50b157907083,,,True
ATTACK_V,0.25,c017f16f403ea16d,,,True
ATTACK_V,0.25,c137f0841de67c0b,,,True
ATTACK_V,0.25,c2a8a445f4fd9bc7,3.68261946,,False
ATTACK_V,0.25,d0c9fd9d0a440f8a,,,True
ATTACK_V,0.25,d16b07da6ce739b7,,,True
ATTACK_V,0.25,d6225d41b2483d8c,,,True
ATTACK_V,0.25,d8d1c90ecab8db93,,,True
ATTACK_V,0.25,da210f0559bbe8dc,,7.38213168,True
ATTACK_V,0.25,da56cb67614dc613,,,True
ATTACK_V,0.25,e7865558d29e683e,3.68261946,,False
ATTACK_V,0.25,efe4359f1e0a0903,7.38213168,,False
ATTACK_V,0.25,eff9044acf7f4c30,,,True
ATTACK_V,0.25,f7e7afd2deb197b0,,,True
ATTACK_V,0.25,fb876ee81650ff9d,,,True
ATTACK_V,0.28,0791adad84120250,,,True
ATTACK_V,0.28,0e21a3bfdb2b6e1a,3.68261946,7.38213168,False
ATTACK_V,0.28,0f73df0c247d6c68,,3.68261946,True
ATTACK_V,0.28,12b94fbf341b142c,,0.92065487,True
ATTACK_V,0.28,16a994f1d87e6471,,,True
ATTACK_V,0.28,18288c2a27d85724,,7.38213168,True
ATTACK_V,0.28,1858440f8e41ea5f,,,True
ATTACK_V,0.28,1e4f10d1d4c41691,,,True
ATTACK_V,0.28,1fa1d530d2fca75c,,,True
ATTACK_V,0.28,237c8fee04658ce1,,,True
ATTACK_V,0.28,25a0c52eca8fcb4a,,7.38213168,True
ATTACK_V,0.28,2d7b739387263a9d,,1.84130973,True
ATTACK_V,0.28,389e575ba0a40e9c,,1.84130973,True
ATTACK_V,0.28,39dec1f52b1e93cd,,,True
ATTACK_V,0.28,4567675a4a0b2cbb,,0.92065487,True
ATTACK_V,0.28,4770519fdde88795,,,True
ATTACK_V,0.28,4e88b51c93844ead,,,True
ATTACK_V,0.28,55952de3dc31c800,,,True
ATTACK_V,0.28,616497b1f3d9e390,,0.92065487,True
ATTACK_V,0.28,62ab5aef9ad1be4d,7.38213168,7.38213168,False
ATTACK_V,0.28,68fb881d1cac53fe,,,True
ATTACK_V,0.28,69ba82dc73981083,,,True
ATTACK_V,0.28,6da6c3252a2d1bac,7.38213168,,False
ATTACK_V,0.28,6e267684a880d520,,,True
ATTACK_V,0.28,725496d45b624240,,0.405426,True
ATTACK_V,0.28,7382aa30d498e7b5,,,True
ATTACK_V,0.28,765d10d4d2c416cd,,0.92065487,True
ATTACK_V,0.28,7b9de626357f28c6,,,True
ATTACK_V,0.28,7c13f523be7d6736,7.38213168,1.84130973,False
ATTACK_V,0.28,7f4060b2ba96d137,,0.405426,True
ATTACK_V,0.28,81c2cbf1193bc1dc,,7.38213168,True
ATTACK_V,0.28,85e833f2e69c8eb2,,0.405426,True
ATTACK_V,0.28,914a129664cc7061,,0.92065487,True
ATTACK_V,0.28,9ac7077facf41f79,,,True
ATTACK_V,0.28,9f8e0985fdd0f0af,0.92065487,,False
ATTACK_V,0.28,a09f19e3c98abbe0,,,True
ATTACK_V,0.28,a4c0a3c16677eb27,7.38213168,3.68261946,False
ATTACK_V,0.28,ab617f83f2f06fe8,,0.15203475,True
ATTACK_V,0.28,ae67d22cdaa0794f,,0.15203475,True
ATTACK_V,0.28,b0f704b34bba4d32,,0.405426,True
ATTACK_V,0.28,b8e9774ab01e9d45,0.92065487,1.84130973,False
ATTACK_V,0.28,be8e50b157907083,,7.38213168,True
ATTACK_V,0.28,c017f16f403ea16d,,,True
ATTACK_V,0.28,c137f0841de67c0b,,,True
ATTACK_V,0.28,c2a8a445f4fd9bc7,3.68261946,,False
ATTACK_V,0.28,d0c9fd9d0a440f8a,,,True
ATTACK_V,0.28,d16b07da6ce739b7,,1.84130973,True
ATTACK_V,0.28,d6225d41b2483d8c,,1.84130973,True
ATTACK_V,0.28,d8d1c90ecab8db93,,,True
ATTACK_V,0.28,da210f0559bbe8dc,,,True
ATTACK_V,0.28,da56cb67614dc613,,,True
