family,arm,mean_auc
ATTACK_V,CANTOR_0.25,0.7987786040346007
ATTACK_V,CANTOR_0.28,0.7987786040346007
ATTACK_V,CANTOR_0.30,0.7978432493465086
ATTACK_V,CANTOR_1/3,0.7978432493465086
ATTACK_V,CANTOR_0.36,0.7978432493465086
ATTACK_V,CANTOR_0.40,0.7978432493465086
ATTACK_V,CANTOR_0.44,0.7978432493465086
ATTACK_V,ATTACK_ONLY,0.777148169239918
ATTACK_V,LINEAR,0.7997196795533185
ATTACK_W,ATTACK_ONLY,0.6621115392632579
ATTACK_W,LINEAR,0.6733930038164614
ATTACK_W,CANTOR_0.25,0.6721401434028417
ATTACK_W,CANTOR_0.28,0.6721401434028417
ATTACK_W,CANTOR_0.30,0.6721401434028417
ATTACK_W,CANTOR_1/3,0.6721401434028417
ATTACK_W,CANTOR_0.36,0.6733930038164614
ATTACK_W,CANTOR_0.40,0.6733930038164614
ATTACK_W,CANTOR_0.44,0.6733930038164614
