rho,population,family,scaling,factor,norm,certificate,all_states,terminal_denominator,switches,rate,guard_entries,nonterminal_exits,raw_violations
0.25,unmodified,sensor_normal,own_certificate,0.25,0.01072453807006581,0.04289815228026324,2092,26,0,0.0,14,14,0
0.25,unmodified,sensor_normal,own_certificate,0.5,0.02144907614013162,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,own_certificate,0.75,0.03217361421019743,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,own_certificate,0.9,0.038608337052236916,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,own_certificate,0.99,0.04246917075746061,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,own_certificate,1.01,0.04332713380306587,0.04289815228026324,2092,26,2,0.07692307692307693,24,24,0
0.25,unmodified,sensor_normal,own_certificate,1.1,0.04718796750828957,0.04289815228026324,2092,26,5,0.19230769230769232,21,21,0
0.25,unmodified,sensor_normal,own_certificate,1.25,0.053622690350329044,0.04289815228026324,2092,26,14,0.5384615384615384,12,12,0
0.25,unmodified,sensor_normal,own_certificate,1.5,0.06434722842039486,0.04289815228026324,2092,26,25,0.9615384615384616,1,1,0
0.25,unmodified,sensor_normal,own_certificate,2.0,0.08579630456052648,0.04289815228026324,2092,26,0,0.0,15,26,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,0.25,0.012710563638596515,0.04289815228026324,2092,26,0,0.0,15,15,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,0.5,0.02542112727719303,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,0.75,0.038131690915789544,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,0.9,0.04575802909894745,0.04289815228026324,2092,26,5,0.19230769230769232,21,21,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,0.99,0.0503338320088422,0.04289815228026324,2092,26,6,0.23076923076923078,20,20,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,1.01,0.05135067709992992,0.04289815228026324,2092,26,9,0.34615384615384615,17,17,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,1.1,0.05592648000982467,0.04289815228026324,2092,26,15,0.5769230769230769,11,11,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,1.25,0.06355281819298257,0.04289815228026324,2092,26,25,0.9615384615384616,1,1,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,1.5,0.07626338183157909,0.04289815228026324,2092,26,12,0.46153846153846156,8,14,0
0.25,unmodified,sensor_normal,absolute_middle_third_certificate,2.0,0.10168450910877212,0.04289815228026324,2092,26,0,0.0,15,26,0
0.25,unmodified,actuator,own_certificate,0.25,0.01072453807006581,0.04289815228026324,2092,26,0,0.0,5,5,0
0.25,unmodified,actuator,own_certificate,0.5,0.02144907614013162,0.04289815228026324,2092,26,0,0.0,6,6,0
0.25,unmodified,actuator,own_certificate,0.75,0.03217361421019743,0.04289815228026324,2092,26,0,0.0,14,14,0
0.25,unmodified,actuator,own_certificate,0.9,0.038608337052236916,0.04289815228026324,2092,26,0,0.0,14,14,0
0.25,unmodified,actuator,own_certificate,0.99,0.04246917075746061,0.04289815228026324,2092,26,0,0.0,15,15,0
0.25,unmodified,actuator,own_certificate,1.01,0.04332713380306587,0.04289815228026324,2092,26,0,0.0,15,15,0
0.25,unmodified,actuator,own_certificate,1.1,0.04718796750828957,0.04289815228026324,2092,26,0,0.0,17,17,0
0.25,unmodified,actuator,own_certificate,1.25,0.053622690350329044,0.04289815228026324,2092,26,0,0.0,19,19,0
0.25,unmodified,actuator,own_certificate,1.5,0.06434722842039486,0.04289815228026324,2092,26,0,0.0,25,25,0
0.25,unmodified,actuator,own_certificate,2.0,0.08579630456052648,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,actuator,absolute_middle_third_certificate,0.25,0.012710563638596515,0.04289815228026324,2092,26,0,0.0,5,5,0
0.25,unmodified,actuator,absolute_middle_third_certificate,0.5,0.02542112727719303,0.04289815228026324,2092,26,0,0.0,7,7,0
0.25,unmodified,actuator,absolute_middle_third_certificate,0.75,0.038131690915789544,0.04289815228026324,2092,26,0,0.0,14,14,0
0.25,unmodified,actuator,absolute_middle_third_certificate,0.9,0.04575802909894745,0.04289815228026324,2092,26,0,0.0,16,16,0
0.25,unmodified,actuator,absolute_middle_third_certificate,0.99,0.0503338320088422,0.04289815228026324,2092,26,0,0.0,17,17,0
0.25,unmodified,actuator,absolute_middle_third_certificate,1.01,0.05135067709992992,0.04289815228026324,2092,26,0,0.0,18,18,0
0.25,unmodified,actuator,absolute_middle_third_certificate,1.1,0.05592648000982467,0.04289815228026324,2092,26,0,0.0,20,20,0
0.25,unmodified,actuator,absolute_middle_third_certificate,1.25,0.06355281819298257,0.04289815228026324,2092,26,0,0.0,25,25,0
0.25,unmodified,actuator,absolute_middle_third_certificate,1.5,0.07626338183157909,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,actuator,absolute_middle_third_certificate,2.0,0.10168450910877212,0.04289815228026324,2092,26,0,0.0,26,26,0
0.25,unmodified,random_isotropic,own_certificate,0.25,0.01072453807006581,0.04289815228026324,2092,26,0,0.0,2,2,0
0.25,unmodified,random_isotropic,own_certificate,0.5,0.02144907614013162,0.04289815228026324,2092,26,0,0.0,2,2,0
0.25,unmodified,random_isotropic,own_certificate,0.75,0.03217361421019743,0.04289815228026324,2092,26,0,0.0,3,3,0
0.25,unmodified,random_isotropic,own_certificate,0.9,0.038608337052236916,0.04289815228026324,2092,26,0,0.0,4,4,0
0.25,unmodified,random_isotropic,own_certificate,0.99,0.04246917075746061,0.04289815228026324,2092,26,0,0.0,4,4,0
0.25,unmodified,random_isotropic,own_certificate,1.01,0.04332713380306587,0.04289815228026324,2092,26,0,0.0,4,5,0
0.25,unmodified,random_isotropic,own_certificate,1.1,0.04718796750828957,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,own_certificate,1.25,0.053622690350329044,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,own_certificate,1.5,0.06434722842039486,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,own_certificate,2.0,0.08579630456052648,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,0.25,0.012710563638596515,0.04289815228026324,2092,26,0,0.0,2,2,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,0.5,0.02542112727719303,0.04289815228026324,2092,26,0,0.0,2,2,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,0.75,0.038131690915789544,0.04289815228026324,2092,26,0,0.0,4,4,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,0.9,0.04575802909894745,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,0.99,0.0503338320088422,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,1.01,0.05135067709992992,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,1.1,0.05592648000982467,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,1.25,0.06355281819298257,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,1.5,0.07626338183157909,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,random_isotropic,absolute_middle_third_certificate,2.0,0.10168450910877212,0.04289815228026324,2092,26,0,0.0,5,6,0
0.25,unmodified,sensor_orthogonal,own_certificate,0.25,0.01072453807006581,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,0.5,0.02144907614013162,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,0.75,0.03217361421019743,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,0.9,0.038608337052236916,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,0.99,0.04246917075746061,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,1.01,0.04332713380306587,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,1.1,0.04718796750828957,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,1.25,0.053622690350329044,0.04289815228026324,2092,26,0,0.0,0,0,0
0.25,unmodified,sensor_orthogonal,own_certificate,1.5,0.06434722842039486,0.04289815228026324,2092,26,0,0.0,0,0,0
